code,title,credits,description,,,,
CHEM 4379,Undergraduate Research II,3,Hands-on research in the field of chemistry. A written report and presentation will be required.,,,,
CENG 4266,Senior Project,2,Project course requiring each student to complete a project approved by the instructor. The student must submit a written final report and give an oral presentation to faculty and students. Laboratory instruction.,,,,
CENG 4195,Cooperative Education Work Term,1,Educational paid work assignment by a student in the field of career interest and course of study. A technical report will be required at the end of the semester. (Specific requirements are noted in the Cooperative Education Catalog description.),,,,
CENG 4189,Independent Study in Computer Engineering,1,Laboratory experiments and activities astronomy.,,,,
CENG 4265,Senior Project,2,Project course requiring each student to complete a project approved by the instructor. The student must submit a written final report and give an oral presentation to faculty and students. Laboratory instruction.,,,,
CENG 4179,Internship in Computer Engineering,1,Supervised work experience in an approved industrial firm or government agency. Written and oral report required.,,,,
CENG 4113,Laboratory for Microprocessor Interfacing,1,"Laboratory experiments interfacing the Intel microcomputer to peripherals, memory and other devices.",,,,
CENG 3351,Computer Architecture,3,"Performance analysis of computer systems, representing data and instructions, instruction set architecture, datapath and controller design, pipelining, superscalar architectures, memory components such as cache, main memory and virtual memory, multiprocessors.",,,,
CENG 3331,Introduction to Telecommunications and Networks,3,"Introduction to data communications, error detecting/correcting codes, multiplexing, circuit and packet switching and local area networks.",,,,
CENG 3316,Electronics,3,"The course is a study of the physical behavior of electronic devices. Emphasis is on analysis and application of electronic circuits utilizing semiconductor diodes, operational amplifiers, BJT and FET transistors. EDA tools are used to reinforce the theory through electronic analysis simulations.",,,,
CENG 3315,Introduction to Digital Signal Processing,3,"Sinusoids, spectrum representation, sampling and aliasing, FIR and IIR digital filters. Laboratory instruction.",,,,
CENG 3264,Engineering Design and Project Management,2,"Introduction to engineering concepts including problem solving, the design process, engineering tools and topics in ethics. Laboratory instruction.",,,,
CENG 3314,Advanced Linear Circuits,3,"Polyphase AC circuit analysis and design, network and passive and active analog filter design using MATLAB and Multisim, time and frequency domain analysis utilizing Fourier series and Fourier analysis techniques.",,,,
CENG 3313,Linear Circuits,3,"Basic electrical concepts; network theorems; circuit laws; resistance, capacitance, inductance, operational amplifiers, response of RC, RL and RLC circuits to initial conditions and constant forcing functions. Steady-state and transient analysis. Introduction to S-domain circuit analysis. Integration of computer applications using Multisim and MATLAB.",,,,
CENG 3131,Laboratory for Telecommunications and Networks,1,Identified by specific title each time course is offered,,,,
CENG 3116,Laboratory for Electronics,1,"The course consists of experimental laboratory projects that explore the design, construction and debugging of basic electronic circuits. Projects involve EDA tool-based simulation and hands-on experiments, investigate the performance characteristics of diodes, transistors, JFETs and op-amps including the construction of differential amplifier, summing amplifier, full-wave rectifier and common emitter amplifier.",,,,
CENG 3151,Laboratory for Computer Architecture,1,Laboratory experiments in digital and data communications. ,,,,
CENG 3114,Laboratory for Advanced Linear Circuits,1,Laboratory exercises demonstrating processes.,,,,
CINF 4312,Network Protocols,3,Data communications systems software concepts; computer network architecture; ISO model. Laboratory instruction.,,,,
CINF 4289,Independent Study in Computer Information Systems,2,"Cancer, genetics and heredity: prevention, detection and treatment of cancer.",,,,
CINF 4308,Topics in Computer Information Systems-Non-Majors,3,Identified by specific title each time course is offered. Not to be taken by majors in computing program. Laboratory instruction.,,,,
CINF 4195,Cooperative Education Work Term,1,Educational paid work assignment by a student in the field of career interest and course of study. A technical report will be required at the end of the semester. (Specific requirements are noted in the Cooperative Education Catalog description.),,,,
CINF 3391,Topics in Computer Information Systems,3,Identified by specific title each time course is offered. Laboratory instruction.,,,,
CINF 4189,Independent Study in Computer Information Systems,1,Independent Study in Computer Information Systems,,,,
CINF 3341,Cyber Attacks and Defense,3,"This course introduces the basics of cyber attacks and cyber defense mechanisms, with an emphasis on cyber operations. It discusses what cybersecurity entails in organizational and enterprise settings, plus other non-technical factors in securing cyberspace. The overall objective is to help our future computing professionals develop an essential understanding of the fundamental concepts underlying cybersecurity. Students will perform hands-on activities, which enhance the understanding by allowing students to see security in action.",,,,
CINF 3331,Business Data Communications,3,"Introduction to business data communications. WANs, LANs and internet concepts. A survey of data communications with emphasis on the impact of digital technology on the operation, management and economics of computer information systems.",,,,
CINF 3321,Information Systems Theory and Practice,3,"Introduction to the theory and practice of information systems, development, application and management of IS, hardware and software issues for IS. Ethical, social and security-related issues of IS. IS environments.",,,,
CINF 3311,Programming With Visual Basic,3,"Programming with Visual Basic with emphasis on object-oriented programming and the users of integrated development environments. Data types, control structures, functions, subroutines, files, classes and controls. Development using the .Net framework. Laboratory instruction.",,,,
CINF 1370,Introduction to Computer Information Systems,3,"A general overview of the computing field and its typical applications, information systems concepts and terminologies. Topics include hardware, software and telecommunication fundamentals, the internet, systems development methods and career opportunities. Hands-on experience using application software.",,,,
COMM 4391,Selected Topics in Communication,3,Identified by specific title each time course is offered. Laboratory instruction,,,,
COMM 4379,Communication Internship,3,A supervised on-site internship in a communication capacity.,,,,
COMM 4655,Media Production,6,"Laboratory course covering journalistic writing, fact gathering, photography, videography, graphic design, social media-, and advertising. Students will produce",,,,
COMM 4389,Independent Study in Communication,3,"Permission of instructor required. May be taken for 3 hours of credit. For 1 hour of Independent Study credit, students should enroll in COMM 4189 Independent Study in Communications.",,,,
COMM 4359,Studio-Based Video Production,3,"In this class, students are introduced to multi-camera studio set-ups. Students will rotate through all relevant positions of a typical production studio, including camera, sound, directing, etc.",,,,
COMM 4358,Publication Design,3,"Coverage of theory and technology related to the creation of graphic products for offset printing. Includes examination of Photoshop, Illustrator, InDesign and other software applications.",,,,
COMM 4352,Photojournalism,3,Exploration of photography as a form of journalistic storytelling. Includes study of technical and emotional aspects of photographs as well as techniques in Photoshop.,,,,
COMM 4354,Video Production I,3,"This course is an introduction to the basics of video production, including camera work, capturing video and sound using DSLR and traditional video cameras, working with lights, fundamental storytelling and interview skills, as well as basic non-linear editing skills using either Premiere Pro or Final Cut X. A portion of the course will also be dedicated to the basics of studio-based video production. (Cross-listed with DMST 5534.).",,,,
COMM 4355,Narrative Video Production,3,"This class focuses on the creation of short, narrative, Hollywood-inspired videos. It takes students all the way from the first idea to writing a script, shooting and editing, to the final distribution of the film. (Cross-listed with DMST 5535.).",,,,
COMM 4357,Documentary Video Production,3,"This class teaches the basics of documentary video production, including the proper use of production equipment, developing a story line and developing interview skills and research methods. (Cross-listed with DMST 5537.)",,,,
COMM 4351,3-D Animation,3,"Fundamental principles of animation. Introduces students to 3-D computer animation techniques including keyframing, path animation, nonlinear animation and hierarchical animation. Covers storyboarding and animation project planning.",,,,
CINF 4321,Enterprise Resource Planning Systems,3,"The course provides an overview of Enterprise Resource Planning (ERP) systems, and the important role it plays in an organization. The course content will illustrate the concepts, fundamental principles, framework, technology context and the technical architecture and infrastructure of a typical ERP system. Hands-on labs using SAP coupled with lectures and case studies will prepare the students with knowledge and skills sought after by businesses. Laboratory instruction.",,,,
ECED 4389,Independent Study in Early Childhood Education,3,Identified by specific title each time course is offered,,,,
ECED 4391,Selected Topics in Early Childhood Education,3,Identified by title each time course is offered.,,,,
ECED 4377,Practicum,3,Supervised field experience in an approved early childhood educational setting. Permission of instructor required.,,,,
ECED 4378,Pre-Clinical Teaching,3,Field experiences required in a public school setting. ECED 4100 must be taken prior to consideration for Internship I (ECED 4378).,,,,
ECED 4342,Social Studies Methods for PK-3,3,"Curriculum planning, instructional activities and assessment techniques for developing social studies knowledge, citizenship and critical thinking skills; emphasis on sound practice and research-based strategies for teaching social studies for PK-3 students. Field experiences required.",,,,
ECED 4343,Science Methods for PK-3,3,Development of science concepts in PK-3 instruction. An emphasis on curriculum materials and the process approach as a science teaching method. Field experiences required.,,,,
ECED 4344,Mathematics Methods for PK-3,3,Methods of developing students’ understanding of mathematics; emphasis on problem solving with manipulative and curriculum materials appropriate for use with PreK-3 students. Field experiences required.,,,,
ECED 4333,Advanced Studies in Young Children with Special Needs,3,"course, specifically the strategies and techniques used by practitioners across a variety of settings serving children from birth to age 8. Focus of course aims to enhance the critical analysis of issues while broadening pedagogy knowledge and decision-making skills. Field experiences required.",,,,
ECED 4332,Teaching Young Children with Special Needs,3,"This course integrates theory, law, research, and current evidence-based practices associated with serving young children (birth through age 8), who present a wide range of special needs, and their families. Emphasis includes the assessment process, eligibility of services, program design and an eclectic blend of approaches and strategies that can be utilized to meet individual child needs within the context of inclusive, natural environments. Field experiences required.",,,,
ECED 4341,The Science of Teaching Reading for PK-3,3,"This course is designed to assist candidates seeking Early Childhood: PreKindergarten - Grade 3 certification to address the discipline that considers the theory and practice of teaching early reading development and reading pedagogy, including proper teaching techniques, strategies, teacher actions, and teacher judgments, as well as applying knowledge of developmentally appropriate assessment and instructional practices in order to meet the needs of all learners. Field experience required.",,,,
ECED 4328,Early Childhood Curriculum and Pedagogy,3,"Overview of the principles involved in planning, implementing, and evaluating developmentally appropriate curriculum for young children in Pre-Kindergarten through third-grade classrooms. This course emphasizes an integrated approach to early childhood curriculum and pedagogy with a focus on methods, materials and environments as they relate to national and state early learning standards. The course will include the integration of early childhood pedagogy, research and content area knowledge to thematic and inquiry curriculum design. Field experiences required.",,,,
ECED 4327,Early Childhood Program Development and Management II - Managing Center Operations and Finance,3,"This course will introduce the components of effective management including: systems and the importance of systems thinking; stakeholder analysis and management; the strategic planning process; how policies, procedures, and systems are interconnected; and tools for taking charge of program operations. Students will learn to manage a fiscally responsible early childhood business and be introduced to effective budgeting and accounting. Students will develop the skills needed to promote a positive public image and create environments that welcome and support the learning of children and adults. This course is part of the Early Childhood Leadership Certificate. Only students pursuing this certificate may enroll in this course. This course has an additional course fee that will be applied towards the National Director’s Credential.",,,,
ECED 4329,Early Childhood Program Development and Management III - Implementing and Evaluating the Program,3,"In this course, students will learn to support young children’s development and learning by understanding the interactive environment, the advantages of different groupings and staffing patterns and continuity of care. Students will learn how to implement a developmentally appropriate early childhood curriculum and the importance of observation and child assessment in achieving program goals. The students will explore the early childhood administrator’s role in creating family partnerships, promoting an appreciation of diversity, nurturing open communication, the importance of program evaluation and how to implement continuous quality improvement. This course is part of the Early Childhood Leadership Certificate. Only students pursuing this certificate may enroll in this course. This course has an additional course fee that will be applied towards the National Director’s Credential.",,,,
ECED 4326,Effective and Positive Classroom Interactions for Young Children,3,"This course is designed to improve practitioner’s knowledge and skills regarding specific types of adult-child interactions that can have a positive impact on young children’s development. Using state and nationally recognized criteria for high-quality interactions, this course will provide strategies that align with those criteria and that will prepare professionals to engage in positive and effective interactions with young children, up to grade 3. This course requires some students to identify and work with an individual child (birth - age 8).",,,,
ECED 4325,Early Childhood Program Development and Management I - Leadership Strategies and Staff Development,3,This course will introduce a model of facilitative leadership as a way to empower staff to support shared decision-making. Students will identify effective employment practices that will help them find and keep the right people for available jobs in their organizations. The course will also introduce a comprehensive model for supervising staff and promoting their ongoing professional development based on recognizing and appreciating individual differences. This course is part of the Early Childhood Leadership Certificate. Only students pursuing this certificate may enroll in this course. This course has an additional course fee that will be applied towards the National Director’s Credential.,,,,
ECED 4324,"Early Childhood Leadership, Program Development, and Management",3,"This course will introduce leadership skills necessary to manage and strengthen early care and education program. The course will also cover skills to go beyond individual programs to leadership in communities and in the field. The focus will be on collaboration, interconnections, relationships and program quality. Overarching themes include the importance of excellence and diversity in early childhood programs and the role of vision and reflective practice in reaching these goals. This course requires some visits to off-campus locations.",,,,
ECED 4322,Cultural Awareness for Young Children,3,Focus on impact of diversity on development of young children. The influence of culture and social class on children’s socialization and cognition will be discussed. Research and theories to support the development of minority children will be emphasized.,,,,
ECED 4320,Play in Early Childhood Curriculum,3,"Focus on philosophy, research and applications of modern play and environments for play. Influences of play on child development, cognition, culture and overall health. The role of play in the early childhood curriculum will be emphasized. Field experiences required.",,,,
ECED 4318,"Nutrition, Health and Physical Education EC-3",3,"This course is designed to assist EC-3 candidates seeking Early Childhood (PreKindergarten-Grade 3) certification with the study of nutrition, health and physical education-related activities. Includes skills development in applying knowledge of developmentally appropriate, research and evidence-based assessment and instructional practices to promote students’ development of grade-level skills. Integration of these principles applies to a variety of early childhood settings.",,,,
ECED 4321,Advanced Topics: Infants and Toddlers,3,"Overview of human development from prenatal stages through the first two years of life. Emphasis is placed on the interrelationship of cognitive, physical, social and emotional development in a variety of contexts and cultures. Appropriate curriculum and environment for infants and toddlers will be emphasized. Field experiences required.",,,,
ECED 4323,Advanced Topics: Preschool Curriculum,3,"Overview of integrated curriculum for children ages 3 to 5, including appropriate content, methodology, environment, materials and resources. This course requires some visits to off-campus locations.",,,,
ECED 4309,Advocacy and Parent Engagement,3,"This course focuses on the historical and current role of advocacy in Early Childhood Education, the development of advocacy skills, as well as collaboration with stakeholders such as parents, schools, communities and federal, state and local government leaders. Strategies for developing successful parent, school and community involvement programs will be analyzed. Field experience will be required.",,,,
ECED 4314,Observational/Developmental Assessment of Young Children,3,"Evaluation and uses of developmental and cognitive assessment instruments and their theoretical bases will be explored. Students will develop informal assessments of the intellectual, language, social, physical and motor development of young children. This course requires students to identify and work with an individual child (pre-K - 3rd grade).",,,,
ECED 4306,Assessment of Young Children Birth-Age 5,3,"This course will cover formal and informal assessment strategies appropriate for children birth through age 5. Assessment for children’s cognitive, social, physical and motor development for curriculum planning will be addressed as well as identifying children with developmental needs. This course requires students to identify and work with an individual child.",,,,
ECED 4311,Reading Development in Young Children,3,"Focus on early language and literacy development of young children. Oral language development, beginning reading and writing strategies and family literacy are featured. Field experiences required.",,,,
ECED 4307,Mathematics and Science in Early Childhood Education,3,"This course will explore principles, methods and materials for integrating and applying appropriate mathematics and science education into early childhood curriculum. Field experience required.",,,,
ECED 4308,Creativity in Early Childhood,3,"This course explores the theory, content and practice of integrating the performing arts into the curriculum design and early learning environments. Emphasis is placed on aesthetic development of young children through play, visual art, music, movement and creative dramatics.",,,,
ECED 4305,Language Development Birth-Age 5,3,"This course will cover language and literacy development for children birth through age 5, including the beginning stages of reading and writing development, oral language development, parent involvement in literacy learning and appropriate curriculum for young children’s literacy development. Field experience required.",,,,
ECED 4304,"Facilitating Children’s Development through Fine Arts, Health, and Physical Education",3,"This course explores the theory, content and practice of integrating the fine arts, health, and physical education into the curriculum design and learning environments. Emphasis is placed on the healthy development of children through creative play, visual art, music, movement, and dramatics.",,,,
ECED 4303,Child Guidance and Classroom Management for Young Children,3,"Theories and strategies for guiding the behavior of young children (birth to age 8) inside and outside the classroom environment. Focus will be on effective strategies for behavior management, including the role of problem solving, the classroom community and family involvement. Field experiences required.",,,,
ECED 4302,Integrated Curriculum for Young Children,3,"Focus on the relationship among the content areas, skills, concepts and practices that support learning in young children. Integration of national and state standards into curriculum planning is featured. Field experiences required.",,,,
ECED 4100,PK-3 Teacher Seminar,1,This course is designed to assist candidates seeking Early Childhood: PreKindergarten - Grade 3 certification to understand the state and federal rules and standards for early childhood education. Completion of the course is dependent upon candidates meeting syllabus requirements.,,,,
ECED 1318,"Nutrition, Health and Safety",3,"Study of nutrition, health, safety and related activities, including skills development in the management of issues, guidelines and practices in nutrition, community health, hygiene and safety. Integration of these principles applies to a variety of early childhood settings. This course requires some visits to off-campus locations.",,,,
ECED 1354,Developmental Theories of Young Children,3,Identified by specific title each time course is offered. Laboratory instruction,,,,
DSCI 4391,Selected Topics in Decision Sciences,3,Identified by specific title each time course is offered. Laboratory instruction,,,,
DSCI 4389,Independent Studies in Decision Sciences,3,Identified by specific title each time course is offered. Laboratory instruction,,,,
DSCI 4351,Forecasting Systems,3,Identified by specific title each time course is offered,,,,
ECED 1303,Children and Families,3,"Social contexts in which a child develops, the relationships of individuals in these social contexts and the interaction within and between cross-cultural contexts. This course requires some visits to off-campus locations.",,,,
ECED 1311,Historical and Recent Trends in Early Childhood Education,3,"Historical, societal, political and economic factors that influence progressive early childhood programs and child services.",,,,
DSCI 3331,Quantitative Methods for Management,3,"Introduction to quantitative techniques for management; probability, inventory and production models, linear programming, queuing, replacement models, Markov analysis and network models. Previously taught as DSCI 3131; credit may not be received for both courses.",,,,
DSCI 3322,Statistics II,3,"Statistical inference, decision-making, prediction, sample design, significance tests, experimental design, non-parametric methods, decision theory, multiple regression and correlation, time series and index numbers.",,,,
CRIM 4390,Contemporary Issues in Criminology,3,"Course assesses students’ skills in theory, research and subject content. Explores the many opportunities provided by a degree in Criminology.",,,,
DSCI 3321,Statistics I,3,"Introduction to probability and statistics; descriptive measures, probability distribution, sample statistics, estimation, confidence intervals, tests of hypotheses, chi-square, F-distribution, linear regression and correlation.",,,,
CRIM 5338,Criminal Law,3,"Study of structure and rationale for criminal law; focus on criminal liability, criminal defenses and types of offenses. (Cross-listed with",,,,
CRIM 4384,Statistics,3,Introductory course in statistics in criminology. Topics include both basic descriptive and inferential statistics.,,,,
CRIM 4391,Selected Topics in Criminology,3,boratory exercises demonstrating processes.,,,,
CRIM 4389,Independent Study in Criminology,3,boratory exercises demonstrating processes.,,,,
CRIM 4385,Research Methods,3,"An introductory course in research methods in criminology. Topics include theory and measurement, designing and conducting research and data collection and analysis.",,,,
CRIM 4339,"Youth, Law, and Society",3,Identified by specific title each time course is offered. Laboratory instruction.,,,,
CRIM 4338,Policing and Society,3,"Critical analysis of the role and function of American law enforcement, including historical development and evolution, contemporary police organizations, individual officers and relationship between police and community. Leverage of objectives of police: law enforcement, service, order, maintenance and crime prevention.",,,,
CRIM 4334,Criminal Law,3,"Survey of structure and philosophy of criminal law; topics include criminal liability, criminal defenses and types of offenses.",,,,
CRIM 4333,Probation and Parole,3,"Exploration of alternatives to incarceration, emphasizing the major community-based activities of probation and parole. Includes discussion of intermediate punishments, restitution programs, house arrest and electronic monitoring of offenders.",,,,
CRIM 4335,Race and Justice,3,Analysis of crime rates in the United States and the involvement of racial groups through theoretical exploration and practices in and out of the justice system.,,,,
CRIM 4330,Criminal Investigation,3,Review of methods and techniques used by investigators to reconstruct a crime in order to arrest the criminal offender.,,,,
CRIM 4313,Juvenile Delinquency,3,Laboratory for Digital Circuits,,,,
CRIM 4306,Service Learning,3,"Service Learning is designed for students to take an active part in organized experiences that meet actual community needs, combined with academic instruction, focusing on critical, reflective thinking and personal and civic responsibility. This course will involve students in activities that address community-identified needs with service-integrating academic skills.",,,,
CRIM 4331,Corrections,3,Identified by specific title each time course is offered,,,,
CRIM 3335,Deviance,3,Deviance Theories of the existence of deviance in society; management of spoiled identities. Cross-Listed as: CRIM 3335 Deviance.,,,,
CRIM 3330,Ethics in Criminal Justice,3,"Examination of ethical issues in the criminal justice field, including police deviance, judicial misconduct, control of inmates in correctional settings and field research dilemmas.",,,,
CRIM 3333,Victimology,3,"Provides a historical overview of the study of victimization in addition to existing theories, specific types of victimization and criminal justice/social service responses to crime victimization.",,,,
CRIM 3314,Terrorism and Homeland Security,3,Examines the history of terrorism and its manifestations in the contemporary world. Terrorism in the U.S. and various components of homeland security are discussed.,,,,
CRIM 1301,Introduction to Criminal Justice,3,"History, philosophy and ethical considerations of criminal justice; the nature and impact of crime; and an overview of the criminal justice system, including law enforcement and court procedures.",,,,
CRIM 3312,Criminology,3,Identified by specific title each time course is offered,,,,
CRIM 3300,Gender and Crime,3,"Examines gender, gender roles, and how gender impacts criminal behavior in four major components: offending, victimization, criminal processing and working in the criminal justice system.",,,,
COUN 4389,Independent Study Course,3,Regulation and control of intermediary metabolism. Introduction to biochemical genetics.,,,,
COUN 4391,Special Topics,3,Identified by specific title each time course is offered,,,,
