Code,Title,Hours,Description
BSHB 311–315,Advanced Hebrew,3 hours,"Selected readings designed to develop proficiency in reading and translating Biblical Hebrew. 
Readings will be selected from books and portions of the Hebrew text, including narrative and 
poetic materials. (Prerequisites: BSHB 210, BSHB 211)"
BSOT 100,Old Testament Introduction,3 hours,"This course outlines the biblical history of Israel from creation to captivity, noting ways that the 
Old Testament both reflects and transcends the religious world of antiquity. Significant 
theological and literary themes, including the role and message of the prophets, the wisdom 
tradition, and the conflict between Israelite and pagan religions will be highlighted. Attention 
will be given throughout to the relevance of the Old Testament in understanding the message of 
the New Testament and contemporary Christian faith."
BSOT 150,Origins of the People of God I,3 hours,"This course is the first of two courses that describe the origins of the People of God. Using the 
Hebrew Scriptures’ (Old Testament) account of God’s interaction with humanity, the course 
traces how the authors describe the person and character of God, God’s desire for creation, and 
how humans in their various ancient social contexts have related to/rejected these aspects of 
God. Since the Hebrew Scriptures are the location from which this study is made, the course 
demonstrates the role Israel played in clarifying the identity of “the people of God.”"
BSOT 220,Pentateuch: Teachings & Perspectives,3 hours,"In this course students discover the socio-historical contexts of the first five books of the Bible, 
also referred to as “Law” and “Torah,” their religious and theological perspectives and purpose, 
norms and principles for exegesis, and contemporary relevance of the teachings of this section of 
the Bible. (Prerequisites: BSOT 100 or BSOT 150)"
BSOT 225,Prophets: Teachings & Perspectives,3 hours,"This course is a part of the second-level series of five courses that introduce students to the world 
of the biblical authors and their teachings. (The first-level series comprises Origins of the People 
of God 1 & 2). In this case, the focus of the class is on the section of the Hebrew Bible known as 
The Prophets or Neviʾim (comprising the Former Prophets: Joshua, Judges, Samuel, and Kings; 
Latter Prophets: Isaiah, Jeremiah, Ezekiel; Minor Prophets: Hosea, Joel, Amos, Obadiah, Jonah, 
Micah, Nahum, Habakkuk, Zephaniah, Haggai, Zechariah, and Malachi). Thus the goal of this 
133 
 
course is to introduce students to the nature of biblical prophetic literature as formed in its 
original context, to study how these texts form their content and teaching, and how they seek to 
craft a view of the world that conforms to God’s will and character. (Prerequisites: BSOT 100 or"
BSOT 230,Wisdom: Teachings & Perspectives,3 hours,"This course serves as the third in a series of courses that introduce students to each major section 
of the Bible. Students discover the socio-historical contexts of the relevant books. In this case, 
the focus of the class is on the section of Scripture called The Writings or Ketuvim, in which we 
find wisdom literature of the Old Testament. (Prerequisites: BSOT 100 or BSOT 150)"
BSOT 250,Old Testament History,3 hours,"A study of the history of Israel from Abraham through the Babylonian Captivity to the time of 
restoration under Ezra and Nehemiah. (Prerequisites: BSOT 100, BSEG 100)"
BSOT 260,Old Testament Prophecy,3 hours,"An introductory study of the origin and nature of Israelite prophetism, including a survey of the 
canonical prophets. Emphasis will be given to the contents of each book, considering its 
historical setting and its religious value. (Prerequisites: BSOT 100, BSEG 100)"
BSOT 300,Old Testament Teachings & Perspectives,3 hours,"This course focuses both on the teachings that emerge from the call for a People of God and the 
way those teachings shape our perspective of who God is and what it means to be a People of 
God in our present contexts. Course cannot be used as an elective in the Biblical Studies 
major. (Prerequisites: BSOT 100, BSNT 100, BSEG 101)"
BSOT 351,Genesis,3 hours,"A careful study of the first book of the Bible noting particularly the history of the patriarchs and 
the unfolding of the Messianic promises. (Prerequisites: BSEG 100, BSOT 100)"
BSOT 352,Exodus,3 hours,"A study of the foundational event of the nation of Israel. (Prerequisites: BSEG 100, BSOT 100)"
BSOT 355,Deuteronomy,3 hours,"A systematic study of the book of Deuteronomy analyzing the foundations and implications of 
the moral, social, and religious legislation of ancient Israel. (Prerequisites: BSEG 100, BSOT 
100) 
134"
BSOT 361,Isaiah,3 hours,"An exegetical treatment of Isaiah’s prophecies in their historical context giving special attention 
to the theological content and the theme of Messianism. (Prerequisites: BSEG 100, BSOT 100)"
BSOT 362,Jeremiah,3 hours,"A systematic study examining Jeremiah’s prophecies and life in his role as proclaimer of divine 
truth. (Prerequisites: BSEG 100, BSOT 100)"
BSOT 363,Ezekiel,3 hours,"A study of the critical problems associated with this book, its historical background, and its 
message. (Prerequisites: BSEG 100, BSOT 100)"
BSOT 364,Daniel,3 hours,"A thorough study of Daniel placing emphasis upon the prophetic sections, giving attention to the 
sound principles of interpretation and the critical problems. (Prerequisites: BSEG 100, BSOT 
100)"
BSOT 365,Minor Prophets,3 hours,"A study of introductory matters and a survey of the background, personality, and teachings of the 
Twelve Prophets, Hosea through Malachi. As much time as possible will be spent in exegesis. 
(Prerequisites: BSEG 100, BSOT 100)"
BSOT 370,The Wisdom of Solomon for Life,3 hours,"A study of Hebrew wisdom dealing with the phases of life. The role of the Song of Solomon, 
Proverbs & Ecclesiastes in dealing with the practical and moral development of an 
individual.  This will study the issues one deals with as one matures from being a youth to an 
elderly person. (Prerequisites: BSEG 100, BSOT 100)"
BSOT 371,Job and Lamentations,3 hours,"An analysis and interpretation of Job and Lamentations featuring application to the problem of 
evil and theological problem of defining repentance. (Prerequisites: BSEG 100, BSOT 100)"
BSOT 372,The Psalms,3 hours,"A critical introduction to the book of Psalms followed by a study of individual Psalms selected 
from the various groups. Emphasis is placed upon the great themes, including Messianic 
prophecy. (Prerequisites: BSEG 100, BSOT 100) 
135"
BSOT 380,Special Themes in Old Testament Studies,3 hours,"Each issue of Old Testament studies is offered as a separate course and covers various periods of 
the history of Israel. (Prerequisites: BSEG 100, BSOT 100) 
Issues include:   
 
• 
Tabernacle and Sacrifice 
• 
Mosaic Law 
• 
The Religions of Israel: A study of the Old Testament polemic against other religions 
with which the Old Testament contended 
• 
Creation, Flood & Tower: A study of humanity’s earliest ages. 
• 
Apocalyptic Studies 
(Prerequisites: BSEG 101, BSOT 220, BSOT 225, BSOT 230) 
 
 
New Testament"
BSNT 100,New Testament Introduction,3 hours,"This course introduces students to the narrative arc of the New Testament story, as seen through 
the lens of the Luke-Acts narratives. It begins with the Gospel of Luke’s account of the life and 
teachings of Jesus. It then continues with Luke’s second volume, the Book of Acts, and its 
account of the Church’s origins and the formation of early Christianity. When taking this course, 
students discover the central ideas taught by Jesus, how those ideas formed the basis of Christian 
thought, the emergence of the first Christians into ecclesiastic communities and the ideas that 
arose to stabilize and define that movement."
BSNT 130,Survey of Pauline Epistles,3 hours,"This course introduces students to the social and historical contexts of Paul’s letters, the 
theological contribution of these letters, and the biography of the Apostle Paul."
BSNT 150,Origins of the People of God II,3 hours,"This course will outline the biblical history and thought of the New Testament from the Gospels 
accounts of Jesus to the Revelation of John, noting ways that the New Testament both reflects 
and transcends the religious world of first century. Significant theology and literary themes, 
including the role and message of the Jesus and the early Christians will be highlighted. 
Attention will be given to the relevance of the New Testament in contemporary Christian faith. 
 
Only one of these BSNT 100 level courses may count toward overall degree credit. 
136"
BSNT 220,Jesus and the Gospels,3 hours,"An introduction to the critical issues affecting the study of the Gospels and the life of Jesus 
followed by a survey of the various genres and forms within the Gospels, focusing on principles 
for interpreting the Gospels, key concepts found in them, and their impact on the church and the 
Christian life. (Prerequisite: BSNT 100 or BSNT 150)"
BSNT 230,Paul and the New Testament Letters,3 hours,"An introduction to Paul and the New Testament Epistles in their socio-historical context focusing 
on a study of original Christianity and the application of its theology in the contemporary 
Church. Required as prerequisite to any advanced Epistles class. (Prerequisites: BSEG 100,"
BSNT 300,New Testament Teachings & Perspectives,3 hours,"This course focuses on what the Christ event teaches us about God and ourselves, specific 
teachings of Jesus, and those teachings that arise from the coming of the Spirit and the 
emergence of the Church. The course will also evaluate those teachings with reference to the 
way they shape our perspective of who God is and what it continues to mean to be a People of 
God in our present contexts.  Course cannot be used as an elective in the Biblical Studies 
major.  (Prerequisites: BSOT 100, BSNT 100, BSEG 101)"
BSNT 321,Gospel of Matthew,3 hours,"A survey of the background and distinct theological perspective of Matthew’s Gospel followed 
by exegesis of selected texts. (Prerequisite: BSNT 220)"
BSNT 322,Gospel of Mark,3 hours,"A survey of the background and distinct theological perspective of Mark’s Gospel followed by 
exegesis of selected texts. (Prerequisite: BSNT 220)"
BSNT 323,Gospel of Luke,3 hours,"A survey of the background and distinct theological perspective of the Luke’s Gospel followed 
by exegesis of selected texts. (Prerequisite: BSNT 220)"
BSNT 324,Gospel of John,3 hours,"A survey of the background and distinct theological perspective of the fourth Gospel followed by 
exegesis of selected texts. (Prerequisite: BSNT 220) 
 
137"
BSNT 331,Romans,3 hours,"An exegetical course, also noting the problems of introduction, the origins of the Roman church, 
and the epistle’s relationship to the gospel proclaimed by Paul. (Prerequisite: BSNT 230)"
BSNT 332,Corinthian Letters,3 hours,"A study of 1 & 2 Corinthians that emphasizes their socio-historical situations in the context of 
Paul’s mission, and their potential significance for issues confronting the contemporary church. 
Due to the amount of material to be covered, the class will not typically deal with every verse in 
both letters. Different strategies approach the text variously.  Thus the class may focus on only 
one of the letters, or it may focus on themes in both. The class is thus to be viewed as the 
platform from which to observe and study Paul’s interaction with the Corinthians Christians. 
(Prerequisite: BSNT 230)"
BSNT 335,Prison Epistles,3 hours,"An introduction to and exegesis of Ephesians, Philippians, Colossians, and Philemon, stressing 
the relationship of these letters to broad themes in Paul’s teaching. (Prerequisite: BSNT 230)"
BSNT 336,Thessalonian Letters & Early Church Eschatology,3 hours,"Exegesis following background lectures with special attention given to related scriptures on the 
second coming of Christ. (Prerequisite: BSNT 230)"
BSNT 338,Pastoral Epistles & Early Church Ecclesiology,3 hours,"An introduction to and exegesis of 1 Timothy, 2 Timothy, and Titus, focusing on church polity, 
roles in the church, and Paul’s philosophy of ministry. (Prerequisite: BSNT 230)"
BSNT 341,Epistle to the Hebrews,3 hours,"An exegetical study of the contents and meaning of the epistle in relation to the student’s own 
personal Christian experience. (Prerequisite: BSNT 230)"
BSNT 342,Theology of James,3 hours,"A careful study of the problems of introduction and the exegesis of the epistles 
of James and John featuring a practical focus. (Prerequisites: BSEG 101, BSNT 230)"
BSNT 343,Epistles of Peter,3 hours,"An exegetical study of 1 and 2 Peter with cross references to other Scriptures examining the 
teachings and relevance of these letters to the Church, both historically and in this present age. 
Through this study the student will be able to comprehend issues facing the early church finding 
138 
 
its way in the faith, as well as to apply biblical truth to the issues faced by the church in the 
modern age.  (Prerequisites: BSEG 101, BSNT 230)"
BSNT 349,Book of Revelation,3 hours,"A careful exegesis of the text of the book of Revelation keeping the practical purpose of the book 
always in view. (Prerequisites: BSEG 101, BSNT 220, BSNT 230)"
BSNT 350,Acts of Apostles,3 hours,"An analysis and exegesis of the Acts narrative. The course reviews the way Luke presents the 
story of the Church’s beginnings, the historical setting and the key theological ideas arising out 
of that narrative. (Prerequisites: BSEG 101, BSNT 220; BSNT 230) 
 
BSCS/BSEG/BSNT/BSOT 490 Senior Thesis (3 hours) 
This senior level course provides the student with the opportunity to delve deeply into a 
particular topic of interest and to work with a faculty member to learn the rigors of constructing a 
sustained argument. Students planning on graduate work will welcome this opportunity to 
prepare for graduate level research and acquire expertise regarding the topic. The Senior Thesis 
is written as the course work for a course taken during the senior year or as a part of a directed 
study. Students must propose the thesis topic to the Foster School of Biblical Studies Thesis 
Committee the semester prior to writing the thesis. The proposal information is available from 
the biblical studies department chair. 
 
Public Theology"
BSPT 200/SOCI 200,Public Theology,0 hours,"This is an introductory course in Public Theology and thus will focus on the broad biblical 
imperative to, as Jeremiah has it, “seek the welfare of the city.”  This task is undertaken through 
exegetical analysis of a range of biblical texts performed in the context of contemporary social 
issues (such as Economics, Ecology, Justice, Gender/Sexuality, Power, Violence) with a view to 
establishing the norms of a redemptive dialogue.  With that in view, the course further helps 
students to grasp the evangelistic impact of allowing the character of God to make contact with 
society’s concerns. (Prerequisites: BSEG 101)"
BSPT 310,"Bible, Culture and Justice",3 hours,"This is a course in Public Theology and as such seeks to forge the foundation for redemptive 
dialogue between the church and the culture.  The course will focus on the broad biblical 
139 
 
exhortation, as Jeremiah 29 has it, “seek the welfare of the city.” This task is undertaken through 
the particular exegetical analysis of the Sermon on the Mount. In light of this framework of 
Biblical Justice, the class will develop a basic understanding of Poverty and Development history 
and practice and what that has to say to culture and to the neighborhood. Finally, the surrounding 
neighborhood of Price Hill will be used as a case study to observe and practice Biblical Justice 
through the “Disciplines of Neighborliness.” (Prerequisite: BSPT 200)"
BSPT 311,"Bible, Culture and Ecology",3 hours,"This is a course in Public Theology, and as such seeks to forge the foundation for redemptive 
dialogue between the church and the culture. The focus of this course is to engage students in an 
exploration of how the Bible guides our relationship to the Earth God made, and helps students 
to frame local Christian ethics in global terms as they reflect on how we interpret the biblical 
values of Creation and the ecological values of contemporary society and industry. (Prerequisite:"
BSPT 312,"Bible, Culture, Gender and Sexuality",3 hours,"This is a course in Public Theology, and as such seeks to forge the foundation for redemptive 
dialogue between the church and the culture. The focus of this course is to engage students in an 
exploration of how the Bible guides our understanding of human sexuality and gender. The 
course reflects on how we interpret biblical models and ideals concerning human sexuality and 
gender, and how the society interprets the same through the contemporary psychology, science, 
political necessity. (Prerequisite: BSPT 200)"
BSPT 315,"Bible, Culture and Race",3 hours,"This is a foundational course in Public Theology and thus will focus on the broad Biblical 
exhortation, as Jeremiah 29 has it, “seek the welfare of the city . . . for in its welfare you will find 
your welfare.” This task is undertaken through the particular exegetical analysis of the Biblical 
passages that provide a framework for understanding and responding to racial and ethnic justice. 
In light of this framework, the class will then seek to develop a basic understanding of the 
development of theological and racial constructs understanding the role of power, history, and 
otherness. Finally, the class will seek to engage directly our community’s history and practice, 
and what that has to say to the neighborhood, and ultimately to the culture at large. 
 
Business Management 
 
Accounting 
140"
ACCT 210,& ACCT 220 Introduction to Accounting 1 & 2,6 hours,"These courses focus on the business process and examine the activities of firms from both an 
external, financial reporting perspective and an internal, management decision-making 
perspective.  The fundamentals of financial and managerial accounting are integrated as opposed 
to keeping the areas separate.  The class assignments will incorporate assignments that 
emphasize real world applications, including actual financial statements, to reinforce the 
relevance of topics to real business situations and promote student interest. (ACCT 210 is a 
prerequisite for ACCT 220.) 
 
Prerequisite(s) for all 300 & 400 level Accounting Courses: ACCT 210 & ACCT 220"
ACCT 310,Financial Reporting and Analysis,3 hours,"This course emphasizes both the process of financial reporting and the analysis of financial 
statements. Students will learn to be good financial detectives who are able to read, use, and 
interpret the statements and most importantly understand GAAP regulations."
ACCT 320,Cost Accounting,3 hours,"This course provides tools for students to prepare, use and evaluate management accounting 
information.   The course will focus on strategic decision-making, planning and control, product 
costing, and performance measurement and evaluation."
ACCT 330,Non-Profit and Government Accounting,3 hours,"This course is a study of the principles and practices of fund accounting as used by government, 
education, and other non-profit organizations."
ACCT 410,Fundamentals of Tax Accounting,3 hours,"This course is a study of the implications of taxation for decision making and planning for 
individuals and firms.  The course will focus on the roles of accountants and tax preparers."
ACCT 420,Accounting Information Systems,3 hours,"This course will help students to understand how information technology can be used to achieve 
competitive advantage, and to improve decision making, business processes, operations, and 
organizational design."
ACCT 430,Auditing and Professional Ethics,3 hours,"141 
 
This course introduces the student to basic auditing concepts, evidence and documentation, 
materiality, risk assessment, statistical sampling, internal control, analytical reviews and audit 
reports.  It also provides an understanding of the auditing environment and professional ethics."
ACCT 395,Accounting Internship,3 hours,"An on-the-job work experience where accounting knowledge obtained from classroom theory is 
integrated with actual practical work experiences. Internships provide students with knowledge 
of career opportunities in the accounting field and how one might better prepare to be a 
successful part of the accounting industry. 
 
Business"
BUSN 120,Microeconomics,3 hours,"This course is a study of the key principles of economics from the perspective of the individual 
consumer or firm. Topics include behaviors that lead to market equilibrium models, market 
elasticity in times of market change, international trade, competition, and monopoly."
BUSN 130,Macroeconomics,3 hours,"This course is an analysis and application of key economic principles from the perspective of 
national policy. Topics include measuring the long term performance of the national economy, 
short term business cycles, understanding fiscal and monetary policy, and the US banking 
system. (Prerequisite: BUSN 120)"
BUSN 140,Personal Finance,3 hours,"A study that applies biblical principles to financial decision making through the instrument of a 
personal financial plan.  Students will assess their existing financial status, determine life goals, 
and develop a personal plan for spending, investment, and risk management."
BUSN 210,Managing and Leading Organizations,3 hours,"A study of the basic management functions and processes in a variety of organizations.  Topics 
include sustaining competitive advantage, value-chain management, strategy, control, and 
decision-making."
BUSN 230,Management of Information Technology,3 hours,"A study in the successful application of IT systems within a business organization. Topics 
include role of IT, hardware, software, E-commerce, internet, data storage and mining, security, 
and system management.  
 
142"
BUSN 235,Business Applications,3 hours,"This course is an experiential lab course designed to give students hands-on experience with 
presentation software, spreadsheets, and databases.  The focus for this course is the practical 
implementation of common workplace technologies to resolve common workplace issues."
BUSN 240,Finance for Managers,3 hours,"A study of financial decision making within business organizations including financial analysis, 
budgeting, and capital management.  Topics include financial markets, analysis of capital 
investment projects, financial planning tools, and resource management.  (Prerequisite: BUSN 
120)"
BUSN 250,Research for Business,3 hours,"A course designed to introduce students to the process of gathering, recording and analyzing data 
to aid managerial decisions. (Prerequisites: BUSN 230, MATH 240)"
BUSN 295,Mentoring Experience,.5 hours x 6 semesters,"This experience partners undergraduate business students with local business professionals who 
serve as mentors.  The mentors meet regularly with students to serve as role models, coaches, 
and advisors helping students ponder career choices and consider how to best apply and advance 
their newly acquired knowledge in the pursuit of their professional and personal goals."
BUSN 310,Marketing,3 hours,"This course provides an introductory overview of management tools and decisions within the 
marketing function of the firm. The course places an emphasis on the processes and activities for 
creating, capturing, communicating, delivering and exchanging offerings that have value for 
consumers, clients, partners and society at large."
BUSN 320,Human Resource Management,3 hours,"A study of an organization's effort to select, evaluate, retain and develop effective workers who 
demonstrate a commitment to being part of a team which accomplishes the organizational 
mission. (Prerequisite: BUSN 210)"
BUSN 325,Teams & the Workplace,3 hours,"The organization of work in the implementation of the strategic plan with work analyzed for how 
human efforts in teams and other small groups of various compositions and other structures can 
effectively bring that work to a quality level of completion as defined by the end-user. 
143"
BUSN 330,Organizational Communication,3 hours,"An introduction to the concepts of effective oral and written communication for interpersonal 
exchanges, as well as for functioning in teams and in other organizational settings. 
(Prerequisites: SPCH 110, ENGL 111, BUSN 230)"
BUSN 331,Professional Selling,1 hour,"This course is designed to communicate the principles of skills and practices related to selling in 
an organizational setting. Students will apply the skills they developed in BUSN 330 in addition 
to the practices in this course to implement a relational approach to selling."
BUSN 340,Operations,3 hours,"A study of the operations area in business organizations including commercial, service, and 
public organizations.  Topics include forecasting, scheduling, inventory planning, measurement, 
quality control."
BUSN 346,Organizational Finance,3 hours,"A study of the preparation, analysis, communication, and interpretation of financial information 
for organizational decision-makers; including church, non-profit, and for- profit organizations."
BUSN 360,International Business,3 hours,"A study of the challenges of conducting business in foreign markets.  Topics address the cultural, 
legal, political, geographic, technological and economic forces that influence how managers 
make decisions about global expansion and investment."
BUSN 380,Nonprofit Management,3 hours,"A study on the role of the nonprofit sector in society as well as an examination of both the 
theoretical and practical issues and problems faced by managers of nonprofit organizations."
BUSN 395,Internship,3 hours,"An on-the-job work experience where business knowledge obtained from classroom theory is 
integrated with actual practical work experiences. Internships provide students with knowledge 
of career opportunities and how one might better prepare to be a successful part of industry."
BUSN 395,or 396 Field Experience,3 hours,"A course designed to allow students to obtain real world training experience. Students will 
secure positions in organizations relevant to their degree and stated career goals.  This 
144 
 
experience is a supervised work experience involving employers and instructors in an 
organizational setting.   This course is for CALL only."
BUSN 401,Diversity in Sport,3 Hours,"This course examines an encompassing perspective of diversity within North American and 
international sports organizations. Specifically, the course provides students with an analysis and 
understanding of the various ways people within sport organizations can differ. The course 
explores the issues of non-dominant, historically under-represented elements of U.S. society, 
with an emphasis placed on racial and gender issues."
BUSN 410,Strategic Management,3 hours,"This course contextualizes the functions of business within a framework of strategic management 
that considers the direction and goals of a firm; social, political, technological, economic, and 
global factors; industry and market structures; and organizational strengths and weaknesses. 
(Prerequisite: ACCT 220, BUSN 220, BUSN 240, BUSN 310)"
BUSN 420,Contemporary Issues in Leadership,3 hours,"A course examining current issues for today's leaders such as leading a diverse workforce, 
leading complex systems, and nurturing ethical leadership. This course also reviews evolving 
perspectives on the role of the leader and the leader-follower relationship. Topics will be timely, 
relevant to organizations, with practical implications for leadership skill development.  
(Prerequisites: ACCT 220, BUSN 230, BUSN 240, and BUSN 310)"
BUSN 440,Project Management,3 hours,"145 
 
A study of the tools and processes of project management with emphasis on organizational 
structures and resources for successful management. Emphasis is on tools and techniques for 
project planning, staffing, and budgeting."
BUSN 450/PMIN 450,Leading Change,3 hours,"A study of the forces that drive organizations to change. The course examines resistance to 
change, and investigates a range of approaches and theories for implementing successful change 
efforts in organizations.   
 
Entrepreneurship"
ENTR 210,Introduction to Entrepreneurship,3 hours,"This course is a study of the process of starting a business or other organization.  Students will 
learn about risk taking, developing a business model, writing a business plan, and acquiring the 
necessary human and financial resources.  (Prerequisite: BUSN 120)"
ENTR 310,Workplace Innovation and Strategic Planning,3 hours,"An applied class where students work to understand cultural perspectives on innovation and 
creativity as well as learning to apply those perspectives through strategic and operational 
planning in a small business or corporate setting. (Prerequisite:  ENTR 210)"
ENTR 410,Managerial Economics,3 hours,"This course is an advanced treatment of Microeconomic theories as they relate to decision 
making for the organization.  Issues such as marginal analysis, game theory, and firm behavior in 
a market will be explored.  (Prerequisite: ENTR 210) 
 
 
IT Management"
ITMT 210,Information Technology Systems Design and Development,3 hours,"This course will provide students with an overview of hardware and software solutions that are 
deployed in the business environment. (Prerequisite:  BUSN 230)"
ITMT 220,Introduction to Modern Analysis and Programming,3 hours,"This course will introduce students to some of the tools and techniques that are used in business 
analysis such as basic programming, structured query language, and Microsoft Excel. 
(Prerequisite:  BUSN 230) 
146"
ITMT 310,Issues in Management of Information Systems,3 hours,"An overview of current issues related to the regulatory, ethical, and societal contact points with 
information technology and business.  (Prerequisite:  BUSN 230)"
ITMT 410,Business Intelligence Tools and Application,3 hours,A course that will give students applied experience with BI tools and theories.  (Prerequisite:
MKTG 320,Marketing Research,3 hours,"A study of the qualitative and quantitative methods used to design, collect, interpret, and report 
marketing research data.  The course will explore the various types of marketing research, such 
as designing questionnaires, as well as the latest technological developments that make 
marketing research easier and more accurate.  (Prerequisites:  BUSN 310, MATH 240)"
MKTG 340,Entrepreneurial Marketing,3 hours,"This course will require students to apply learning from ENTR 210 and BUSN 310 to create a 
marketing plan for a company that is in the early stages of development including selecting 
channels, creating a plan for acquiring additional capital, and leveraging market research. 
(Prerequisites: BUSN 310, ENTR 210)"
MKTG 360/COMM 360,Internet and Social Media Marketing,3 hours,"A study of the basic principles of marketing applied to the growing fields of internet and social 
media marketing.  Topics covered in this course will focus on the interpretation of data on 
internet usage, online advertising, email marketing, social network marketing, search engine 
marketing, and web traffic analysis. (Prerequisites, MKTG:  BUSN 230, BUSN 310; 
Prerequisites, COMM:  ENGL 110, ENGL 111, COMM 160)"
MKTG 410,Advanced Marketing,3 hours,"This course builds on the basic principles and concepts taught in the Marketing course with a 
focus on issues such as the selection of segments, how to allocate resources across business 
units, segments, and other areas of the marketing mix.  The course will also address 
contemporary issues facing today's marketing managers.  (Prerequisites:  BUSN 110, BUSN 210,"
SMGT 210,Principles of Sports Management,3 hours,"A study of the expanding field of sports and recreation with a wide-ranging examination of the 
basic structures found within the sport industry. Students will examine applications of 
managerial theories, and the ways in which sport organizations interact with each other and with 
other organizations in society."
