Code,Name,Credit Hours,Description
BS 105,Human Physiology,4,This course provides a physio-chemical study of the systems
BS 107,Introduction to Environmental Science,4,This interdisciplinary science course is designed to stimulate
BS 109,Medical Terminology,3,"This course is designed to teach basic competency in the vocab-
ulary and comprehension of medical terms. The course will focus"
BS 110,Nutrition,3,This course is a study of the fundamentals of human nutrition
BS 111,"Nutrition for Health, Fitness, Sports",3,This course will provide a study of food and the effect nutrition
BS 112,"Nutrition for Health, Fitness, Sport w/ Lab",5,This course will provide a study of food and the effect nutrition
BS 201,General Zoology,5,This course covers the anatomy and physiology of representative
BS 101,"or Instructor 
Permission
BS 202 General Botany",5,This course provides a study of the structure of plants and how
BS 203,Microbiology,5,"This course will provide a study of the morphology, physiology,"
BS 101,or BS 105 or,5,Credit Hour Anatomy and Physiology with lab
BS 220,Pathophysiology,4,An introduction to the basic concepts of pathophysiology as it
BS 104,"and BS 105
^BS 240 Emergency Medical Training - Basic 
12
This course is designed to provide training for giving medical 
care to patients in the pre-hospital setting. The course will offer 
instruction and practical experience for students to develop the 
knowledge, skills, and attitudes needed for certification and prac-
72
tice as an Emergency Medical Technician-Basic (EMT-B) in Kansas. 
 
BS 241 CPR Basic",1,This course is designed to give students the knowledge and skills
^BS 244,Emergency Medical Training - Intermediate,6,This course is designed to provide advanced training for giving
^BS 246,"Advance Emergency Medical Technician 
13
This course is designed to provide advanced training for giving 
medical care to patients in the pre-hospital setting. The course 
will offer instruction and practical experience for students to
develop the knowledge, skills, and attitudes needed for certifica-
tion and practice as an Advance Emergency Medical Technician 
(AEMT) in Kansas. Prerequisite: EMT-B Certification
^BTT105 Safety & Orientation (OSHA 10)",1,This course covers the tools and materials required for the
^BTT106,Introductory Craft Skills,3,This course includes the general and specific introduction
^BTT109,Carpentry Basics,4,This is a step by step class that teaches the student how to use
^BTT111,Roof & Framing,3,"A practical study of roof styles including gambrel, gamble, shed,"
^BTT119,"Floors, Walls, & Ceiling Framing",4,This course provides experience in construction of the sub-floor
BTT111,^BTT121 Residential Concrete Construction,2,"Though the finishing of footings, foundations, and floor slabs is"
^BTT155,Residential Interior Finish Carpentry,5,The attractiveness of a home is often determined by the quality
BTT 121,"^BTT159 Windows, Doors, & Stairs",3,"This course is a study of the exterior sheathings, windows,"
^BTT170,"Painting, Finishing, & Decorating",4,Wood and certain other covering material used on inside and
BTT 159,BUS101 Introduction to Business,3,This course provides a preview of business which includes
BUS102,Personal Finance,3,For non-business as well as for business majors. The course is
BUS103,Accounting I,3,"The recording, classification, and analysis of economic transac-
tions of the sole proprietorship form of business ownership are"
BUS105,Accounting II,3,This course is a continuation of Accounting I.  The focus of the
BUS 103,"with a C or higher
BUS112 The Business of Personal Training",3,This course will provide a study of the entrepreneurial process
^BUS115,Business Math Using Calculators,3,This course covers basic business math operations and focuses
BUS116,Introduction to Accounting,3,"This course provides an introduction to the fundamental princi-
ples of accounting as applied to business enterprises. The entire"
^BUS117,Computerized Accounting,3,"This course provides an introduction to computerized account-
ing. The course will offer practical experience in establishing main-
taining accounting systems and records for single proprietorships"
BUS125,Human Resources,3,"This course will examine the development and role of human re-
sources management in an organization. The course will focus on"
BUS127,Principles of Entrepreneurship I,3,"This course emphasizes the major issues confronting entrepre-
neurs and those in small business.  It provides guidance regarding"
BUS130,"Microcomputer Applications I: Word Processing, 
Spreadsheet, Database, Presentation",3,This course is designed to give students knowledge and practice
BUS133,Microcomputer Applications I: Spreadsheet,3,This course focuses on Microsoft Excel spreadsheet concepts
BUS139,Microcomputer Apps I: Word Processing,3,This course is designed to provide students instruction on word
BUS181,Microcomputer Apps I: Word Processing,1,"This course is designed to provide instruction in using word pro-
cessing software. (Note: Students who have already completed"
BUS 139,"cannot take this course.) 
BUS183 Microcomputer Applications I: Spreadsheet",1,This course focuses on Microsoft Excel spreadsheet concepts
BUS 133,"cannot take this course.)
 
BUS189 Microcomputer Apps I: Electronic Business 
Presentation",1,This course focuses on using Microsoft PowerPoint to create
BUS 151,"cannot take this course.) 
BUS200 Financial Accounting",4,"This course covers the basic accounting mode, the measurement"
BUS 116,"or Instructor Permission
BUS201 Principles of Management",3,"This course presents a basic understanding of the field of man-
agement and management practices. Management functions of"
BUS203,Macroeconomics,3,"This course provides a study of basic macroeconomic concepts,"
MAT 100,BUS204 Microeconomics,3,"This course provides a study of basic microeconomic theory ap-
74
plied to the analysis of prices, markets, production, profits, rents,"
MAT 100,BUS205 Business Law,3,This course provides a basic study of law related to business.
BUS210,Marketing,3,Introduces the role and importance of marketing techniques to
BUS213,Business Communications,3,"This course covers both traditional and innovative communi-
cation skills.  The primary focus will be on writing employment"
ENG 101,BUS216 Managerial Accounting,3,"This course covers the concepts of materials, labor, and overhead"
BUS 105,"or BUS 200 with a C or higher
BUS230 Principles of Entrepreneurship II",3,This course will provide a study of the basic entrepreneurial
^CAD101,Technical Drawing I,4,"This course teaches the basic concepts of drafting communi-
cation. Subjects include line types, orthographic projections,"
^CAD131,Computer Graphics I,5,"This course is designed to provide students with a basic under-
standing of the uses and applications of computer drafting hard-
ware and software.  The course will also explore and develop"
^CAD151,Technical Drawing II,4,This course is a continuation of Technical Drawing I and teaches
^CAD182,Computer Graphics II,5,This course is designed to provide students with an advanced
CAD131,^CAD201 Technical Drawing III,4,"This course covers advanced concepts of drafting communica-
tion pertaining to mechanical engineering.  Subjects include line"
^CAD211,Spreadsheets,3,This spreadsheet application course is designed to show students
^CAD221,Geometry,2,"This course covers the principles of basic geometric construc-
tion: lines, arcs, circles, angles, and the relationships between geo-
metric forms. The course will focus how these principles apply to"
^CAD232,Computer Graphics III,5,"This advanced course will cover hardware, networking, and In-
ternet concepts.  The course will cover how to install hardware"
CAD182,^CAD232B Computer Graphics III,2,"This advanced course will cover hardware, networking, and In-
ternet concepts.  The course will cover how to install hardware"
CAD182,^CAD251 Technical Drawing IV,4,"This course covers advanced concepts of drafting communica-
tion pertaining to mechanical engineering.  Subjects include line"
^CAD261,Database,4,This database application course is designed to show students
^CAD271,Trigonometry,2,"This course covers trigonometric functions, solution of triangles,"
^CAD282,Computer Graphics IV,5,This course covers advanced parametric modeling.  Working with
CAD232,^CAD295 Occupational Work Experience,0,Occupational Work Experiences are available to students who
CJ 100,Introduction to Criminal Justice,3,This is an introductory course in the field of criminal justice.  The
CJ 105,Introduction to Corrections,3,"This course is an introductory study of the entire field of cor-
rections, beginning with conviction. The course will cover the"
CJ 110,Criminal Investigation,3,This course explores issues including the effective interview and
CJ 116,Criminal Justice Interview and Report Writing,3,Focuses on the unique types of writing required in a criminal
CJ 120,Juvenile Delinquency & Justice,3,This course examines the historical precedents and philosophical
CJ 140,Criminal Procedures,3,This course introduces basic court system procedures and the
CJ 201,Criminal Law,3,"This course examines the history, scope, and nature of law. It"
CJ 100,"or Instructor Permission
CJ 204 Professional Responsibility in Criminal Justice",3,"Explores the major components involved in the study of ethics,"
CJ 100,CJ 205 Law Enforcement Operations and Procedures,3,Examines the role of police in society and the application of key
CJ 100,CJ 212 Agency Administration,3,Conducts a practical analysis of modern administration theory
CJ 220,Practicum in Administration of Justice,3,The focus of this course is hands-on practical experience and
COL 103,College Success,1,This course is an introduction to the world of college. The
COL 162,Careers in Sports and Fitness,2,The purpose of this course is to make students aware of the
COL 170A - 170D,"Leadership Organization & Goals  .5
This course will provide practical instruction and experience 
in student government and leadership.  The course will cover 
leadership qualities, parliamentary procedures, time management, 
conflict resolution, budgeting, and team building.  Students will 
be actively involved in student government, as well as fundrais-
ing, community projects, student activities, entertainment, and 
programs.  This course is designed for individuals with little or 
no background in student government. Prerequisite: Instructor 
Permission
COL182 Student Success Seminar",1,"This course is designed to enhance student success and reten-
tion as well as create a greater understanding of what it takes to"
^CRT190,Certification Training Lab,1,This class is designed to give the second semester student
^CST103,Operating Systems,2,This course provides instruction on the most commonly used
^CST105,Industrial Computer Applications,2,This is an introductory course appropriate for all technical
^CST106,Introduction to Networking: CCNA,1,"3
This course introduces the architecture, structure, functions,"
^CST107,Introduction to Computers & Applications,3,"This course is designed to examine and apply the skills, tools"
^CST115,PC Troubleshooting Lab,1,This course is intended to introduce the student to various
^CST118,Linux Essentials,2,"The course is designed to introduce students to the Linux oper-
ating system basics. Major topics include discussions on Open-
Source software, the Linux file system, command line syntax,"
^CST124,PC Troubleshooting Essentials,2,This course is intended to introduce the student to various
^CST125,Web Design,2,"This course is designed to introduce students to web design us-
ing HTML5 and CSS3.  Concepts discussed include understanding"
^CST154,CompTIA A+ Essentials,3,"This course is designed to give the student instruction on com-
plex hardware installation and prevention of and recovery from"
^CST158,CompTIA A+ Practical Applications,3,"This course is designed to give the Computer Support Technol-
77
ogy student instruction on how to troubleshoot and resolve"
^CST159,Routers and Routing: CCNA2,4,"This course describes the architecture, components, and opera-
tion of routers, and explains the principles of routing and routing"
^CST201,Advanced Operating Systems,3,This course is designed to provide advanced instruction on the
^CST206,Programming,2,"This course is designed as an introduction to computer pro-
gramming. The course will cover basic programming skills such"
^CST207,Tech Support Lab I,2,This course is designed for second-year students who are
^CST212,LAN Switching and Wireless: CCNA3,3,"This course provides a comprehensive, theoretical, and practical"
^CST218,Linux,2,The course is designed to introduce students to the Linux
CST219,Server Operations Systems & Virtualization,3,"This course is designed as an introduction to server operat-
ing systems and virtualization. The course will examine typical"
^CST223,Server Administration,3,This course is designed to introduce students to various aspects
^CST224,Computer & Network Security,3,"This course is designed as an introduction to computer net-
working administration and maintenance. The course will"
^CST225,Web Development,3,"This course is designed to introduce students to web develop-
ment using PHP and MySQL. Concepts discussed include Apache"
^CST295,Occupational Work Experience,0,"This course is designed to finish students’ preparation for em-
ployment in the Information Technology industry. Students will"
^DSL102,OSHA 10,1,"This course will: explain job/site safety and precautions for job/
site hazards; determine the uses of personal protective equip-
ment (PPE); identify the safety equipment and procedures related"
^DSL111,Fundamentals of Operating Principles,4,This course teaches the history of the diesel engine from the
^DSL121,Engine Maintenance,2,"This course covers standard DB, DB@ and DM pump disassem-
ble inspection and overhaul. Ity teaches removal, installation and"
^DSL133,Diesel Engines I,5,This course teaches the three major engine companies products.
^DSL141,Welding & Fabrication Lab,1,This course includes basic principles and fundamentals of arc
^DSL152,Fuel System Diagnosis/Repair,4,This course teaches the operating of fuel systems used on most
^DSL162,Electrical/Electronic Systems,5,This course of basic electrical systems on the diesel engine
^DSL172,Brakes,3,"This course teaches disassembly, inspection, and troubleshoot-
ing of the three major types of clutch systems used by present"
^DSL182,Introduction to Hydraulics,3,"This course gives a student a short introduction to hydraulic sys-
tems.  It covers major component identifications, their functions"
^DSL192,Advanced Engine Maintenance,2,"This course covers standard Db, DB2, and DM pump disassemble"
^DSL201,Shop Safety II,1,This course is continuation of Shop Safety I and is designed to
^DSL212,Advanced Engine Overhaul,3,This is an advanced training course in engine overhaul.  Advanced
^DSL222,Advanced Electrical/Electronic Systems,5,Students will become proficient in the diagnosis and repair of
^DSL232,Hydraulic Diagnosis/Repair,3,This course teaches the theory of both open and closed center
^DSL251,Electronic Computer Diagnosis/Repair,3,"This course covers the study of the electrical and electronic con-
trol system used on diesel powered equipment.  This course also"
^DSL261,Air Conditioning Diagnosis/Repair,2,"This course covers refrigeration theory, operation, testing, and"
^DSL272,Suspension and Steering,3,"This course teaches troubleshooting disassembly, inspection, and"
^DSL275,Diesel Management,3,This course introduces the concepts and principles of effective
^DSL281,Transmission Overhaul/Diagnosis,3,After completion of this course the student should be able to
^DSL291,Advanced Clutch & Power Train,3,Students will become proficient in the diagnosis and repair of
^DSL295,Occupational Work Experience,0,Occupational Work Experiences are available to student who
^ECH100,Early Childhood Fundamentals,3,Students will develop baseline knowledge and skills needed
^ECH101,"Recognizing Child Abuse, Neglect, 
& Head Trauma",1,Participants enrolled in this course will be able to define the
^ECH102,"Understanding Multiple Intelligences 
and Children’s Learning Styles",1,This course will focus on Howard Gardner’s theory of multiple
^ECH104,Early Childhood Curriculum Planning,3,Students will discover what professionals need to know and
^ECH105,Early Childhood Cultural Competency,1,This course will examine cultural competency when working
^ECH106,Understanding Children’s Temperament,1,This course provides an overview of temperament traits and
^ECH107,Supporting Children’s Learning Through Play,1,This course will examine the nature and characteristics of play
^ECH108,Childhood Obesity and Good Nutrition,1,This course will examine the common reasons for childhood
^ECH109,Bullying Prevention and Response,1,This course will examine types of bullying and consequences for
^ECH110,Early Childhood Credential Portfolio I,3,Students will acquire the skills and knowledge associated with
ECH112,Introduction to Early Childhood Education,3,This course will provide you with the opportunity to explore
^ECH115,Early Childhood Credential Portfolio II,3,Students will learn ways to establish positive relationships with
^ECH150,Creative Experiences with Young Children,3,This course is a core requirement for the Early Childhood
^ECH160,Observing & Interacting w/ Young Children,3,This course is designed for practitioners who work with children
^ECH180,ECH Literacy & Language Development,3,"This course will prepare current or future early childhood teach-
ers to enhance the early literacy outcomes of young children by"
^ECH182,Early Childhood CDA Renewal,3,This course is for students who have a current preschool or
^ECH200,Program Planning and Development,3,Students in this course will be introduced to the total range of
^ECH202,Early Childhood Mentoring,3,This course is for the committed Early Childhood Professional.
^ECH210,Family Involvement in Education,3,"This course will provide a study of family involvement in educa-
tion from an interdisciplinary approach.  The course will cover"
^ECH220,Principles of Inclusion,3,This course explores the barriers to and influences on inclusive
ECH 100,"and ECH 160 or Instructor Permission
^ECH250 Early Childhood Practicum",3,This course is designed for students who are assuming teaching
ED 101,Pre-Professional Lab I,1,This course is designed to provide an introductory hands-on
ED 102,Pre-Professional Lab II,1,This course is a continuation of
ED 101,"and is designed to 
provide additional hands-on experience for students majoring in 
81
education. The course will consist of direct experience observing 
a professional educator in the classroom as well as tutoring and 
participation in classroom activities. Prerequisite: ED 101 and 
Clean Criminal Background Screening within the past 12 months
ED 110 Intro to Elementary & Secondary Education",3,"This course will cover the historical and sociological develop-
ment of elementary and secondary American education, the role"
^EGT106,Computer Numeric Control Concepts,3,"This introductory course the concepts and capabilities of Com-
puter Numeric Control machine tools. Topics to include setup,"
^EGT186,Engineering Graphics Application,2,This course teaches the basic concepts of Computer Aided
^EGT206,Machining Processes,3,This introductory course teaches basic machine shop operations.
^EGT 226,Computer CAD/CAM Operation,4,This course instructs the concepts and capabilities of Computer
^ELE102,Safety (OSHA 10),1,"This course will: explain job/site safety and precautions for job/
site hazards; determine the uses of personal protective equip-
ment (PPE); identify the safety equipment and procedures related"
^ELE112,AC/DC Circuits  I,4,"The focus of this course is to give the student a ground level un-
derstanding of direct current (DC) and alternating current (AC)"
^ELE115,Print Reading,2,Students learn to read specification manuals and prints as applied
^ELE122,Residential Wiring I,4,"An introductory course on residential wiring methods that in-
cludes practical application hand-on experience in implementing"
^ELE125,Generators & Transformers,3,"Students will gain a working knowledge of the theory and practi-
cal application of single-phase and 3-phase electrical components."
^ELE132,Commercial Wiring I,4,An introductory course on commercial wiring methods that
^ELE135,Troubleshooting Techniques,4,This course will provide troubleshooting and repair techniques.
^ELE142,National Electrical Code I,4,An introductory course on the use and interpretation of the
^ELE152,Industrial Construction Wiring & Design,4,This course will take a look at what is required in the industrial
^ELE162,Electrical Motor Operations & Control,5,"In this course students will begin a study of electric motor oper-
ation and systems used to control their operation. Fundamentals"
^ELE163,Electrical Motor Operations & Control II,5,"This course is a continuation of ELE162 Electrical Motor Oper-
ations & Control. Its purpose is to provide an understanding of"
^ELE165,Blueprints & Schematics,3,This course prepares the student to interpret standard electrical
^ELE172,"Fundamentals of Programmable Logic 
Controllers",2,This course provides an introduction to programmable logic
^ELE175,Troubleshooting Techniques II,4,This course will provide practical and a real-world systematic
^ELE182,National Electrical Code II,4,A continuation of the National Electrical Code I course on the
^ELE195,Occupational Work Experience,0,Occupational Work Experiences are available to students who
ENG094,ESL Orientation,1,"An English Second Language course which focuses on orienta-
tion into the American culture, academic success, and foundation"
ENG095,Fundamentals of Reading,2,This course is constructed to develop student proficiency in
ENG096,"Fundamentals of Reading & 
Writing-Advanced",3,This course is designed to develop student proficiency in college
ENG 101,"College English I and in the workforce. Prerequisite: Assessment
ENG097 Fundamentals of English-
Accelerated Learning",3,This course is designed as intensive instruction and practice in
ENG098,English Language Learner Success,3,An English Second Language course which focuses on the
ENG101,Composition I,3,This course provides instruction and practice in the principles
ENG102,Composition II: Literature and Research,3,This is the second of a two-course sequence in college English
ENG103,Composition II: Rhetoric and Research,3,This is the second of a two-course sequence in college English
ENG104,Introduction to Literature,3,"This course will enable the student to discuss and interpret rep-
resentative English-language literary works in a variety of genres."
ENG110,Technical Composition,3,Offers intensive drill in using rhetorical writing methods applied
ENG 096,"or Assessment
ENG202 American Literature: Pre-Colonial-Civil War",3,"The purpose of this course is to provide a survey study of sig-
nificant writers, works, and developments in American literature"
ENG205,Old Testament Literature,3,This course provides a survey of the Old Testament as a literary
ENG208,Introduction to the Short Story,3,The purpose of this course is to provide a study of the literary
ENG209,American Literature: Reconstruction-Present,3,"This course provides a survey of the significant writers, works,"
ENG210,World Literature: Beginnings to Renaissance,3,"This course focuses on the scope of world literature with selec-
tions generally regarded as masterpieces. The time range repre-
sented by the selections is roughly from 2000 BCE to 1650 CE."
ENG211,World Literature: Enlightenment to Present,3,"This course focuses on the scope of world literature with selec-
tions generally regarded as masterpieces. The time range repre-
sented by the selections is roughly from 1650 CE to the present."
ENG212,British Literature: Middle Ages to 1800,3,"This course provides a survey of the significant writers, works,"
ENG213,British Literature: 1800 to Present,3,"This course provides a survey of the significant writers, works,"
ENG215,Diverse Voices in Literature,3,"This course explores significant topics, themes, and genres over a"
ENG223,Creative Writing,3,This course is designed to give students an opportunity to write
^ENO116,Introduction to Enology,3,This introductory course is designed to provide students with an
^ENO130,Intermediate Enology,3,This intermediate course is built on the fundamentals of science
^ENO147,Fruit Wine Production,2,"This course will cover the history of fruit wine making, starting"
^ENO148,Winery Sanitation,3,This is a course in the basic science and technology of winery
^ENO160,Winery Equipment Operations,2,This course covers process technologies and process systems
^ENO210,Introduction to Wine Microorganisms,2,This course is an introduction to the variety of both beneficial
^ENO250,"Equipment Technology for the Wine Business 
Entrepreneur",3,"This course covers equipment and technologies used in vineyard,"
^ENO257,Fall Winery Production Technology,3,This course is designed for the individual anticipating a career
^ENO259,Cellar Operation Technology,2,This course is designed to provide students initiated in the field
^ENO266,Sensory Evaluation,3,"This course is intended for students who need to develop an un-
derstanding of the principles of sensory evaluation used in com-
mercial winemaking. It will also be of benefit to the wine enthusi-
ast who is interested in reaching advanced levels of appreciation"
