code,name,credit,description
ART 406,Portrait and Commercial Photography,3,"Odd Falls An exploration of techniques and equipment used in portrait and commercial photography, both in studio and on 
location. 
Prerequisite: ART 306 Tools and Techniques of Photography." 

ART 415, Advanced Practice,3,"Fall, Spring Continued work in two- or three-dimensional design, including drawing, printmaking, painting, sculpture, ceramics, 
graphic design, and mixed media. Emphasis on individual direction and goals. ""C"" or better for media and visual arts 
department majors. Repeatable up to two times."
ART 416,Portfolio,3, "As recommended Students who do not pass
ART 415 with a C"" or better or who are unprepared for ART 470 may be required to take the 
Portfolio course. Special emphasis on fundamental design and creative problem solving within the student’s 
concentration. Aids students in portfolio compilation that meets departmental standards. Taking or passing ART 416 
does not exclude a student from taking ART 470. ""C"" for media and visual arts department majors. 
Prerequisite: ART 415 Advanced Practice. "

ART 436, Photography Portfolio,2,"Even Springs Individualized advanced projects in photography with an emphasis on the process involved in generating a portfolio of 
images, a coherent body of work based upon a theme, concept, style or selected subject matter.  
Prerequisite:"
ART 471,Senior Art Exhibition,3,"Fall, Spring Students prepare and exhibit a body of high-quality work related to their emphasis. The exhibition process develops 
skills, attitudes, and values needed for success in graduate study in visual art and professional careers. A show 
statement and promotional materials will be submitted. The senior exhibition must be hung within one semester after 
completing ART 470 Art Seminar. Graded ""S""/""U."" A senior art exhibition may qualify for honors."  


ASI 301, Land and Water Resources,4,"Great Lakes, Summer I Systems-level perspective on landforms, hydrology and ecosystems. Analysis and interpretation of map and field data, 
remote sensing data derived from satellites and aircraft, and geographic information systems (GIS), including field 
trips to and analysis of earth surface process and landforms of glaciers, soils, lakeshores, rivers and groundwater. 
Includes application to policy and land use planning.  
Prerequisite: one year of introductory science."
ASI 302,Lake Ecology and Management,4,"Great Lakes, Summer II Field study of lakes and other freshwater systems with applications to planning and management, including an 
introduction to limnology and investigation of representative lakes, streams, and wetlands of the region. Compares 
the North American Great Lakes and their stewardship with other great lakes of the world. 
Recommended: one year of general biology and one year of general chemistry."
ASI 303,Ecological Agriculture,4,"Pacific Rim, Summer II Focuses on development of agricultural systems to better resemble natural ecosystems to achieve food for 
COURSE DESCRIPTIONS 


Spring Arbor University 2022-2023 Undergraduate Academic Catalog 
228 


communities, vibrant economies, and healthy ecosystems. Focuses on agricultural principles applied in rural, urban, 
temperate, and tropical settings, and issues of justice, public policy, and other difficult, practical, and ethical issues."
ASI 304,International Development and Environmental Sustainability,4,"Pacific Rim, Summer II Principles of sustainable development, examining ecological sustainability and sustainable society in the context of 
various factors that are bringing environmental degradation and impoverishment to people and cultures. Addresses 
problems associated with tropical agriculture, hunger, poverty, international debt, appropriate technology, relief 
programs, missionary earth-keeping, conservation of wild nature, land tenure, and land stewardship and the 
resolution of practical and ethical issues associated with these problems. Classroom and field settings."
ASI 310,Environmental Law and Policy,4,"May Online Analysis of the policy-making process at local, national, and international scales with examination of environmental 
policy challenges including climate change, resource management, and energy development. Students will interact 
with regional policymakers and land managers in the field to consider linkages between policy and science and ways 
for science to inform the policy-making process. Considers environmental ethics, environmental justice, and 
environmental advocacy."
ASI 311,Field Botany,4,"Great Lakes, Summer I Field and lab identification, systematics, natural history, and ecology of vascular plants as components of natural 
communities and their relationships to ecological features, including stratification, history, plant zonation, adaptation, 
and animal interactions are examined. Explores relationships of plant families and higher groups are covered.  
Prerequisite: one year of general biology or one semester of botany."
ASI 318,Marine Biology,4,"Pacific Rim, Summer II Biology of marine plants and animals in the field. The focus of the course is on intertidal life and marine ecology in 
oceanic and geophysical context. Includes trophic dynamic relationships of eel grass communities and the intertidal 
zone, workings of the island systems of Puget Sound, ecological roles of sea birds and fishes, population and 
community structure dynamics, exploitation and oceanic microbialization, and biogeochemical processes and their 
linkages with the biosphere. Examines marine stewardship and effects of human activity on the marine environment."
ASI 321,Animal Ecology,4,"Great Lakes, Summer I Interrelationships between animals and their biotic and physical environments, emphasizing animal population and 
community dynamics. A field course that centers on the ecology of northern Michigan fauna from a field biology 
perspective with an emphasis on stewardship. Included are individual student projects.  
Prerequisite: one year of introductory science."
ASI 322,Aquatic Biology,4,"Great Lakes, Summer I Ecology, identification, systematics, culture, and care of aquatic plants and animals, and adaptations to freshwater 
environments as determined by direct investigation in lakes, ponds, bogs, marshes, streams, and in the laboratory. 
Assesses human impacts on aquatic species and ecosystems, presents procedures for the stewardship of aquatic 
habitats, and introduces aquatic restoration ecology.  
Prerequisite: one year of general biology or one semester each of general zoology and general botany."
ASI 342,Fish Ecology and Management,4,"Great Lakes, Summer II Introduces the relation between freshwater fish and their environments in lakes and streams. Examines techniques 
and technologies employed to manage populations and species for conservation, recreational use, and commercial 
harvest; freshwater fish taxonomy and phylogenetic relationship; habitat requirements of major fish species by life 
stages; stream habitat assessment; population measuring and monitoring; strategies for management of recreational 
and commercial species; and conservation of threatened and endangered species."
ASI 343,"Sustainability, Tropical Agriculture, and Missions",4,"Costa Rica, May Introduces sustainability and tropical agriculture with applications for working with resource-poor farmers. Includes 
the scientific basis of low-cost techniques, tropical crops and their requirements, issues in Christian missions and 
development, urban gardening, and small animal techniques in the context of agricultural employment and economy. 
Includes several trips to different ecosystem regions of Costa Rica. 
COURSE DESCRIPTIONS 

Spring Arbor University 2022-2023 Undergraduate Academic Catalog 
229"
ASI 345,Wildlife Ecology,4,"Great Lakes, Summer II Ecology, conservation, and stewardship of wildlife and their habitats. Includes examination of growth and structure 
of populations, environmental and human social factors affecting wildlife communities, and theories and applications 
of wildlife conservation. Set in the context of the historical development of the field from management to ecology to 
the land ethic of Leopold. Includes management and stewardship of non-game and endangered species, and long-
term prospects of wildlife in changing environmental, climatic, and social contexts. 
Prerequisite:"
BIO 111,"Introductory Biology or permission. 

ASI 358 Field Techniques in Wetlands",4,"Great Lakes, Summer I A comprehensive overview of wetland ecosystem processes, values, legislation and quantification. Students will learn 
to evaluate and quantify soils, hydrologic status and vegetation in a variety of wetland ecosystems including bogs, 
emergent marshes, forested wetlands and wetlands converted for agriculture, and to apply tools developed by the US 
Army Corps of Engineers and MI Dept. of Environmental Quality to assess wetland extent and habitat quality.  
Prerequisite:"
ASI 362,Environmental Applications for GIS,4,"Great Lakes, Summer II Theory and application of spatial analysis for applied social and ecological problem solving. Combines GPS field data 
collection; ArcGIS use for storage, processing, interpretation, and presentation of data; location and integration of 
existing source information; and remote-sensing integration with GIS applications. Designed around an environmental 
project to apply GIS techniques for real-world problem-solving in protecting and restoring ecosystems."
ASI 365,Insect Ecology,4,"Great Lakes, May Ecology, systematics, life history, and behavior of terrestrial and aquatic insects with an emphasis on field 
identification skills while exploring a variety of local habitats and considering the roles of insects in pollination, 
decomposition, herbivory, predation, and pathogen transmission. Explores the use of insects in citizen science, 
including participation in the MiCorps stream monitoring program that provides familiarity with stream sampling and 
macroinvertebrate communities."
ASI 368,Forest Ecology,4,"Pacific Rim, Summer II Studies the abiotic environment, species interactions, and ecosystem processes in contrasting forest ecosystems of 
the Pacific Northwest including lowland temperate rain forests, montane forests on the slopes of the Cascades, and 
sub alpine parkland near tree line in the Olympics. Introduces quantitative research approaches relevant to forest 
systems including data collection, management, and basic analysis.  
Prerequisites:"
ASI 471,Conservation Biology,4,"Great Lakes, Summer I Conservation biology principles with applications to sustainable human society and biospheric integrity. An integrative 
approach to biology and society that interrelates population biology, ecological principles, biogeochemical cycles, 
ecosystem functions, and human society in the context of biospheric degradation. Develops a stewardship perspective 
rooted in biological principles and directed at conservation of plant and animal species, biotic communities, 
ecosystems, and human society. Included are topics of human development, poverty, and economic growth.  
Prerequisites:"
ASI 482,Restoration Ecology,4,"Great Lakes, Summer II Ecological principles for ecosystem restoration and applications for restoring degraded and endangered species. Field 
studies include analysis of restoration and rehabilitation work with the Kirtland’s warbler, an officially designated wild 
river, coastal dunes, kettle-hole bogs, deforested lands, degraded residential and farming sites, and abandoned oil 
wells. A practical field lab is included in which techniques are applied to a specific site.  
Prerequisite: one year of biology and one course in ecology or field biology, or permission of instructor. 
 
AUD (Audio Production)"
AUD 174,Radio Production,3,"Even Falls Examines day-to-day operations of a radio station. Introduces principles of station management and promotion, and 
techniques used to write, produce, and perform various types of programming for live and voice-tracked broadcasts."
AUD 302,Introduction to Podcasting,1,"Odd Interims Students create and distribute a podcast. Emphasis on identifying theme, writing dynamic copy, interviewing and 
using mechanics of production including audio editing and mixing. Required access to audio editing software."
AUD 321,Sound Design,3,"Odd Falls A concentrated study of the science of sound and audio in both live and studio settings. Explores concepts of 
microphone construction, design and placement, acoustics, mixing, equalizing, recording and sound editing for film, 
video and live events. Emphasis on practical, hands-on application of audio recording principles and practices.  
 
BIB (Biblical Studies)"
BIB 217,Survey of the Old Testament,3,"Fall, Interim, Spring, Online Surveys the Old Testament as a collection of sacred Jewish and Christian texts, as divine revelation, and as a source for 
spiritual formation and ministry, focusing especially on the ways these texts depict God, the identity and destiny of 
humankind, and the role of the community of faith in God’s redemptive work in the world. Introduces critical 
approaches to interpretation of the Old Testament. Considers and emphasizes how to faithfully embody these texts."
BIB 218,Survey of the New Testament,3,"Fall, Interim, Spring, Online Surveys the New Testament, focusing on the presentation of Jesus Christ, his life, his message and his church. 
Examines the New Testament as a collection of 1st century documents of the Early Church, as the revelation of God, 
and as a source for spiritual formation and ministry. Introduces critical approaches to the interpretation of the New 
Testament. Considers and emphasizes how to faithfully embody these texts."
BIB 220,Biblical Interpretation,3,"Spring Introduces interpretation of the Bible as the Church’s Scriptures using a variety of ecclesial lenses (encompassing 
patristic, medieval, Reformation, critical, and post-critical contributions). Students develop initial skills in the inductive 
study of biblical texts, in the larger process of biblical exegesis, and in the engagement of biblical texts as part of the 
Church’s ongoing theological reflection and practice. 
 
 
 
 
COURSE DESCRIPTIONS 
  
Spring Arbor University 2022-2023 Undergraduate Academic Catalog 
231"
BIB 302,Old Testament Historical Books,3,"Even Interims An exegetical study of Joshua through Esther as part of the Church’s Scriptures. Specific emphasis on the development 
of interpretation skills of these predominantly narrative materials; critical issues that arise from this particular genre; 
and the role of these biblical texts in the Church’s ongoing theological reflection."
BIB 303,Prophets and Politics,3,"Even Springs An exegetical study of selected books in the Old Testament corpus of major and minor prophets as part of the 
Church’s Scriptures. Specific emphasis on interpretation skills of these biblical texts; critical issues that arise from this 
particular genre; and the role of these texts in the Church’s ongoing theological reflection and Christian witness."
BIB 304,Genesis: Creation and Fall,3,"Odd Springs Focuses on the book of Genesis as part of the Church’s Scripture. Attention given to presuppositions and 
interpretative methodologies (such as historical, literary, and canonical criticism). Emphasis on the text’s significant 
theological contributions to Christian teachings about God, humanity, creation and salvation."
BIB 308,"History of the Bible: Origins, Development and Canon",3,"Odd Falls Examines the production and transmission of written materials in the ancient world. Focuses on the strengths and 
weaknesses of Hebrew, Aramaic, and Greek as vehicles of written communication. Evaluates and compares the 
various theories of canonization and examines the historical process by which they occurred. Includes principles of 
text criticism, text assessment, and decision-making related to various translations. Explores guidance in choosing 
biblical versions, identifying landmarks in the history of biblical translation, and issues of the current debate."
BIB 313,Four Gospels; One Jesus,3,"Even Springs An exegetical and theological study of the four canonical Gospels: Matthew, Mark, Luke, and John. Analyzes the 
unique nature and character of each Gospel while affirming the unity of their presentation of Christ. Emphasis on 
current critical approaches and the role of these texts in the Church’s on-going theological reflection, preaching, 
teaching, and practice. Addresses critical issues arising out of careful study of these biblical texts, such as the synoptic 
problem, the unique nature of the gospel of John, and the question of the historical Jesus."
BIB 333,"Paul: Preacher, Pastor, and Theologian",3,"Odd Springs An exegetical study of selected letters of the Pauline corpus. Emphasis on current critical approaches to these letters, 
to the development of skills in the interpretation of these and other letters, and to the role of these texts in the 
Church’s ongoing theological reflection. Addresses critical issues arising out of the careful study of these texts, such as 
authorship questions, influences on the life of Paul, and the relationship of these letters to the materials in Acts."
BIB 342,Hebrew History and Geography,3-4,"Limited Normally, a travel seminar to Israel during interim, includes archaeology. On campus, a study of the historical books of 
the Old Testament and intertestamental Jewish history. Cross listed"
BIB 403,History of Biblical Interpretation and Criticism: 1750-1950,3,Odd Springs See
BIB 404,Biblical Wisdom and Postmodern Culture,3,"Even Falls The exegetical study of texts from the Psalms, Job, Proverbs, Ecclesiastes, and Song of Songs to assess the canonical 
role and theological contributions of these materials within the life of the Church. Considers perspectives on reality 
which these materials offer, as well as attendant implications for Christian doctrine, ethics, and spiritual formation."
BIB 407,"Revelation, Eschatology, and the End of the World",3,"Even Falls An exegetical, historical, and theological study of the Revelation (or Apocalypse) of John. Surveys apocalyptic texts in 
the Old Testament, the Intertestamental period, and the Gospels in order to provide an interpretive framework for 
reading the Revelation. Broadly considers the topic of eschatology (study of the end times) with emphasis on the 2nd 
Temple Jewish eschatology, early Christian eschatology, and contemporary understandings of the end of the world."
BIB 408,The Bible in Global Perspectives,3,"Odd Falls Addresses key issues in contemporary readings of the Bible, drawing upon hermeneutical and theological tools, and 
COURSE DESCRIPTIONS 
 
 
Spring Arbor University 2022-2023 Undergraduate Academic Catalog 
232 
 
 
explores biblical interpretation and theological development of the church in Africa, Asia, Latin America, and among 
minority communities in the West. Enables students to engage with global perspectives on Christian faith and practice 
and foster their skills as Bible interpreters and theologians."
BIB 484,Seminar in Bible,3,"Limited Advanced seminar in Bible, offering exegetical study of selected texts. Even years will focus on Old Testament; odd 
years will focus on New Testament. Students hone interpretive, research, presentation, and/or teaching skills through 
assignments such as interpretive projects, research papers, critical book reviews, and in-class presentations (including, 
but not limited to, leading the seminar). Students who know biblical languages are encouraged to engage the Bible in 
its original language. Recommended for students planning to pursue graduate studies. 
 
BIO (Biology)"
BIO 100,Principles of Biology,4,"Fall Introduces the non-biology major to the entire field of biology. Introduces basic concepts and facts of biology, the 
methods by which this information is gained, and the issues that arise with the development and use of these facts 
and concepts. Does not count toward major or minor. Includes lab.  
Corequisite:"
BIO 101,Principles of Human Biology,3,"Online A survey course covering the basic principles of human biology including cells, metabolism, basic human anatomy and 
physiology, human impacts on the environment, and the science behind such topics as diet, alcohol and drug abuse, 
smoking, common human diseases, and pollution. For site or online students only. Students in main campus programs 
may petition to register for this course, but petitions will be granted for only extreme circumstances. Includes lab."
BIO 112,Introductory Biology II,4,"Spring A survey of the cellular, molecular, and genetic bases of life. Includes lab. 
Corequisite:"
BIO 170,Freshman Seminar in Biology,1,"Fall Introduces requirements for success in biology with academic and vocational focus. Uses guest speakers and 
seminars. Emphasizes skills in scientific writing style and the evaluation of scientific claims."
BIO 206,Genes and Speciation,3,"Limited Introduces evolutionary biology. Basic population genetics and discussions of how selection, migration, mutation, and 
genetic drift affect Hardy-Weinberg equilibria. Examines speciation, the history of life on earth, and Christian 
responses to the origins debate."
BIO 232,Microbiology for Nurses,3,"Fall Essential structure and function of microorganisms with focus on recent advances in medical microbiology, pathogens, 
disease control, and natural and artificial immunity. Includes Lab. ""B-"" or better required. 
Prerequisites: BIO 265 Anatomy and Physiology II and CHE 142 General Organic Biochemistry. 
Corequisite: BIO 232L " 

BIO 234, Pathophysiology for Nurses,3,"Spring Examines why certain diseases affect physical appearance; medication effectiveness, side effects, and reasons for 
complications; and how pathophysiology forms the rationale for evidence-based medicine.  ""B-"" or better required."
BIO 261,Human Anatomy/Lab,4, "Spring A detailed study of the human organism at the cellular, tissue, and organ system levels. The relationship between 
structure and function is covered with emphasis on structural relationships. Laboratory study includes microscope 
work along with substantial organ and animal dissection. Prerequisite:BIO 264 Anatomy and Physiology I/Lab. Corequisite: BIO 265L."

BIO 281, Environmental Science,4, "Fall Spring Current global and local environmental problems and concerns are examined. Scientific bases of problems and possible 
solutions are included. Topics include atmospheric pollution, population, energy, solid waste, toxic waste, water and 
others. A biblical stewardship approach is integrated with course context. Includes lab."
BIO 305,Principles of Genetics,4,"Fall Introduces the underlying concepts in genetics. Includes a detailed study of Mendelian inheritance patterns in a 
variety of organisms; an introduction to human genetic diseases; the genetic control of development; the genetics of 
populations; and evolution. Includes lab. Prerequisites: CHE 201 Organic Chemistry I. Corequisite: BIO/CHE 472L."  

BIO 473, Biological Chemistry II,4,"Odd Springs Continuation of CHE 472 Biological Chemistry I. Corequisite: BIO/CHE 473L. "

BIO 480, Senior Seminar,2,"Fall Advanced studies in selected biological topics. Course design relates the concepts of biology to contemporary, 
historical, technological, societal, and ethical issues. Lectures, current journal readings, library research, student 
presentations, and discussion aid in developing inquiry techniques and critical thinking." 


BUS 103, Introduction to the Business Environment,2,"Embedded H.S. Course An overview of the business environment, including the functional areas of a business and how they work together. 
Designed to be paired with a work-study program which allows students exposure within the workplace. Offered only 
as an embedded dual enrollment course at high schools."
BUS 107,Foundations of Leadership and Ethics,3,"Fall, Spring Examines the lives of great leaders, including biblical figures, through reading leadership literature and practicing 
leadership skills. The course especially benefits those going into business but will also be useful to all interested in 
being ""critically involved in the affairs of the contemporary world."" Business ethics is a key component of the course."
BUS 162,Business Computer Applications,1,"Fall, Spring Introduces business computer applications which include, but are not limited to, Excel and PowerPoint to enhance 
students’ analytical and presentation skills."
BUS 232,Business Seminar,1,"Fall, Spring A seminar course to engage students on topics where Judeo-Christian values, the liberal arts, economics, and current 
events overlap to prepare students to operate from a biblical foundation in a largely secular business world.  
COURSE DESCRIPTIONS 


Spring Arbor University 2022-2023 Undergraduate Academic Catalog 
236"
BUS 271,Business Law I,3,"Fall, Spring Introduces the interrelationship of law and business with the intent of establishing a knowledge- and skill-base upon 
which students can build an understanding of our legal system and an ability to recognize and manage legal issues 
that arise in day-to-day business contexts. Examines the American legal system, the U.S. Constitution, litigation and 
alternative dispute resolution, jurisprudence, business ethics, relevant tort and criminal law, and contract law."
BUS 272,Solutions Seminar,1,"Limited Introduces leadership and management principles through reading and listening to the accounts of outstanding 
practitioners. Practical application and written report included."
BUS 301,Money and Banking ,3, See FIN 301. 

BUS 325, Principles of Management,3,Fall The general nature and functions of organization and management in society.
BUS 351,Statistics,3,"Fall Introduces statistics for business majors. Covers principles in descriptive and inferential statistics. Primary focus on 
integrating statistics into business problem-solving. Surveys strategies for problem-sensing, diagnosis, and decision 
making through careful collection, organization, and interpretation of appropriate data. Also covers research design: 
research process, research methodology, data collection and sampling techniques, and instrument design. 
Prerequisites:"
MAT 101,"College Algebra, MAT 104 Math for Liberal Arts, or 2 years of H.S. algebra with a ""B"" or better. 
 
BUS 354 Statistical Applications for Business",1,"Fall Explores statistical applications for business. Hands-on experience, conducting a satisfaction survey study that lends 
itself to the use of quantitative data analysis including but not limited to graphical presentation of data, comparison of 
population means, correlation, and regression analysis covered in an introductory statistics course."
BUS 371,Organizational Behavior Management,3, See PSY 371. 

BUS 372, Business Law II,3,"Even Springs Builds upon the foundation of Business Law I and covers the law of enterprise organization (primarily corporations, 
partnerships, LLCs and agency law). Several Uniform Commercial Code Articles (sales, negotiable instruments, secured 
transactions), personal property and bailments, and insurance.  
Prerequisite:"
BUS 424,Strategic Management,4,"Spring Capstone course. Examines the strategic planning and management process from the perspective of the top-level 
executive or consultant. Integrates and draws upon previously acquired business knowledge and management skills to 
apply to various business cases and projects. Also addresses ethics, leadership, marketing, management, 
organizational structure, finance, operations, social responsibility, competition, and government and international 
relations, as they affect strategic decision making at the corporate, business, and functional levels of the organization.  
Prerequisites:
BUS 325 Principles of Management, FIN 362 Principles of Finance, and MKT 221 Marketing Principles. 
 "
BUS 426, Operations and Supply Chain Management,3,"Even Falls Introduces the challenges of complex production/operations systems and the array of contemporary tools currently 
employed to meet those challenges. Examines current theory and modeling techniques used by real organizations.  
Prerequisite: junior standing. 
"
BUS 432,Human Resources Management and Supervision,3,"Spring Analyzes and applies principles and practices related to human resource planning, recruitment, selection, utilization, 
and labor relations. Special attention on the legal environment and management and human resources supervisory 
issues. Covers human resource management functions in organizations of various sizes."
BUS 435,Business and Government,3,"Spring Examines the relationship between business and government including a study of the U.S. Constitution and the basis 
for and the limits upon government regulation of business; the history and current impact of government policy on 
business through direct regulation such as antitrust law, consumer protection law, employment, safety, 
environmental, and civil rights regulation; the influence of government on business through indirect action such as 
foreign trade and foreign investment policy, fiscal and monetary policy, entitlement and defense spending and 
taxation; and strategic responses of business to these policies.  
Prerequisites:"
