code,name,credit hours,description
ACC 355,SPECIAL TOPICS,3,"Special topics courses are offered under this number for topics in Accountancy that are not included in the established 
curriculum."
ACC 400,INDEPENDENT STUDY,1- 3,"Departmentally approved independent study in a selected area of accounting under the supervision of a member of the 
department."
ACC 401,ACCOUNTING SEMINAR I,3,"Prerequisite: ACC 101 and 102; Recommended: ACC 202  
A seminar examining advanced accounting for business combinations with emphasis on parent and subsidiary accounting, 
consolidations, mergers, equity method of reporting investments in common stock and segment and interim reporting."
ACC 402,ACCOUNTING SEMINAR II,3,"Prerequisite:  ACC 101 and 102; Recommended: ACC 202   
A seminar examining foreign currency transactions and translation of foreign currency financial statements, accounting for 
the organization, division of profit and loss and liquidation of partnerships and accounting for governments and not-for-profit 
organizations."
ACC 420,ACCOUNTING INFORMATION SYSTEMS,3,"Prerequisite:  ACC 202, CIS 111   
A course examining how an organization processes its economic transactions, transforming accounting data into information 
useful in decision making.  Topics explored include: The use of flowcharts to document accounting systems; a study of 
database management systems and the construction of accounting databases using Microsoft Access; an overview of 
enterprise recourse planning (ERP) systems; and a detailed examination of several accounting application subsystems.  Special 
attention is placed on the internal controls employed to ensure the integrity of data processing."
ACC 422,AUDITING PRINCIPLES AND PROFESSIONAL ETHICS,3,"Prerequisite:  ACC 420   
A course exploring the fundamental principles of auditing and the procedures used in the analysis and verification of accounts.  
The course spans the entire audit process, from the initial planning stages to the issuance of the final audit report.  Emphasis 
104 | COURSES OF INSTRUCTION 
 
throughout the course is placed on risk evaluation and the accumulation of evidence to support the audit opinion.  In addition 
to investigating the technical aspects of an audit, the course also examines the ethical responsibilities of the professional 
auditor to society."
ACC 455,SPECIAL TOPICS,3,"Special topics courses are offered under this number for topics in Accountancy that are not included in the established 
curriculum."
ACC 495,INTERNSHIP,1-3,"Interns work within organizations or other settings gaining experience in a specific area.   
COURSES OF INSTRUCTION: ART"
ART 103,SPECIAL TOPICS FOR NON-MAJORS,3,Courses designed for the non-art majors or specifically designed courses for outside disciplines.
ART 116,3-DIMENSIONAL DESIGN,3,"Core Area: Fine Art 
A studio course dealing with the study of and experimentation with basic elements and principles of visual design in a 
sequence of three-dimensional problems.  A variety of materials will be used."
ART 117,COLOR/LIGHT/DESIGN,3,"Core Area: Fine Art 
This course investigates two-dimensional principles (line, value, texture, shape, form, and composition), color theory 
(structure, terminology, and optical and psychological dynamics) and light (how it affects our perception of form and color).  
Using art and nature as sources, students employ a variety of media to explore sensory and emotional, as well as intellectual, 
aesthetic concepts.  Course work includes lecture, demonstration, studio work and critique for both art majors and non-art 
majors."
ART 125,MODERN ART,3,"This art history class is an overview of modern artistic movements and styles beginning with French impressionism through 
the work of the Pop artists of the 1960s.  Pedagogies include slide lectures, class discussions, student presentations and field 
trips to see local museums and collections.  This course has been specifically designed for the core curriculum and non-majors 
and may not substitute for any course in either the BA or BFA program."
ART 126,VIEWING THE ARTS,3,"Core Area: Fine Art 
Offers a general study of the elements of fine arts.  Attendance is required at public performances."
ART 130,PAINTING I,3,"Prerequisite:  ART 138  
Core Area: Fine Art  
A fundamental course in painting designed to introduce the student to the basic techniques and processes of oil painting."
ART 135,CERAMICS I,3,"Core Area: Fine Art 
Experimentation with various hand building and wheel throwing techniques.  Students will deal with the exploration of 
functional and sculptural statements in clay.  Experience in glaze application and kiln loading."
ART 138,DRAWING I,3,"Core Area: Fine Art 
An entry-level studio course in which students learn drawing fundamentals such as line, shape, value, form, and compositional 
arrangement by observing still life arrangements and an introduction to fundamental drawing tools and materials.  Open to 
non-majors. 
 
COURSES OF INSTRUCTION 
 | 105"
ART 152,HISTORY OF PHOTOGRAPHY,3,"Core Area: Fine Art 
This survey class about the history of photography explores the development of various photo processes, ideas about ways 
we view the world through constructed images, and about photography as a fine art.  This course may be used for the core 
curriculum and as an art history elective for art and art history students."
ART 155,SPECIAL TOPICS,Variable Credit,Art courses not offered on a regular basis will be listed under this number.
ART 219,FIGURE DRAWING I,3,"A studio drawing course concentrating on the human figure.  Studio assignments focus on learning fundamental human 
anatomy, structure, proportion, and scale.  Students will work from a live model using a variety of media, techniques, and 
compositional challenges."
ART 221,TEACHING ART IN ELEMENTARY SCHOOL,3,"A course designed primarily for the classroom teacher who may be teaching in a school without an art specialist.  This course 
provides a variety of experiences such as involvement in all kinds of media, aesthetic exercises, art history through museum 
visits and experience with art criticism at various levels.  Students will have a vital role in designing and implementing their 
own sequence of art lessons for an after-school art program.  Cross-listed with EDU 221."
ART 224,SCULPTURE I,3,"Prerequisite: ART 116   
In the sculpture courses, students will experiment with traditional and contemporary approaches to sculpture, including 
carving, modeling, casting, and construction techniques."
ART 230,PAINTING II,3,"Prerequisite: ART 130   
A studio course based on the fundamentals of painting (ART 130) stressing the exploration of the painting medium as means 
of personal creative expression with an increased emphasis on composition and structure."
ART 234,PRINTMAKING I,3,"An introductory studio course in the processes of printmaking.  The techniques of monotype, intaglio, and relief printing will 
be covered.  Students will demonstrate the ability to correctly mix inks and modifiers to use in conjunction with various 
matrices such as copper, linoleum, plexiglass, and wood.  Students will develop an understanding of the best papers to use 
for each printing style."
ART 235,CERAMICS II,3,"Prerequisite: ART 135   
A continuation of techniques and problems explored in Ceramics I."
ART 238,DRAWING II,3,"Prerequisite: ART 138   
This course builds upon knowledge learned in ART 138.  Students will begin to incorporate studio still life experience and 
build personal concept development to develop their personal vision and voice.  Introduction to advanced materials and 
techniques is ongoing."
ART 243,HISTORY OF ANIMATION,3,"Core Area: Fine Art 
A course exploring how animation has developed into its own unique art form. The course will begin with an investigation of 
pre-animation innovations and advance to coverage of how animation developed during significant historical events such as 
WWI, the Great Depression, WWII, and the fall of the Soviet Union. Students will develop an understanding of the methods 
pioneered by influential animation houses such as Disney, Warner Brothers, and the Fleischer Studio. As the course 
progresses, student will practice critiquing the animations discussed through the lens of historical context and artistic style. 
 
 
106 | COURSES OF INSTRUCTION"
ART 248,DESIGN TOOLS,3,"Core Area: Fine Art 
This is an introductory course on the digital tools of graphic design: Photoshop, Adobe Illustrator, and Adobe InDesign.  Cross-
listed as CIS 248."
ART 251,HISTORY OF ART I,3,"Core Area: Fine Art 
This introductory art history course is a survey of visual art and architecture in the western perspective beginning with art 
created by prehistoric man and continuing through Egyptian, Ancient Near East, Aegean, Greek, Roman, Islamic, Early 
Christian, Byzantine, Medieval and Gothic periods. Pedagogies include lecture, class discussion and visits to the Cincinnati Art 
Museum."
ART 252,HISTORY OF ART II,3,"Core Area: Fine Art 
A survey course examining architecture, sculpture, and painting beginning with Early Renaissance art and continuing to the 
mid-19th century.  Open to non-majors."
ART 255,SPECIAL TOPICS,Variable Credit,"Core Area: Fine Art 
Art courses not offered on a regular basis will be listed under this number."
ART 256,AFRICAN-AMERICAN ART AND ARTISTS,3,"This course examines the African-American artist and the art they have produced over the last 200 years, with particular 
attention to the cultural and historical context. May be taken for the core curriculum or may serve as an elective in art history 
for art and art history."
ART 257,ART AND CULTURE OF THE AMERICAN WEST,3,"This course is an examination of the ways in which paintings, prints, and photographs of the American West can be used to 
understand broader cultural ideas about the land and its peoples. It has been designed to introduce students to the history 
of Western American art from the early nineteenth century to the present day, with special emphasis on theoretical 
approaches that suggest the ways in which visual imagery can be used as a primary source document to illuminate issues of 
broader historical concern. No prerequisites but prior college work in American history or general art history is very helpful."
ART 261,TEACHING ART IN SECONDARY SCHOOL,3,"A studio and lecture course for students preparing to teach in secondary school.  The student will study the literature of art 
education and the methods of teaching art in the high school.  Students will execute projects used in teaching art at this level.  
This course should be taken prior to supervised student teaching."
ART 265,GRAPHIC DESIGN FOUNDATIONS,3,"This course in an integration and expansion of how to deal with the visual elements in a clear and concise visual 
communication. Students will be asked to design with, make aesthetic judgments about, and communicate via visual form.  
The final third of the course will delve into symbol and mark development on a purely elemental foundation."
ART 267,TYPOGRAPHY I,3,"This course serves as an introduction that provides an essential foundation in the history, theory, and practice of typographic 
communication. Students will engage in studio projects to develop a formal understanding, aesthetic, and functional 
sensibilities, and technical skills."
ART 268,HISTORY OF DESIGN,3,"Prerequisites: ART 125, 251, 252, or permission of instructor.   
This course is a study of the history of design (with an emphasis on graphic design) and design theory from the nineteenth 
century to the present."
ART 270,ILLUSTRATION I,3,"Prerequisite: ART 138   
Core Area: Fine Art 
COURSES OF INSTRUCTION 
 | 107 
This course introduces majors and non-majors to the worlds of illustration through a series of studio assignments, lectures, 
and class discussions.  Students will study the historical role and function of illustration and generate a variety of illustrative 
projects which may include illustrating short stories, fables and folklore, editorial cartooning, game board design, and more."
ART 272,AMERICAN ART: PRE-COLUMBIAN TO THE CIVIL WAR,3,"Core Area: Fine Arts 
This course serves as an introduction that provides an essential foundation in the history, theory, and practice of typographic 
communication. Students will engage in studio projects to develop a formal understanding, aesthetic, and functional 
sensibilities, and technical skills."
ART 273,AMERICAN ART: THE GILDED AGE TO THE 21ST CENTURY,3,"This is a continuation of ART 272, although it is not a prerequisite. This course will pick up the American survey study of art, 
sculpture, architecture, and decorative arts produced during the Civil War and then move the study to art of the Gilded Age, 
and the twentieth century. Methodologies of American Studies will be part of this class. No prerequisites but prior work in 
either art history or American history is highly desirable."
ART 280,UX DESIGN PRINCIPLES,3,"Prerequisite: ART 248   
User experience design is the process of enhancing customer satisfaction and loyalty by improving the usability and pleasure 
provided in the interaction between the customer and the product.  This course provides students with an understanding of 
User Experience Design [""UX""] elements and how they work together, research methodologies, navigation design, wire-frame 
creation, and strategy as an element of user experience.  Students will also learn how to translate this knowledge to 
environments for Graphic Design and Space Design (retail, entertainment, corporate-office, hospitality, planning, etc.)."
ART 315,DRAWING AS INSTALLATION,3,"Prerequisite:  ART 238   
This course introduces students to installation art media and styles.  Students will create large scale artwork with an emphasis 
on developing vision and voice through their personal imagery."
ART 319,FIGURE DRAWING II,3,"Prerequisite: ART 219   
A studio drawing course focusing on the human figure.  The second in a series of three.  Studio assignments focus on advanced 
figure drawing assignments and a further exploration into media."
ART 324,SCULPTURE II,3,"Prerequisite: ART 224   
A continuation and elaboration of Sculpture I."
ART 325,PORTRAIT DRAWING,3,"Prerequisite: ART 138   
An advanced drawing class focusing on drawing the human face.  Involved are study of the underlying skeletal and muscular 
structures of the face as well as proportions.  A large part of the class involves ""putting it all together"" in portrait drawings 
from life, and studies of models from different ages.  A variety of media will be used."
ART 330,PAINTING III,3,"Prerequisite: ART 230   
This course builds upon knowledge learned in ART 130 and 230.  Students will develop a body of work to develop their 
personal painting vision, voice and skillset.  Introduction to advanced materials and techniques is ongoing.  Ongoing 
exploration of the painting medium as means of personal creative expression with an increased emphasis on composition 
and structure."
ART 334,PRINTMAKING II,3,"Prerequisite: ART 234   
108 | COURSES OF INSTRUCTION 
 
An intermediate studio course building on the techniques learned in Printmaking I with an emphasis on ways to incorporate 
color.  The processes of multi-plate color etching, chine-colle, and linocut will be covered.  Techniques for creating shaped 
linocut blocks will be introduced."
ART 335,CERAMICS III,3,"Prerequisite: ART 235   
A continuation of techniques and problems explored in Ceramics I and II."
ART 338,DRAWING III,3,"Prerequisite: ART 238   
This course builds upon knowledge learned in ART 138 and 238.  Students will develop a body of work to develop their 
personal drawing vision, voice and skillset.  Introduction to advanced materials and techniques is ongoing."
ART 340,DIGITAL DESIGN,3,"Prerequisites: ART 248   
Digital Design investigates the fundamental principles of web and social media design (layout, composition, typography, color, 
purpose, UX/UI, responsiveness, simplicity, writing and white space, etc.).  This course provides students with an 
understanding of User experience Design elements and how they work together, research methodologies, navigation design, 
and wire-frame creation.  Students will then learn how to apply these strategies to a 1 3 website designs and a social media 
campaign to promote those designs."
ART 341,MOTION GRAPHICS,3,"Prerequisites:  ART 117, 248   
This course will introduce the student to effectively communicate with motion graphics, using Adobe After Effects.  These 
skills will be applied in projects that stress conceptual, technical, development, and the basic theories of kinetic composition 
and aesthetics.  Skills covered include key-framing, track mattes, 3-D space, particles, typography techniques, and more.  
Students will study the history of the field, including the work of pioneers (Norman McLaren, Saul Bass, and Len Lye)."
ART 342,ANIMATION,3,"Prerequisites: ART 117, 248   
This course will give students the fundamentals needed to create animation using Adobe Animate.  Throughout the course, 
Disney's twelve basic principles of animation will be addressed.  Student will visually communicate basic narratives through 
storyboarding, blocking movements, and animating objects/figures, while considering how timing influences the perceived 
believability of actions.  Focus will be on frame-by-frame animation, tweening, rigging bones, and adding sound.  Students 
will learn how to export files and upload to streaming services for sharing online.  The course will culminate with a study of 
character development that addresses how to tell a simple story."
ART 350,THE CINCINNATI WING AT THE CINCINNATI ART MUSEUM,3,"Prerequisite: ART 251, 252, 272, or 273   
This course is a study of the social and cultural history of Cincinnati as studied through the collection of works in the Cincinnati 
Wing at the Cincinnati Art Museum.  At least 50% of the classes will be held on location at the Cincinnati Art Museum.  
Designed for upper-classmen and DGP students."
ART 351,HISTORY OF AMERICAN ARCHITECTURE,3,"Core Area: Fine Art 
This course is an examination of the architecture and the built environment in America from Pre-Colonial years to the present 
day.  This study will feature the design and construction of residences, commercial structures and public institutions.  This 
course is at once a study of periods and styles and a cultural examination of the social issues and conditions under which 
these structures rose.  We will ultimately evaluate if the architecture created in America expresses a particularly American 
view."
ART 353,TWENTIETH CENTURY ART,3,"Prerequisite: ART 251, 252   
This course is the third part of the survey of art in the western world and specifically addresses art movements and art theories 
associated with modernism and post-modernism of the twentieth century.  This course assumes the seminar format with 
COURSES OF INSTRUCTION 
 | 109 
student presentation and class discussion on the primary pedagogical method of study.  Required course for BA and BFA 
students."
ART 355,SPECIAL TOPICS,Variable Credit,"Core Area: Fine Art 
Art courses not offered on a regular basis will be listed under this number."
ART 357,A CRITICAL LOOK AT WINSLOW HOMER AND THOMAS EAKINS,3,"Prerequisite: ART 248, 265   
This course introduces students to a practice-based, hands-on approach to visual communication design.  Students will learn 
how to design with specific audiences and purpose in mind.  Topics also include typography, symbols, brand identity, logos, 
and information design.  Connections to current and historical context of the graphic arts are woven throughout the course.  
Students will also share their work and take part in design critiques and discussions."
ART 360,VISUAL COMMUNICATIONS,3,"Prerequisite: ART 248, 265   
This course introduces students to a practice-based, hands-on approach to visual communication design.  Students will learn 
how to design with specific audiences and purpose in mind.  Topics also include typography, symbols, brand identity, logos, 
and information design.  Connections to current and historical context of the graphic arts are woven throughout the course.  
Students will also share their work and take part in design critiques and discussions."
ART 361,DESIGN SYSTEMS,3,"Prerequisite:  ART 265 or 267   
A course building on skills from ART 117 and ART 267.  The use of grid systems will be introduced as a means of organizing 
and composing type and images.  Knowledge of Aldus PageMaker© software is suggested for this class but is not necessary."
ART 367,TYPOGRAPHY II,3,"Prerequisite: ART 248, 265, 267   
Typography II is the second course in the typography sequence focusing on the design of multiple pages, an introduction to 
publication design, basic typographic systems, and typographic hierarchy.  Course content includes an emphasis on concept 
and research-based practices."
ART 370,ILLUSTRATION II,3,"Prerequisite: ART 270   
This course is a continuation of Illustration I."
ART 400,INDEPENDENT STUDY,Variable Credit,Special art projects subject to departmental approval and under the direction of a departmental faculty member.
ART 415,SPECIAL TOPICS DRAWING & ILLUSTRATION,3,"Students will work closely with the instructor to develop a concept focusing on a large-scale body of work (actual size), which 
demonstrates advanced level painting or illustration."
ART 419,FIGURE DRAWING III,3,"Prerequisite: ART 219, 319   
A studio drawing course focusing on the human figure.  The third in a series of three.  Studio assignments are student driven 
and focus on advanced figure drawing assignments and a further exploration into media and concept development."
ART 424,SCULPURE III,3,"Prerequisite: ART 224, 334   
Advanced level work in sculpture.  Projects involve wood modification and creative engineering, site specific installation, and 
#D environments."
ART 430,PAINTING IV,3,"Prerequisite: ART 130, 230, 330   
110 | COURSES OF INSTRUCTION 
 
A studio course stressing the exploration of the painting medium as means of personal creative expression with an 
increased emphasis on composition and structure and the development of a personal body of work."
ART 434,PRINTMAKING III,3,"Prerequisite: ART 234, 334   
An advanced studio course building on the techniques learned in Printmaking I and II.  In the first half of the semester, 
advanced intaglio and monotype techniques will be introduced.  In the second half of the semester, students will have the 
opportunity to develop a body of work in a self-selected printmaking style."
ART 435,ADVANCED CERAMICS,3,"Prerequisite: ART 135, 235, 335   
Students in this advanced class will work on more advanced projects either sculptural or utilitarian in nature."
ART 438,DRAWING IV,3,"Prerequisite: ART 138, 238, 338   
This course builds upon knowledge learned in ART 138, 238, 338.  Students will develop a body of work to develop their 
personal drawing vision, voice, and skillset.  Introduction to advanced materials and techniques is ongoing."
ART 451,PACKAGE DESIGN,3,"Prerequisite: ART 248, 265, 267, 360   
Package design investigates the methodologies associated with designing products for mass consumer sales.  Students will 
focus on researching competitor markets; developing creativity and brainstorming ideas; defining priority of communication 
within a shelf context; and creating package designs that stand out on a shelf."
ART 455,SELECTED TOPICS,Variable Credit,"Courses in Art other than those listed will be available under this number.  For Art majors only; others can be admitted by 
permission of the department.  Offerings under this course number can include Prismacolor Drawing, Color Media Drawing, 
Figure Painting and Portrait Drawing, as well as art history electives."
ART 460,DESIGN SYSTEMS,3,"Prerequisite: ART 248, 265, 267, 360   
This course focuses on expanding students’ understanding of visual language and developing a more complex command of it 
for visual communication.  A particular emphasis will be systems design for visual identity (branding).  Additionally, exploring 
design process, professional preparation, and furthering the development of technical skills are important aspects of the 
course."
ART 461,SPECIAL DESIGN PROJECTS,3,"Course Requirement: Graphic Design students only   
A course focusing on complex applications of marks, logotypes, symbols, and their application in a corporate identity system.  
Students will be expected to draw together all information gained in design courses thus far and apply it to more complex 
and demanding projects."
ART 466,ART HISTORY SEMINAR,3,"Course Requirement: Art History majors   
A seminar offering an intensive study of a particular topic.  Students will work on researching and writing a substantial 
research paper."
ART 470,ILLUSTRATION III,3,"Prerequisite:  ART 270 & 370   
This course is a continuation of ART 370 Illustration II.  Students are assigned more advanced illustrative projects focused on 
student-driven body of work with emphasis on their chosen area of research in the field of illustration.  Students will be 
expected to create a series of original illustrations based on their research culminating in a final portfolio. 
   
 
 
COURSES OF INSTRUCTION 
 | 111"
ART 480,SENIOR SEMINAR I,3,"By taking this class, we intend for our students to have conversations about their next steps after graduation, to develop a 
sense of confidence, professionalism, and reflection about their next steps after graduation.  Ultimately through this class 
experience, our students will have been presented many opportunities to develop their personal style, resume/CV, 
artistic/business portfolio, and professional presentation and organizational skills in order for them to move more easily into 
the next phase of their professional careers."
ART 481,SENIOR SEMINAR II,2,"Prerequisite:  ART 480   
The focus of this course is on the development of exhibition content, as well as, production methods used to create 
compelling contemporary exhibitions.  During this course we will explore the many and diverse elements of exhibition design 
including: display methodologies (from physical to the digital, how to choose the right form); planning; and problem solving.  
Class format will incorporate lectures, discussions, workshops, and field trip(s).  Grading is based upon class/workshop 
participation, and development of BFA and BA senior capstone requirements."
ART 482,SENIOR EXHIBITION,1,"Senior Exhibition is the culmination of ART 481 and 482 for BFA students.  This course focuses on the finishing, installation, 
and presentation of their BFA Capstone project."
ART 495,INTERNSHIP IN ART,1-3,"Interns work within organizations or other settings gaining experience in a specific area of art.   
COURSES OF INSTRUCTION: BIOLOGY"
BIO 100,INTRODUCTION TO BIOLOGY,3,"Core Area: Natural Science - Biology 
An examination of the characteristics of living organisms primarily at the molecular and cellular level.  The nature of 
molecules, macromolecules, cellular structure and processes, and aspects of molecular genetics will be addressed.  This is a 
one-semester, biology lecture course designed for students who have not enrolled in (or completed) BIO 101/101L, but are 
majoring (Biology or Medical Laboratory Science) or minoring in a program in the Department of Biological Sciences.  This 
course is not equivalent to BIO 101/101L."
BIO 101,GENERAL BIOLOGY I,4,"BIO 101L - GENERAL BIOLOGY LAB I 
 
(3-hour lecture, 3-hour lab) 
Prerequisite: Minimum ACT Cumulative Score of 22 or permission of the instructor, BIO 101 is a prerequisite for BIO 102   
Co-requisite: CHE 111 is a co-requisite for BIO 101   
General Biology I is the study of living organisms at the molecular and cellular level.  The nature of molecules and 
macromolecules, cellular structure, metabolic processes of the cell, reproduction, and various aspects of molecular genetics 
will be discussed.  Three hours of lecture and lab meet each week.  This is the introductory biology course required of all 
majors and minors in the Department of Biological Sciences."
BIO 102,GENERAL BIOLOGY II,4,"BIO 102L - GENERAL BIOLOGY LAB II 
 
(3-hour lecture, 3-hour lab) 
Prerequisite: BIO 101/101L with a minimum grade of “C” or permission of instructor   
General Biology II is a course that complements the General Biology I (BIO101/101L) course and progresses through the 
various levels of biological organization beginning at the molecular level to the individual and up to the biosphere, earth.  This 
spring course will emphasize: (1) the organismic level: the biodiversity of life, (2) the system level: the anatomy and physiology 
of animals, and (3) the ecological level: the relationship of living organisms to one another and to the environment.  Three 
hours of lecture and three hours of lab meet each week.  Along with BIO 101/101L, this course is required of all majors and 
minors in the Department of Biological Sciences."
BIO 155,SPECIAL TOPICS,3,"Special topics courses are offered periodically for topics not included in the established curriculum. 
112 | COURSES OF INSTRUCTION"
BIO 204,EVOLUTION SEMINAR,3,"Prerequisite: BIO101 and BIO102   
A course focusing on the mechanism of evolutionary change, ranging from micro-evolutionary processes within populations 
to macro-evolutionary patterns over geologic time.  Emphasis is placed on the historical context of the discipline and the 
latest trends in research.  Course structure consists of lectures, discussions, and student presentations."
BIO 205,BIOLOGICAL LITERATURE,3,"Prerequisite: BIO 102   
Covers the standard references and forms of literature in the biological sciences through specific library assignments and 
reports.  Also included are the reading, evaluation, and discussion of classic works in the field and the preparation and writing 
of a biological review and/or experimental paper."
BIO 206,GENETICS,4,"BIO 206L - GENETICS LAB 
(3-hour lecture, 2-hour lab)   
Prerequisite:  BIO 101 and Sophomore standing or permission of instructor   
An analysis of heredity and variation from Mendel to the present, involving the physical structure and metabolic direction of 
the gene, its expression and transmission.  Students will conduct laboratory investigations of Drosophila and other genetic 
materials in terms of inheritance ratios, gene frequency, and probability."
BIO 207,MEDICAL TERMINOLOGY,2,"Prerequisite:  BIO 102   
A course examining the derivation, application, and pronunciation of selected scientific terms in general and medical terms 
in particular.   
 
BIO 211/212 - ANATOMY AND PHYSIOLOGY I, II (4, 4) 
BIO 211L/212L - ANATOMY AND PHYSIOLOGY LAB 
(3-hour lecture, 3 hour lab)   
Co-requisite: CHE 103 or CHE 111   
Core Area: Natural Science - Biology, Natural Science - Lab 
A sequence of courses is designed to provide students of Medical Laboratory Science, Nursing, and other medically related 
fields with an understanding of the human body as realized through the various levels of organization, i.e. cell, tissue, organ, 
system, and integrated organism.  Students cannot earn duplicate credit in BIO 212."
BIO 214,EXERCISE PHYSIOLOGY,3,"Prerequisite:  BIO 211 and 212  
A course examining the application of basic physiological concepts to exercise in the context of environmental conditions 
with special reference to conditioning, performance, and rehabilitation. Does not count towards the Biology major or for 
Natural Science core credit."
BIO 215,NUTRITION,2,"Prerequisite:  CHE 103/103L, CHE 104/104L; BIO 211, 212  
A course examining sources of dietary intake, and metabolism of food nutrients including proteins, lipids, carbohydrates, 
minerals, and vitamins. Students will investigate the relationship between nutrition and health.  Does not count towards the 
Biology major or for Natural Science credit. 
BIO 215A - UNDERSTANDING NUTRITION (3) 
This course will focus primarily on the relationship of the science of nutrition and the well individual.  The course work 
includes an in-depth study of the various nutrients and how the body utilizes these nutrients and a review of the nutritional 
requirements throughout the lifecycle.  The course involves techniques for nutritional assessment and guidelines for selecting 
food that provide the nutrients needed to achieve optimal health and exploration of current issues in nutrition information.  
The overall goal is to provide the student with an understanding of normal nutrition and the basic knowledge necessary to 
make diet changes specific to certain disease states. 
COURSES OF INSTRUCTION 
 | 113"
BIO 216,INTRODUCTION TO MEDICAL MICROBIOLOGY,4,"BIO 216L - MEDICAL MICROBIOLOGY LAB 
(3-hour lecture, 3-hour lab)   
Prerequisite:  Earned “C” grade or above in BIO 102 or BIO 212   
An introduction to microorganisms and their role in human health and disease.  Topics covered in this course will include the 
structure, physiology, biochemistry and genetics of bacteria, fungi, protists, helminths, and viruses.  Epidemiology, 
immunology, and the disease process will also be covered. (Credit cannot be obtained for both BIO 216 and BIO 305.)"
BIO 227,BIOLOGY OF AGING,3,"Prerequisite: BIO 102 or BIO 212   
A study of the biological aspects of the aging process generally, with an emphasis on the human aging processes as they are 
currently understood at the molecular, cellular, systemic, and organismic levels of organizations."
BIO 235,UNDERSTANDING NUTRITION,3,"Prerequisite: BIO 211/211L, BIO 212/212L and CHE 103/103L, CHE 104/104L   
The goal of this course is to provide the student with an understanding of nutrition and the knowledge necessary to make 
diet changes specific to certain disease states.  This course will focus primarily on the relationship of the science of nutrition 
and the well individual and will include an in depth study of the various nutrients and how the body utilizes these nutrients; 
a review of the nutritional requirements throughout the lifecycle; techniques for nutritional assessment and guidelines for 
selecting food that provide the nutrients needed to achieve optimal health; and explore current issues in nutrition 
information.  Does not count towards the Biology major or for Natural Science credit."
