Course Code,Course Title,Credit Hours,Description
AGT 131,INTRODUCTION TO PLANT AND SOIL SCIENCE,4," 
This course teaches principles of crop production and soil resource management. It relates soils, crop 
growth, physiology, and genetics to cultural demands and environmen tal factors. Lab investigates the 
identification of plant structures, crop seeds, and important pests. Also explores crop variety selection and 
traits, deficiency symptoms, crop scouting, basic nutrient calculations, and applications within sustainable 
and international agriculture.  
Prerequisites: CEM 141 or NSC 120  
 "
AGT 209,PRECISION FARMING,3, 
AGT 212,AGRICULTURE POLICY AND PRACTICES,1," 
This course introduces students to applicable state and federal agricultural policy as well as Generally 
Accepted Agricultural Management Practices (GAAMP) for both livestock and crop production. Studen ts 
will become familiar with where to locate and how to interpret and apply agricultural policies and best 
practices.  
Prerequisite: AGT 111  
 
 "
AGT 227,INTRODUCTION TO ANIMAL SCIENCE,4," 
The classification of different species of livestock based on breedin g, feeding and management techniques 
and how they apply to overall animal health and behavior are studied. Historical and current trends of the 
livestock industry both domestically and internationally are examined. The usage  of animal science tools in 
the agriculture field and how they can be used in future career options are highlighted. The course 
includes 15 hours of field experience.  
Prerequisites: AGT 111, and NSC 120 or CEM 141  
 "
AGT 231,AGRICULTURE FINANCE AND MANAGEMENT,3," 
This course will introd uce students to the concepts and organization of the agri -food financing systems, 
including: financial structures, lenders and borrowers, ownership and legal terminology. Topics will include 
an overview of financial analysis, cost of production, risk, leve rage and feasibility, financial statements and 
capital costs.  
Prerequisites: BUA 220  
 "
AGT 245,AGRICULTURE INTERNSHIP,2," 
This course offers meaningful industry experience within the agricultural and/or agri -business arena. 
Specific internship site, indu stry supervisor and learning outcomes must be jointly agreed upon between 
the student, the faculty member and the site supervisor. A portfolio of the internship will be created and 
submitted to the faculty member upon completion of the course.  
Prerequisite : Instructor permission required  
 
………………………………………  
 "
ALT 200,PRINCIPLES OF ALTERNATIVE ENERGY,3," (Same as ELT 160)  
This course will introduce students to alternative energy systems and their design and applications. The 
course will focus primarily on wind turbines, solar systems, and hydrogen fuel cells. A basic understanding 
of electricity is highly recommended.  
Prerequisite: MAT 020* or higher  
 "
ALT 210,FUNDAMENTALS OF ENERGY EFFICIENCY,2,"(Same as CCT 160)  
This course will explore the fundamentals of designing and maintaining an energy efficient building to 
reduce a homeowner ’s or business’s cost of utilities. Students will learn techniques to identify wasted 
energy and the methods needed to modernize an energy i nefficient home.  
Prerequisite: MAT 020* or higher  
 
 
 "
ALT 215,ENERGY AUDIT TECHNIQUES,3," (Same as CCT 162)  
This course will explore the necessary knowledge and skills to conduct a building energy audit. The class 
will learn how to operate the latest bui lding science technology and equipment to identify heating, 
cooling, base load, and air leakage problems in a building.  
Prerequisites: CCT 160 and MAT 033* or higher  
 "
ALT 250,WIND ENERGY,3," (Same as ELT 163)  
In this course students are exposed to many of the skills necessary to install a residential wind turbine 
system. Topics include siting wind turbines, turbine components, estimating turbine electricity output, 
loading, battery, inverters and off -grid/grid -connected systems. Labs include hands -on act ivities with 
turbines and electrical equipment. Prior electrical skills and knowledge are required to be successful in  
this course.  
Prerequisites: ELT 126 and ELT 151  
 "
ALT 255,SOLAR ENERGY,3," (Same as ELT 166)  
This course explores the design, install ation and maintenance of photovoltaic (PV) systems. Topics include 
site survey and assessment, estimating solar array electricity output, inverters, battery systems and       
off-grid/grid -connected systems. Labs include hands -on activities with solar pane ls and electrical 
equipment. Prior electrical skills and knowledge are required to be successful in this course.  
Prerequisites: ELT 120 and ELT 151  
  "
ALT 260,GEOTHERMAL ENERGY & SYSTEMS,2," (Same as CCT 165)  
This course will explore the basics of geothe rmal energy production, theory and technology. Residential 
system installation, maintenance and problem diagnosis will also be covered.  
Prerequisites:  CCT 121 and CCT 131 or ELT 120  
 "
ALT 265,SOLAR THERMAL ENERGY & SYSTEMS,2," (Same as CCT 167)  
This course will explore the basics of solar thermal energy technology and application. The class will also 
cover system installation, maintenance and problem diagnosis.  
Prerequisites:  CCT 121 and CCT 131 or ELT 120  
 "
ALT 270,ALTERNATIVE FUELS,3," (Same as AUT 160)  
This course is an overview of alternative fuels used in automobiles and light trucks. Students learn about 
various alternate fuels, their effect on exhaust emissions, their effect on the environment, the economic "
ANT 131,CULTU RAL ANTHROPOLOGY,3," 
Cultural anthropology is a one -semester introductory course. The course focuses on the thesis that every 
society is based on an integrated culture which satisfies human needs and facilitates survival. The course 
also explores the wa ys in which our own culture fits into the broad range of human possibilities.  
 
………………………………………  
 
 
ART (ART)  
 "
ART 101,TWO -DIMENSIONAL DESIGN,3," 
Students will learn the principles and elements of 2 -D design and practice their application in a variety of 
hands -on studio projects. Critical thinking skills such as problem solving, understanding the creative 
process (from idea to finished product), and addressing visual and conceptual themes are essential parts 
of the course. These skills are reflected in stud io projects.  
 "
ART 103,DRAWING I: FOUNDATIONS,3," 
This course introduces basic drawing principles and techniques in a studio setting. Students explore 
contour and tonal drawing using various subjects and media in both observational and conceptual 
drawing s. Projects will incorporate a variety of ability levels, as well as traditional and non -traditional 
media (including digital images). Students will draw from a nude model. Critical thinking skills such as 
problem solving, understanding the creative proces s (from idea to finished product), and addressing visual 
and conceptual themes are essential parts of the course, reflected in the studio projects. An end of 
semester portfolio represents students’ growth and artistic development.  
 "
ART 111,ART HISTORY: PRE HISTORIC TO 1400,3," 
This course is a survey of art history and aesthetics covering art and architecture from prehistoric times  
to 1400.  
 "
ART 112,ART HISTORY: RENAISSANCE TO PRESENT,3," 
This course is a survey of art history and aesthetics covering art from the Renaissance through the  
21st century.  
 "
ART 121,CERAMICS I: FOUNDATIONS,3," 
A general overview of ceramics that focuses on a variety of hand building techniques as well as wheelwork 
and finishes.  
 "
ART 122,CERAMICS II: WHEEL & CERAMIC SCULPTURE ,3," 
This course allows the advanced students an opportunity for further work on wheel -produced production 
pieces, as well as exploring the possibilities of sculpture created with ceramic materials. Advanced 
finishing and firing techniques will also be considered.  
Prerequisite: ART 121  
 "
ART 137,DIGITAL PHOTOGRAPHY I,3," (Same as CIS 137)  
This course demonstrates how to use and handle a digital camera, capturing the image, editing and 
processing images for output - such as printing, or preparing images  for upload to the Internet for 
websites or social media platforms. The class will include techniques and instruction on layout, 
composition, rules of design, history of photography, and Photoshop® or image -altering program 
applications.  
  
 
 
 "
ART 152,PAINTING I: DESIGN & COLOR,3," 
The elements and principles of design and color are introduced to create basic painting composition in a 
studio setting. Emphasis is given to techniques using acrylics and/or watercolor media. Critical thinking 
skills such  as problem solving, understanding the creative process (from idea to finished product), and 
addressing visual and conceptual themes are essential parts of the course, reflected in the studio projects. 
Students will paint from a nude model. Gallery trips, as well as other field experiences, are key aspects of 
this course. Students work with the instructor to mount an end of semester exhibition, showcasing their 
artistic growth and development.   
Prerequisite: ART 103  
 "
ART 201,THREE -DIMENSIONAL DESIGN: SHAPES & SPACE,3," 
Students learn the principles and elements of three -dimensional design and study how to apply them in a 
variety of studio projects. Students understand and demonstrate the different construction methods 
neede d to create sculpture with a diverse array of media. Critical thinking skills such as problem solving, 
understanding the creative process (from idea to finished product), and addressing visual and conceptual 
themes are essential parts of the course. These skills are reflected in studio projects.  
 "
ART 205,DRAWING II: FIGURE & COMPOSITION,3," 
Students learn the elements and principles of drawing from life, with the emphasis on basic anatomy and 
advanced compositional elements. Projects incorporate advanced  techniques and nontraditional media in 
a studio setting. Students will draw from a nude model. Critical thinking skills such as problem solving, 
understanding the creative process (from idea to finished product), and addressing visual and conceptual 
theme s are essential parts of the course. These skills are reflected in studio projects.  
Prerequisite: ART 103  
 "
ART 237,DIGITAL PHOTOGRAPHY II,3," (Same as CIS 237)  
This course provides the opportunity to refine and extend  the skills of photographic seeing. Personal skills 
in digital photography will be used to explore a complete body of work. Students will be using Photoshop® 
CS5 to edit and explore their creative outlets further. Students’ individual personal goals will be set and 
executed during the semest er. 
Prerequisite: ART 137 or CIS 137  
 "
ART 252,PAINTING I: DESIGN & COLOR,3, 
BIO 110,INTRODUCTORY BIOLOGY,4," 
Students will investigate the nature of science and critically analyze scientific data. Basic biological 
concepts including cancer, biostatistics, organic molecules and nutrition, biotechnology, nutrient cycles, 
and evolution are presented in the context o f current issues. This course includes a discussion component 
which involves reading, critically evaluating, and discussing scientific papers: thus,  strong college reading 
and writing skills are recommended. The course is designed for non -science majors an d includes a 
laboratory component.  
Prerequisite: MAT 040 * or higher  
 "
BIO 132,HUMAN BIOLOGY,4," 
Students focus on the structure and function of the human body, the unity and diversity of life, the nature 
of scientific inquiry, and the principles and proc esses of evolution as well as contemporary issues that 
relate to biology. The course includes a laboratory component which focuses on human anatomy.  
Prerequisite: MAT 0 40* or higher  
 "
BIO 140,PUBLIC HEALTH AND DISEASE,3," 
This lecture/discussion course p rovides an evidence -based approach to the concepts of public health. 
Topics covered include infectious and non -infectious diseases along with genetic and environmental 
factors in health and disease. Students will explore local and national public health re sources with an 
emphasis on how public health data can be used to inform decisions about their own health.  
 "
BIO 158,ENVIRONMENTAL SCIENCE,4," 
This course serves as a foundation for environmental science majors. It is also suitable for non -majors 
interes ted in environmental topics. Emphasis is placed on laboratory experience, environmental surveys, 
and class discussions to reinforce scientific principles. Environmental case studies are covered in detail.    
In the laboratory, the students will learn how t o analyze quantitative environmental data through 
application. This class has a laboratory component.  
Prerequisite: MAT 0 40* or higher  
 "
BIO 161,GENERAL BIOLOGY I,4," 
Biology 161 is the first semester of a one -year general biology experience intended for  science majors or 
pre-professional students. This course covers nature of science, a survey of the major groups of living 
organisms (bacteria, fungi, plants and animals), the process and evidence for evolution, and the 
fundamentals of ecology. It provides  the foundation for upper -level biology courses. This course includes a 
laboratory component which includes dissection of preserved specimens.  
Prerequisite: MAT 033* or higher  
 "
BIO 162,GENERAL BIOLOGY II,4," 
Biology 162 is the second semester of a one -year general biology experience intended for science majors 
or pre -professional students. This course covers the chemical basis of life, cell structure and function, 
photosynthesis and cellular respiration, molecular and Mendelian genetics, cell division,  gene regulation "
BIO 220,MICROBIOLOGY,4," 
Basic structure and function of microorganisms with special emphasis on recent advances in microbiology, 
pathogens, disease, control and immunity. Strong biology background recommended. The course includes 
a laboratory component.  
Prere quisite: MAT 04 0* or higher  
 "
BIO 253,HUMAN ANATOMY AND PHYSIOLOGY I,4," 
This is the first course of a two -semester course sequence in which students study anatomy and 
physiology of the human body. The course includes introductions to basic chemistry, biology and histology 
and extends to the survey of the integumentary, skeleta l, muscular and nervous systems. This course 
includes a laboratory component in which students are responsible for performing dissections and making 
original observations on dissected material. The laboratory experience culminates with the use of a 
plastin ated human specimen for observation. A strong background in biology and/or chemistry is  
highly recommended.  
Prerequisite: MAT  040* or higher  "
BIO 254,HUMAN ANATOMY AND PHYSIOLOGY II,4," 
This is the second course of a two -semester course sequence in whic h students study anatomy and 
physiology of the human body. The course includes the autonomic nervous system, sensory, motor and 
integrative systems, special senses, endocrine system, cardiovascular systems, lymphatic system and 
immunity, respiratory system s, digestive system, metabolism and nutrition, urinary system and 
reproductive systems. This course includes a laboratory component in which students are responsible for 
performing dissections and making original observations on dissected material. The lab oratory experience 
culminates with the use of a plastinated human specimen for observation. Because physiological 
processes are based on the principles of chemistry, prior chemistry coursework is strongly recommended 
for this course.  
Prerequisite: BIO 253  
 "
BIO 258,FIELD ECOLOGY,5," 
This course is designed to provide hands -on field research experiences in ecology and environmental 
science. Students will be introduced to quantitative field science methodology, natural history, current 
research issues, and  will participate in data collection for ongoing research projects. The ecological 
concepts that underlie modern hypothesis tests in ecology will be explored through discussions, readings 
and field research activities. Conducting regionally based ecologica l projects with ecological mathematical 
methods are a major component of this course. People highly allergic to poison ivy, insects, molds or 
pollen need to take precautionary steps during field studies.  
Prerequisite: MTH 033* or higher  
 
………………………………………  
 
BUSINESS (BUA)  
 "
BUA 100,CONTEMPORARY BUSINESS,3," 
This course offers students an overview of today’s modern business and the concepts required for 
managers and leaders to promote the success of today’s dynamic workplace. Concepts include the 
economic environment, business ventures, management, leadership,  human resource management, "
BUA 111,PERSONAL FINA NCE,3," 
Provides a fundamental knowledge of financial concerns including financial services, stocks, bonds, 
budgeting, insurance, real estate, estate and tax planning, buying on credit, borrowing, saving, investing 
intelligently and retirement. Analysis  of personal objectives to financial planning will be discussed and put 
into practice.  
Prerequisite: CIS 095 *  
 "
BUA 120,HUMAN RELATIONS IN BUSINESS,3," 
Effective human relations are an indispensable tool in developing a successful professional presence in 
today’s world. Topics include self -understanding, as well as the understanding of others, motivation, 
productivity, morale, conflict and change, stress, ethics, diversity, goal setting, the power of positive 
reinforcement, image building, emotional cont rol, assertiveness, effective communication and different 
leadership styles.  
Prerequisite: CIS 095 * 
 
 
 "
BUA 121,LEADERSHIP,3," 
Both knowledge and behavior contribute to effective leadership skills needed to enhance the contribution 
of your team. Students explore topics including shared vision and values, team building, and decision 
making. You will study leadership theory in ways that encourage the development of your leadership skills, 
including effective use of power and influence, motivational tools, personality assessment, team 
communication, role modeling and performance appraisals.  
Prerequisite: CIS 095*  
 "
BUA 122,SUCCESSFUL SMALL BUSINESS,3," 
Do you have what it takes to own your own business? Discover that, as well as sources of financing, forms 
of legal ownership, niche marketing, and most importantly, how to avoid business failure.  
Prerequisite: CIS 095*  
 "
BUA 130,CUSTOM ER SERVICE,3," 
In the face of change, an uncertain economy, and intensive competition, the student will learn how to 
create an unexpected, highly evolving experience, to create customer loyalty and compelling word of 
mouth customers. The core element of  service quality will be applied to both people -centered and 
technology -centered businesses, industries and organizations. The ultimate goal of this course is to help 
improve students’ abilities to communicate effectively with internal and external custome rs. 
Prerequisite: CIS 095*  
 "
BUA 190,STRATEGIC BUSINESS MANAGEMENT,3," 
Why do some businesses succeed while others fail? How can you promote the growth and sustainability of 
your organization? What is your role as a future business owner or manager in the overall success of your 
organization? This course will outline and describe the strategies that a company’s managers pursue to 
have a major impact on the company’s performance and compete in the dynamic global nature of today’s 
organizations . Students will explore the following topics as they gain an understanding of strategy: 
strategic managem ent, competition and competitive advantage, developing strategies, and  
implementing strategies.  
 "
BUA 220,PRINCIPLES OF MANAGEMENT,3," 
This manageme nt course exposes students to the dynamics of the changing world. Topics such as 
management functions/processes, quality, leadership styles, power, global issues, and the challenges and 
opportunities of diversity are included.  Emphasis is placed on ethics,  decision making, effective 
communication, evaluating employees, motivational tools, organizational design, environmental scanning, 
supervising groups, controlling quality, productivity improvement, managing change and conflict, labor 
relations and time ma nagement.  
Prerequisite: CIS 095 * 
 "
BUA 221,HUMAN RESOURCES MANAGEMENT,3," 
Create and maintain a desirable and productive workplace by applying management skills with emphasis 
on improving performance and career development. Topics include: employment law , recruitment and 
selection, placement techniques, interview methods, job analysis, staffing, training and development, 
performance appraisals, team building, benefit administration, government regulation, compensation 
systems, health and safety, and labor -management issues.  
Prerequisite: CIS 095 * 
 
 
 
 "
BUA 230,PRINCIPLES OF MARKETING,3," 
Students analyze the marketplace to identify customer wants and needs and develop effective strategies 
to satisfy them. Emphasis is placed on research, marketing environments, strategic planning, buyer 
behavior, evaluating key competitors, and the marketing functions of product or service planning, pricing, 
promotion and distribution.  
Prerequisite: CIS 095 * 
 "
BUA 231,"ADVERTISING, PROMOTION & PUBLIC RELATIONS",3," 
Students study the principles and practices of numerous promotional tools used in marketing 
communications. Topics include the creation of advertising, media strategies, message appeals, plus the 
use of specialty advertising, sales promotion and public rel ations to help sell goods, services and ideas.  
Prerequisite: CIS 095*  
 "
BUA 245,INTERNSHIP/EXTERNSHIP,3," 
Students will have a meaningful work experience with an appropriate company. The company and job 
must be approved by the supervising faculty member.  
Prerequisite: Instructor permission required  
 "
BUA 250,BUSINESS LAW I,3," 
This course offers an introduction to law and the legal system, dispute resolution and courts, business 
ethics, torts, contracts, sales and leases of goods, and negotiable instruments.  
Prerequisite: CIS 095*  
 "
BUA 420,PROJECT MANAGEMENT AND LEADERSHIP,3," 
Students will experience and complete the entire project management process, from start to finish. Each 
student will create a project proposal, develop scope definitions, determine schedule, allocate resources, 
esta blish cost predictions, manage risk and critical path threats, communicate with stakeholders, close out 
and document the project. Additional topics include building and leading  project teams, utilizing industry 
project management software, and following th e Project Management Body of Knowledge (PMBOK) 
framework.  
Prerequisites: PHL 232, CIS 101* or CIS 201*, ENG 131  
 
………………………………………  
 
COMPUTER ASSISTED DRAFTING (CAD)  
 "
CAD 151,AUTOCAD 1,3," 
This course covers the applications in which the phases of computer graphics are involved. A general 
introduction to drafting application will be presented. Recommended: Microsoft Windows and blueprint 
reading experience.  
Prerequisite: MFG 105  "
CAD 152,SOLIDWORKS I,3," 
This course introduces students to basic m odeling, assembly, and drawing creation in SolidWorks.  
Prerequisite: MFG 136  
 "
CAD 172,SOLIDWORKS II,3," 
This course introduces students to more advanced topics in SolidWorks, including mates, sheet metal 
parts, and drawing production.  
Prerequisite: CAD  152 
 "
CAD 251,AUTOCAD II,3," 
This is a second level CAD -based design course that will expand the student’s knowledge of 3D CAD 
modeling, 3D assemblies, and more complex CAD -based designs. 3D Stereolithographic  printers and other 
prototyping equipment wi ll be used to construct design projects.  
Prerequisite: CAD 151  
 "
CAD 252,SOLIDWORKS III,3," 
This course seeks to prepare students for the Certified SolidWorks Professional certificate by focusing on 
complex projects and features using SolidWorks.  
Prerequisite: CAD 152  
 
………………………………………  
 
CLIMATE CONTROL TECHNOLOGY (CCT)  
 "
CCT 160,FUNDAMENTALS OF ENERGY EFFICIENCY,2," (Same as ALT 210)  
This course will ex plore the fundamentals of designing and maintaining an energy efficient building to 
reduce a homeowner or business’s cost of utilities. Students will learn techniques to identify wasted 
energy and the methods needed to modernize an energy inefficient home.  
Prerequisite: MAT 04 0* or higher  
 "
CCT 162,ENERGY AUDIT TECHNIQUES,3," (Same as ALT 215)  
This course will explore the necessary knowledge and skills to conduct a building energy audit. The class 
will learn how to operate the latest building science tech nology and equipment to identify heating, 
cooling, base load, and air leakage problems in a building.  
Prerequisites: CCT 160 and MAT 033* or higher  
 "
CCT 165,G EOTHERMAL ENERGY & SYSTEMS,2," (Same as ALT 260)  
This course will explore the basics of geother mal energy production, theory and technology. Residential 
system installation, maintenance, and problem diagnosis will also be covered.  
Prerequisites: CCT 121 and CCT 131 or ELT 120  
 "
CCT 167,SOLAR THERMAL ENERGY & SYSTEMS,2," (Same as ALT 265)  
This course will explore the basics of solar thermal energy technology and application. The class will also 
cover system installation, maintenance and problem diagnosis.  
Prerequisites: CCT 121 and CCT 131 or ELT 120  
………………………………………  
CHEMISTRY (CEM)  
 "
CEM 131,FUNDAMENTALS OF CHEMISTRY,4," 
Fills requirement for some non -science majors. Provides background for CEM 141 for those with no recent 
high school chemistry. Fundamental principles of chemistry such as states of matter, simple atomic and 
molecular struct ure, and the periodic classification of elements. The study of water emphasizes the 
properties of solutions and acid -base relations. The course includes a laboratory component.  
Prerequisite: MAT 033* or higher  
 "
CEM 132,FUNDAMENTALS OF ORGANIC & BIOLOGICAL CHEMISTRY,4," 
This course is an extension of material covered in CEM 131. It is required in many bachelor’s degree 
programs, including nursing. Organic topics include the structure, physical properties and chemical 
behavior of the major classes of organ ic compounds. The structure, function, formation and reactions of 
carbohydrates, fats, proteins, and nucleic acids are covered, including enzymes, chemical messengers and 
biochemical energy production. The course includes a laboratory component.  
Prerequisi te: CEM 131 or CEM 141  
 "
CEM 141,GENERAL CHEMISTRY I,5," 
This course is required for most sciences, engineering, and pre -professional health majors. Students who 
are required to take organic chemistry for their major should enroll in CEM 141 during their  first semester. 
Topics include atomic and molecular structure, periodicity, chemical bonding, states of matter, kinetic 
molecular theory and stoichiometry. The course includes a laboratory component.  Recent chemistry (high 
school or CEM 131) success  stron gly recommended.  
Prerequisites: and MAT 13 9* or higher  
 "
CEM 142,GENERAL CHEMISTRY II,5," 
This course is the second semester of general chemistry and extends material covered in CEM 141. 
Covered concepts include chemical thermodynamics, electrochemical r eactions, reaction kinetics,        "
CEM 241,ORGANIC CHEMISTRY I,5," 
A comprehensive study of the major classes of organic compounds, their structures and reactions. The 
stero -chemical properties and spectra (IR and NMR) of molecules and  their mechanisms o f reactions are 
stressed. The laboratory experiments demonstrate techniques used in organic reactions, syntheses 
illustrating types of reactions, analysis of major classes of compounds, and kinetic studies.  
Prerequisite: CEM 142  
 "
CEM 242,ORGANIC CHEMISTRY II,5," 
A continuation of CEM 241. The course includes a laboratory component.  
Prerequisite: CEM 241  
 
………………………………………  
 
 
 
 
 
COMPUTER INFORMATION SYSTEMS (CIS)  
 "
CIS 090,COMPUTER BASICS,2," 
This course introduces basic computer concepts and com ponents. Topics include beginning computer 
concepts, identifying hardware, understanding software, using the Microsoft Windows operating system, 
learning the keyboard, understanding the World Wide Web and conducting Internet searches, and 
introduction to e -mail communication. Students will apply concepts to real -life scenarios through      
active - learning strategies.  
 "
CIS 095,COMPUTER LITERACY,2," 
This course covers computer concepts, storage media, file management, word processing, online learning 
systems, e -mailing with attachments, and keyboarding. Students will apply concepts to real -life scenarios 
through active -learning strategies.  
Prerequisite: CIS 090*  
 "
CIS 101,INTRODUCTION TO COMPUTER SYSTEMS,3," 
Enhance computer knowledge. The course covers computer system concepts with an emphasis on several 
software applications. Typing ability is necessary to be successful in this class.  
Prerequisites: CIS 095*, ENG 086*, ENG 091 * and MAT 020* or higher  
 "
CIS 104,KEYBOARD SPEED/ACCURACY,1," 
At course ent ry, your keyboarding speed and accuracy is measured. A diagnosis of your specific 
keyboarding problem is made. Your skill improvement goals will be established,  and appropriate practice 
lessons selected. Periodic program check timings will be administered to measure your progress.  
 "
CIS 117,MICROSOFT OUTLOOK WORKSHOP,1," 
Learn to use Outlook components to create and use the calendar feature to schedule meetings and 
multiple day events, establish a “contacts” database, keep journals, notes and use the task manager for 
prioritizing jobs. This is an optional component of the Microsoft Office User Specialist Expert certification 
tests. Typing ability necessa ry to be successful in this course.  "
CIS 119,MICROSOFT POWERPOINT - WINDOWS,2," 
Students will learn how to create electronic presentations using design templates, slide layouts, the 
outline tab, clip art, from other programs such as Microsoft Word and ho w to enhance slideshows with 
visual elements in presentation formats. Student s will also learn how to create presentations for the web, 
self-running presentations, presentations containing interactive documents and how to collaborate work 
groups.  Keyboardi ng skills are essential.  
 "
CIS 120,MICROSOFT WORD COMPREHENSIVE - WINDOWS,3," 
Produce, store and revise letters, memos, tables a nd reports using Microsoft Word  headers, footers, mail 
merge, document assembly, grammar and spell checker, thesaurus, and out lining are covered. 
Keyboarding skills are essential.  
 "
CIS 121,MICROSOFT EXCEL COMPREHENSIVE - WINDOWS,3," 
Learn Microsoft Excel components: charts, creating workbooks, using drawing tools, formatting and 
auditing worksheets, functions, Internet and in tranet documents, modifying and printing workbooks, 
ranges, database queries, importing and exporting data, macros, working with multiple workbooks, 
working with existing and creating new templates, and advanced workgroup functions. Keyboarding skills 
are essential.  
Prerequisite: MAT 04 0* or higher  
 
 "
CIS 122,MICROSOFT ACCESS COMPREHENSIVE - WINDOWS,3," 
Planning, creating and displaying databases, sorting and report preparation, data entry screens, data 
validation and selection, and multiple file operatio ns. Keyboarding skills are essential.  
Prerequisite: MAT 04 0* or higher  
 "
CIS 126,DIGITAL DESIGN FUNDAMENTALS,3," 
Students explore fundamental methods used to compose persuasive digital layouts. Strategies in 
aesthetics, personal methodology, industry -standard practices are performed with the intent to deliver a 
clear, unique and proficient message.  
Prerequisite: MAT  033 or higher  
 "
CIS 127,INTRODUCTION TO CREATIVE SOFTWARE,3," 
Understanding the full potential and limitations of software is essential to the success of graphic design 
students. Introduction to Creative Software is an entry -level course that takes the student who is new to 
graphic design and creative careers into this dynamic industry and lets them explore common  
software used.  
 "
CIS 128,TYPOGRAPHY & LAYOUT,3," 
Learn the history and principles of type identification, selection and use in professional rendering  
of comprehensive print and digital layouts. Utilization of digital tools, materials and techniques  
are emphasized.  
Prerequisite: CIS 127  
 "
CIS 129,INTRODU CTION TO PRODUCTION FOR THE DESIGNER,3," 
This course introduces the graphic design student to the fundamentals of production printing processes.  
 "
CIS 131,METHODS IN 3 -D PROTOTYPING,1," 
Students propose concept development and build three -dimensional product mock -ups. Dexterity, 
craftsmanship and implementation using innovative logistical methods are practiced and delivered.  "
CIS 132,GRAPHIC ILLUSTRATION (ADOBE® ILLUSTRATOR®),3," 
Learn how to create professional looking illustrations using Adobe® Il lustrator®. This course introduces the 
student to techniques used by professional designers and illustrators.  
Prerequisite: CIS 127  
 "
