Code,Title,Hours,Description
BIOL 4013/THEO 3013,Special Topics in Life Sciences/Biology Ethics,3,"Topics include discussions of the 
nature of science and faith, bioethics and science-informed public policy. Students will use historical perspective, 
theological framework, and scientific literature to evaluate chosen topics and case studies. Students will employ 
metacognition in their writing and in creating presentation for peer teaching during the class period. Prerequisites: "
THEO 2303,"Biblical Interpretation and BIOL 3013 Ecology. This course may be repeated, as different topics are 
explored between offerings.  
BTED 4500 Student Teaching: Christian Schools",6,"Students complete a term of student teaching in a Christian 
School with experiences teaching at primary and secondary levels. "
BUSN 2043,Business Essentials,3,"This course focuses on developing essential competencies necessary for 
business professionals, some of which include critical thinking, decision making, and the use of computer 
applications for problem solving. Topics include case study analysis, project development, and application software. "
BUSN 3003,Organizational Behavior,3,"This course will explore human behavior in a variety of organizational 
contexts. Topics include: managing individuals, leadership, motivation and communication, group and team 
dynamics, organizational diversity and cross-cultural effects, power and politics, conflict management, 
organizational change, and the history of organizational behavior as a discipline.  "
BUSN 3043,Business Communication,3,"This course will explore the theories and practices of written and oral 
communication in business and professional settings. Students will examine internal and external communication 
and the use of technology to facilitate the communication process. Prerequisites: ENGL 1013 English Composition I "
BUSN 3053,Business Finance,3,"Students will study business financial management. Emphasis is on financial 
statement analysis, time value of money, management of cash flow, risk and return, and sources of financing. 
Prerequisites: MGMT 3013 Principles of Management 
Johnson University Undergraduate Academic Catalog 2023-2024 (Approved June 20, 2023)  
Course Descriptions 
 
311 
 
 "
BUSN 3063,Business Analytics & Decision Making,3,"Students learn how to analyze, synthesize, and make 
decisions using internal and external data and indicators to optimize operational decision making.  "
BUSN 3073,Leadership Theory & Practice,3,"This course explores leadership theories through lectures, 
readings, case studies, and class discussions. Students will identify their strengths and weaknesses through self-
assessment activities to establish a foundation for leadership growth. Prerequisite: Junior/Senior Standing "
BUSN 4023,Organizational Strategy & Policy,3,"This course provides students with an opportunity to synthesize 
and integrate the various courses and topics introduced throughout the Business Administration program. Emphasis 
will be on the development, implementation, and analysis of organization strategies and policies that impact a firm’s 
survival and success in a progressively competitive global marketplace. Prerequisite: Senior Standing  "
BUSN 4043,Business Law,3,"Students learn the ethical and legal environment of business, the impact of 
legislation and regulations on business activity and the role of law and ethics in the decision-making process. 
Prerequisite: BUSN 2043 Business Essentials "
BUSN 4053,International Business,3,"This course is an overview of the economic, financial, political, 
cultural/social, legal, and technological environment in which multinational firms must operate. This course 
explores how global firms exist in an interconnected environment with other firms and global governmental and 
nongovernmental organizations. "
BUSN 4333,Internship,3,"This course offers students a formal and practical work experience opportunity 
intended to extend their professional skills beyond the classroom while also providing an opportunity to apply and 
analyze classroom knowledge and skills appropriate for the workplace. Entrepreneurship students have the 
opportunity to implement or take to market an entrepreneurial venture, participate in an entrepreneurial start up, or 
participate in an entrepreneurship competition. Prerequisite: Junior/Senior Standing "
CCCU 3000,Best Semester,12,"Go to www.bestsemester.com for detailed information.  
CDC 4000 Credit by Demonstrated Competency (variable). See Academic Policies & Procedures – Credit by 
Demonstrated Competency. "
CHEM 1114,General Chemistry I,4,"This course is an introduction to chemistry, including chemical formulas, 
periodic law, equations, stoichiometry, structure of the atom, chemical bonding, thermodynamics and other related 
topics. The laboratory portion emphasizes proper technique in measuring, making calculations, and the collection 
and interpretation of data. Includes a 3-hour weekly lab. Math readiness: Students will need a strong algebra 
background to be successful in this course. Students with a math score of less than 21 ACT or 500 SAT must 
complete MATH 1043 College Algebra or an equivalent course with a B or better before taking this course. "
CHEM 1124,General Chemistry II,4,"This continuation of CHEM 1114 is an introduction to chemistry, 
including gas laws, solutions, acids, bases, salts, kinetics, electrochemistry and other related topics. The laboratory 
portion emphasizes proper technique in measuring, calculations, analysis and interpretation of quantitative data. 
Includes a 3-hour weekly lab. Pre-requisite: C or better in CHEM 1114. "
CHEM 2014,Chemistry for Health Sciences w/Lab,4,"Chemistry for Health Sciences is an introductory course 
designed exclusively for Pre-Nursing majors. The course is designed to first examine fundamental chemical 
concepts including measurement and unit conversion, atomic and molecular structure of matter, chemical bonding 
and intermolecular forces, solutions, acid/base chemistry, and organic chemistry. The goal of the course is to then 
develop an understanding of how these concepts relate to biomolecules, including carbohydrates, lipids, and 
proteins, and their application to physiological functions. The laboratory portion of the course provides firsthand 
experiences that inform, illustrate, expand, and reinforce major concepts discussed in lecture. Student will need a 
strong algebra background to be successful in this course. Students with a math score of less than 21 ACT or 500 
ACT must complete College Algebra or an equivalent course with a B or better before taking this course or with 
approval from the Instructor. "
CHIN 1100/2100,Chinese I,3,"This course introduces students to the basics of Chinese language for interaction 
with Chinese populations worldwide. Students learn some of the Chinese writing system, but the course is designed 
with an emphasis on the acquisition of spoken Chinese for use in everyday conversation. The course focuses on the 
relationship between language and culture, gives students a small repertoire of theological vocabulary, and explains 
strategies for continuous progress in the language.  
Johnson University Undergraduate Academic Catalog 2023-2024 (Approved June 20, 2023)  
Course Descriptions 
 

 
 "
CHIN 1200/2200,Chinese II,3,"This course builds on the language studied in Chinese I. Students begin more 
serious work on learning the Chinese writing system, but with a continued emphasis on the acquisition of spoken 
Chinese for use in everyday conversation. The course focuses on the relationship between language and culture, 
expands theological vocabulary, and introduces additional strategies for continuous progress in the language. 
Prerequisite: CHIN 2100 Chinese I or placement. "
CHIN 2300/3200,Chinese III,3,"This course continues to cover topics in everyday conversational Chinese. 
Students practice vocabulary which will be useful for living in China, Taiwan, or among other diaspora Chinese 
populations and interacting with those Chinese friends. This course reviews and expands previously studied topics. 
It also covers new topics, such as health, personality and feelings, and the full repertoire of structural words. Finally, 
students continue their study of Chinese characters and theological vocabulary in preparation for their study of 1 
John for Chinese IV. Prerequisite: CHIN 2200 Chinese II or placement. "
CHIN 2400/3210,Chinese IV,3,"This course continues to cover core vocabulary for everyday conversations but 
also covers basic vocabulary necessary for personal outreach and Bible reading. Specifically, students focus their 
attention on reading and writing certain Bible verses and texts from the book “Studies on the Way.” Prerequisite: "
CHIN 3200,"Chinese III or placement. 
CMCF 4013 Strategies of Children’s Ministry",3,"This course prepares the student to develop and maintain an 
effective ministry to children ages 0-11. This course introduces strategies, programs, ministries, and leadership skills 
necessary for effective spiritual nurture of children. A practicum is part of the course. Prerequisite: CMFM 2013 
Foundations of Student and Children’s Ministry.  "
CMCM 3100,Introduction to Counseling Ministry,3,"This course introduces students to the ministry of 
counseling and provides an orientation to the counseling field. This orientation includes the historical roots of the 
field, the person of the counselor, ethics, multicultural considerations, and professional development through the 
lens of a biblical worldview. Philosophical foundations for the integration between theology and psychology are also 
introduced and explored to aid the student in developing a sound worldview for counseling ministry.  "
CMCM 4110,Counseling Ministry Practicum,3,"The practicum experience provides students the opportunity to 
integrate theory, knowledge, and skills acquired in the classroom through supervised experience in community 
ministries or churches. Prerequisites: PSYC 1100 Interpersonal & Family Relationships and CMCM 3100 
Introduction to Counseling Ministry.  "
CMFM 2013,Foundations of Student & Children’s Ministry,3,"This course focuses on the foundations of next-
generation ministry including a theology of children’s and student ministry, child & student development, 
understanding culture and its implications for ministry with young people, and the foundations for developing lesson 
plans to teach both children and students.  "
CMFM 3013,Theories of Family Ministry,3,"This course will focus on developing a multi-generational approach 
to ministry. Theology and theories of family ministry will be explored including family systems theory, family 
ministry models, and best practices for ministry to the whole family. "
CMML 1010,Introduction to Ministry Leadership,3,"This course provides students with biblical and practical 
resources for exploring ministry callings, establishing healthy personal and interpersonal skills for ministry 
effectiveness, and embracing the role of higher education in equipping for ministry leadership. "
CMML 2013,Foundations of Biblical Preaching,3,"This course equips students with the basic skills necessary to 
prepare and present biblical sermons. It gives special attention to studying a biblical text for preaching purposes; 
developing thesis statements, outlines, and support materials; and communicating effectively with contemporary 
listeners.  "
CMML 3003,"Ministry Leadership Internship (3).This course leads students to apply lessons learned in the 
classroom to actual ministry contexts under the guidance of an experienced field mentor. Students accomplish 
various ministry tasks, observe ministry situations, and reflect on their experiences to further develop skills they 
need for ministry. Prerequisites: completion of 90 credit hours and three courses from the student’s professional 
area. 
CMML 3013 Theories and Practices of Biblical Teaching",3,"This course equips students with the skills 
necessary to prepare and present biblical lessons. It gives special attention to studying a biblical text for teaching 
Johnson University Undergraduate Academic Catalog 2023-2024 (Approved June 20, 2023)  
Course Descriptions 
 
313 
 
 
purposes, developing thesis statements and objectives, interactive and creative strategies, and utilizing group 
dynamics to help individuals grow spiritually. Prerequisite: CMML 2013 Foundations of Biblical Preaching.   "
CMML 3113,Spiritual Formation for Ministry,3,"This course provides students with biblical, historical, and 
practical perspectives on how God works in believers through his Holy Spirit to conform them to the image of Christ 
and empower them for ministry. It gives special attention to utilizing personal and interpersonal discipleship 
strategies to help individuals grow spiritually. NOTE: Students in the Department of Ministry Leadership who are 
also on the Honor’s Program can substitute CMPR 3600 Spiritual Formation: Honor’s Program for CMML 3113. 
Upon approval of the School of Christian Ministries dean and the instructor of COMM 4998, students may 
substitute COMM 4998 Spiritual Formation and Creativity for CMML 3113. "
CMML 3213,"Special Issues in Ministry Leadership (1–3). This course equips students through an elective, 
guided, high impact experience. Options include seminars and conferences, guest lectureships, and field trips. 
Special attention is given to providing students engagement with diverse ministers, ministry roles, and ministry 
models. NOTE: Three credits are required. 
CMML 3313 Conflict and Communication",3,"This course equips students with the self-understanding and skills 
necessary for effective and transformative communication in individual, group, and congregational/organizational 
settings. "
CMML 3621,"Ministry Leadership 7-Month Internship I (1).This course leads students to apply lessons learned 
in the classroom to actual ministry contexts under the guidance of an experienced field mentor. Students accomplish 
various ministry tasks, observe ministry situations, and reflect on their experiences to further develop skills they 
need for ministry. Part I includes internship work typically completed from June through August. Prerequisites: 
completion of 90 credit hours and three courses from the student’s professional area. 
CMML 3829 Ministry Leadership 7-Month Internship II (12.0). This course leads students to apply lessons 
learned in the classroom to actual ministry contexts under the guidance of an experienced field mentor. Students 
accomplish various ministry tasks, observe ministry situations, and reflect on their experiences to further develop 
skills they need for ministry. Part II includes internship work typically completed from September through 
December. Prerequisites: CMML 3621 Ministry Leadership 7-Month Internship I and completion of 90 credit hours 
and three courses from the student’s professional area.  
CMML 4013 Effective Ministry Leadership",3,"This course equips students to guide churches toward the 
fulfillment of congregational values, mission, and vision. It gives special attention to biblical, cultural, and 
organizational insights for helping large groups grow spiritually. "
CMML 4113,Pastoral Care in Ministry,3,"This course equips students with the skills necessary to carry out 
common pastoral tasks in ministry leadership. It gives special attention to utilizing basic counseling skills in 
ministry settings. "
CMML 4212,Senior Seminar in Ministry Leadership,2,"This course equips students to integrate previous 
insights and experiences into a refined philosophy of ministry and sense of leadership ministry calling. Special 
attention is given to portfolio development and ministry hiring policies and practices.         "
CMOL 3210,Ministry Leadership Internship,3,"This course leads students to apply lessons learned in the 
classroom to actual ministry contexts under the guidance of an experienced field mentor. Students accomplish 
various ministry tasks, observe ministry situations, and reflect on their experience to further develop the skills they 
need for ministry. Prerequisites: Completion of approximately 90 credit hours and at least one course from the 
student’s professional area. Special Consideration: This course is limited to students enrolled in the online Ministry 
Leadership program. "
CMPR 2110,Biblical Teaching and Preaching,3,"This course equips students with the fundamental skills 
necessary to prepare and present biblical lessons and sermons. It gives special attention to studying a biblical text for 
teaching and preaching purposes; developing thesis statements, outlines, and support materials; and communicating 
effectively with contemporary students and listeners.  "
CMPR 3013,Theories of Biblical Preaching,3,"This course builds upon the principles learned in Foundations of 
Biblical Preaching, leading students to a deeper understanding of the history and theology of preaching, various 
sermon forms, the significance of and methods for developing sermon series, and the application of Scripture to 
listeners’ lives. Prerequisite: CMML 2013 Foundations of Biblical Preaching. 
Johnson University Undergraduate Academic Catalog 2023-2024 (Approved June 20, 2023)  
Course Descriptions 
 

 
 "
CMPR 3110,Pastoral Ministry,3,"This course focuses on many of the day-to-day responsibilities of the pastoral 
ministry, such as applying for positions, ministry beginnings and endings, relationships with elders and staff, 
weddings, funerals, baptisms, visitations, office management, and discipleship ministries. Students also examine the 
underlying theology of the ministry of all believers.  "
CMPR 3120,Spiritual Formation for Ministry,3,"This course explores two areas: The first is how God works in 
believers through his Holy Spirit to conform them to the image of Christ and empower them for ministry. The 
second is how to help others grow spiritually. Students survey the history and theology of spiritual formation, 
examine biblical and historical spiritual disciplines, experience spiritual practices firsthand, develop a “rule of life,” 
and consider the most effective ways of fostering spiritual maturity in individuals, groups, and congregations. 
NOTE: Students in the Department of Ministry Leadership who are also on the Honor’s Program can substitute "
CMPR 3600,"Spiritual Formation: Honor’s Program for CMPR 3120. Also, upon approval of the dean of the School 
of Christian Ministries and the instructor of COMM 4998, students can substitute COMM 4998 Spiritual Formation 
and Creativity for CMPR 3120. 
CMPR 3213 Race, Culture, & The Church",3,"A study of the sociological indicators, theories, and practices 
pertaining to race, culture, and the growing trend toward intentional multi-ethnic church planting/building. Students 
will become familiarized with the theories, foundations, opportunities, and challenges that accompany these areas, 
and applications across various ministry contexts will be explored. "
CMPR 3410,Advanced Biblical Teaching & Preaching,3,"This course furthers the principles learned in CMPR 
2110 Biblical Teaching and Preaching, leading students to a deeper understanding of teaching and preaching God’s 
Word with integrity and relevance. The course gives particular attention to biblical and theological backgrounds, 
various lesson and sermon forms, the development of a lesson or sermon series, and the application of Scripture to 
listeners’ lives. The course includes extensive collaboration, practice teaching and preaching, and evaluation. 
Prerequisites: CMPR 2110 Biblical Teaching and Preaching.  "
CMPR 3420,Group Internship,1,"Group Internship is a long weekend group field experience. Under supervision 
of a faculty member, students visit a church and lead in a variety of ministry responsibilities as performed in the 
local church.  "
CMPR 3430,Hospice Internship,1,Students participate in an internship experience in a hospice setting.  
CMPR 3440,Mentored Ministry Experience,1,"This experience allows students to spend an hour per week, 
throughout a term, with a local minister for purposes of guidance, mentoring, and hands-on ministry experience.  "
CMPR 3450,Clinical Setting Internship,1,"Students participate in an internship experience in a clinical setting, 
such as a hospital or a home for the disabled.  "
CMPR 3460,Weekend Ministry Internship,1,"Students gain academic credit for regularly scheduled weekend 
ministries. To meet the internship requirement, students who are engaged in these ministries should consult with the 
Ministry Internship Coordinator before registering.  "
CMPR 3600,Spiritual Formation: Honors Program,3,"This course is an introductory study of the process of 
spiritual formation in the Christian life. The purpose of the course is to assist Christian leaders and future leaders in 
their own spiritual formation and their ability to direct others in the journey toward Christ-likeness. Elements of the 
course include an introduction to the classical spiritual disciplines, a historical overview of the church’s use of the 
disciplines, and practical integration of the disciplines into the life of the individual and the life of the church. 
Special Considerations: This course is limited to juniors and seniors in the Honors Program and capped at 15 
participants. Other students may enroll on a space available basis with the permission of the professor. "
CMPR 4013,Practices of Biblical Preaching,3,"This course builds upon prior preaching courses and leads 
students to integrate preaching with worship, leadership, and biblical interpretation. Special attention is given to 
preaching from various biblical genres. Prerequisites: CMML 2013 Foundations of Biblical Preaching and CMML 
3013 Theories of Biblical Preaching. "
CMPR 4113,Dynamics of Senior Leadership,3,"This course equips students for the relational, administrative, 
and leadership dynamics that are unique to senior leadership roles in churches. Learning activities include guest 
speakers and interactive projects designed to prepare students for positions such as Lead Minister, Senior Minister, 
or Executive Minister.     
Johnson University Undergraduate Academic Catalog 2023-2024 (Approved June 20, 2023)  
Course Descriptions 
 

 
 "
CMPR 4303,Conflict and Communication,3,"This course explores both the destructive and transformative 
dynamics of conflict in faith communities and equips students with the self-understanding and skills needed for 
effective communication for conflict management. The course emphasizes individual and group settings, but also 
introduces the larger dimensions of corporate conflict. This is an interactive, skills-based course. "
CMPR 4320,Pastoral Counseling,3,"This course provides an overview of specific counseling situations faced in 
ministry, including integration of psychology and theology. Theory and practical application will be integrated in 
such a way as to assist the student in developing a “style of counseling.” Some role-play situations are included.  "
CMPR 4333,Leading Effective Churches,3,"In this advanced course, students consider how to develop 
congregations that are both biblically faithful and culturally relevant; and how to equip individuals and groups 
toward the fulfillment of congregational mission, vision and values. The course adopts a systems model for 
managing the complex interrelationship between a congregation, its immediate surroundings, the community, and 
the culture at large. Particular attention is given to the unique dynamics of small to medium-size congregations.  "
CMPS 4013,Strategies of Student Ministry,3,"This course focuses on strategies to minister effectively to 
adolescents. This course introduces strategies, programs, ministries, and leadership skills necessary for effective 
spiritual development of students. A practicum is a part of this course. Prerequisite: CMFM 2013 Foundations of 
Student and Children’s Ministry. "
COMM 1013,Introduction to Speech,3,"This course introduces elements of oral interpretation and speech 
composition appropriate to the professional Western audience with reference to other cultural groups. The course 
emphasizes the purpose, organization, and general ends of a public speech.  "
COMM 2100,Reporting for Mass Media,3,"Students develop skills for clear and concise communication to mass 
audiences in a variety of written formats. Emphases include writing for print and electronic media, gathering 
accurate information, presenting a clear written message, and basic style for professional media writing. Students 
submit work to an online publication. "
COMM 2110,Introduction to Public Relations,3,"Students are introduced to the profession of public relations 
and strategic communication. Students demonstrate writing ability, examine strategies for publicity campaigns, and 
study the history and foundations of the field.  "
COMM 2200,Introduction to Video Production,3,"This course examines the components of audio, video, and 
still images for the purpose of media production. Students explore the equipment used to produce content.  "
COMM 2203,Scripting,3,"This course is a study in writing story for a variety of print, screen, and web based 
mediums, fundamentally equipping the student to communicate abstractly, visually, and directly with people. 
Instructor will explore this idea and many others related to the act of creation as a reflection of the divine, and 
therefore one of many things we are called to do. "
COMM 2900,Society & Media,3,"Students are introduced to mass communication and explore its culture-shaping 
power, contemporary issues, and media’s impact on society. Students evaluate media economics, forms, history, 
ethics, careers, legal issues, societal issues, and religious issues.  "
COMM 3013,Sports Reporting,3,"Students learn to watch sports as a source of information and report what they 
see to a mass audience. Emphasis is placed on creating sports-centric straight news, features, reporting through 
social media, and multi-media content delivery. Students survey prominent narratives of modern sports 
communications, including sports business, sports and crime, sports marketing, and sports celebrity as culture. 
Prerequisites: COMM 2100 Reporting for Mass Media, COMM 2200 Introduction to Video Production, COMM 
3213 Video Editing & Enhancement, and MART 3030 Graphic Design III. "
COMM 3105,Fundamentals of Web Design,3,"Students develop a website as they learn how the Internet works 
and how to use common software tools to develop electronic ministry resources. They explore how to use the 
Internet for information consuming, sharing, and publication, while creating hypertext documents using HTML 
language. "
COMM 3109,Advanced Website Design,3,"A project-oriented course where students use a range of tools to 
develop solutions for the web and interactive media, including HTML, CSS, Java, Actionscript, and various versions 
of C. Prerequisite: COMM 3105 Fundamentals of Web Design. 
Johnson University Undergraduate Academic Catalog 2023-2024 (Approved June 20, 2023)  
Course Descriptions 
 

 
 "
COMM 3205,Photography,3,"Students explore contemporary photography and pursue personal interests in visual 
arts by developing skills using both digital and film photography. Topics include camera equipment, modes, 
composition, flash, inspiration, how to get the shot, tips, and techniques.  "
COMM 3213,Video Editing & Enhancement,3,"Students continue developing editing skills and are introduced 
to Photoshop and Aftereffects. Emphasis is placed on deadlines and following industry workflow. Prerequisite: "
COMM 2200,"Introduction to Video Production. 
COMM 3343 Video Production II",3,"This course analyzes the components of audio, video, and still images for 
the purpose of media production. Students apply production techniques used to produce interactive media content. 
Prerequisite: COMM 3213 Video Editing & Enhancement. "
COMM 3353,Video Editing & Enhancement II,3,"This is a project-oriented course where students organize and 
construct media components utilizing creative production techniques centered around concepts such as color 
grading, compositing 2D and 3D elements into shot footage, and motion tracking. Students develop visual language 
skills by exploring motion media editing theory as well as execution. Prerequisite: COMM 3343 Video Production 
II or special permission from the dean. "
COMM 3903,Communication Special Topics,3,"This elective course will focus on a special area of study related 
to the communication industry, standards, or communication practices. "
COMM 4013,Advanced Reporting and Writing,3,"Students build writing style and reporting techniques while 
evaluating sources, polling practices, and investigative coverage of events. Students create stories for an online 
publication in a variety of styles, including straight news, feature, and other prominent media writing styles. 
Prerequisites: COMM 2100 Reporting for Mass Media and completion of Focused Electives. "
COMM 4603,Communication Internship,3,"Under the supervision of a qualified professional, interns gain real-
world experience in a media work environment. Prerequisite: Senior status (90+ university credits). "
COMM 4613,Mass Media Management & Entrepreneurship,3,"Students gain insight intro structures, 
management, processes, economics of and issues surrounding Mass Media. An emphasis is placed on financial 
stability and profitability in a changing media market. "
COMM 4703,Creative Arts Internship,3,"Under the supervision of a qualified professional, interns gain real-
world experience in a media work environment. Prerequisite: Senior status (90+ university credits). "
COMM 4999,Communication Integrated Project,3,"Students demonstrate a culmination of skills developed 
during their Communication studies. Students produce a final communication project, utilizing a variety of skills and 
media equipment, which showcases practical communication skills and an understanding of legal, ethical, and moral 
issues in communication studies. Prerequisites: Students must have completed 33 credits of Communication Major 
coursework and hold senior status (90+ university credits), or secure permission from the Dean of the School of 
Communication & Creative Arts. "
COMM 4998/ENGL 4998,Spiritual Formation & Creativity,3,"Students are equipped with a biblical 
perspective on creativity, communication, and arts, and engage in the process of creativity from a Great Commission 
perspective. Students learn how to integrate and articulate the biblical foundations underlying creative endeavors, 
demonstrate the process of creativity, and develop the means to sustain creativity.  "
ECED 3225,Early Childhood Methods,3,"This course focuses on preschool program and curriculum 
development from the perspective of a biblically integrated Christian preschool. Students consider how to develop 
curriculum layouts and developmentally appropriate units, and how to integrate biblical standards within the total 
program.  "
ECON 2103,Economics,3,"Students learn and apply macro and micro-economic principles. Topics include 
theories related to consumer and market behavior, determination of price, profit, output and GDP, supply and 
demand, fiscal policy, and distribution of income.  "
ECON 3100,Personal & Family Economic Decision-Making,3,"This course will examine the foundation of 
Christian stewardship rather than ownership of God’s resources for an individual and the family. Students will study 
Christian stewardship through the 10-week Crown Financial Ministries course focusing on the great value of 
advance financial plans (i.e. budgets). They will also examine a variety of personal and family financial decision 
Johnson University Undergraduate Academic Catalog 2023-2024 (Approved June 20, 2023)  
Course Descriptions 
 

 
 
such as: setting and reaching financial goals, tithing, minimizing debt, personal insurance purchases, and wisdom in 
making major purchases.  "
EDUC 1100,Introduction to Diversity in Education,3,"This course provides the prospective educator with the 
opportunity to explore issues of diversity, including an understanding of the influence of exceptionalities, culture, 
family, gender, sexual orientation, socioeconomic status, religion, language of origin, ethnicity and age upon the 
educational experience. Students will explore personal attitudes toward diversity and exceptionalities. Students will 
be provided information on the Florida Educator Accomplished Practices (FEAPs), Sunshine State Standards, and 
the Professional Educator competencies. Students will participate in a minimum of 15 hours of field-based 
experience working with diverse populations of children via FLED 2022 Tutoring. "
EDUC 2013,Introduction to Teaching: Elementary Education,3,"This course gives students an initial 
experience teaching in an elementary school setting. Students study principles of education with an emphasis on 
aiding struggling readers, assessment, and lesson planning. They implement these principles as they engage in a one-
to-one tutoring session with an at-risk child. The course is made possible through a partnership between Mooreland 
Heights Elementary School and Johnson University.  "
EDUC 2200,Instructional Strategies in Content Area,3,"This course provides an overview of teaching strategies 
and practices used in American classrooms. Special Considerations: This course is limited to students in the Early 
Childhood program.  "
