code,name,credit hours,description
ACC 245,VITA Program: Tax Procedure ,3,"and Practice
The basic principles of federal income taxes 
as they relate to low-to-moderate income 
individuals are applied in this hands-on course 
consisting of the preparation of various low-
to-moderate individual income tax returns 
using Forms 1040EZ, 1040A, 1040 and IL1040. 
Participation and certification in the volunteer 
income tax program is required.
(3 lec/0 lab) 
3 sem hrs"
ACC 250,Auditing I,3,"This course provides students with concepts 
and procedures involved in the examination 
of financial statements for the purpose of 
establishing and expressing an opinion as 
to their reliability. This course will discuss 
statistical sampling techniques and the auditor's 
legal liability.
Recommended Prereq: ACC221.
(3 lec/0 lab) 
3 sem hrs"
ACC 251,Auditing II,3,"This course focuses on the practical application 
of the conceptual structure of the audit process, 
risk assessment in the audit process, evidence 
gathering and evaluation, and special topics to 
auditing a comprehensive audit case.
Recommended Prereq: ACC250.
(3 lec/0 lab) 
3 sem hrs"
ACC 252,Accounting Research and ,2,"Analysis
This course is designed to teach students 
how to perform accounting research using 
electronic databases. Students learn how to 
research United States Generally Accepted 
Accounting Principles (GAAP) using the 
Financial Accounting Standards Board (FASB) 
Accounting Standards Codification (ASC). 
Students examine International Financial 
Reporting Standards (IFRS) using the eIFRS 
electronic database. This course meets the State 
of Illinois CPA examination requirement for 
Accounting Research and Analysis.
Recommended Prereq: ACC220; ACC221.
(2 lec/0 lab) 
2 sem hrs
93
www.waubonsee.edu
Course Descriptions
Art"
ACC 260,Advanced Accounting,3,"This course is an examination of advanced 
financial accounting concepts including 
accounting for business combinations, with 
emphasis on the consolidation of parent/
subsidiary balance sheet and income statement 
reporting. It also covers accounting for 
the formation, operation and liquidation 
of partnership, as well as special reporting 
requirements for multi-national entities.
Recommended Prereq: ACC221.
(3 lec/0 lab) 
3 sem hrs"
ACC 297,Accounting Internship,1,"Combining academic credit with professional 
experience, this internship allows students to 
learn about, observe and work in the accounting 
field. Eighty hours are required for 1 credit. 
Repeatable to a maximum of 4 semester 
hours; 6 semester hours from the accounting 
internship courses (ACC297, ACC298, 
ACC299) may apply to the accounting degree or 
certificates.
Prereq: 15 semester hours of ACC courses; 
consent of instructor.
(0 lec/5 lab) 
1 sem hrs"
ACC 298,Accounting Internship,N/A,"Combining academic credit with professional 
experience, this internship allows students to 
learn about, observe and work in the accounting 
field. One hundred sixty hours are required"
for 2,credits. Repeatable to a maximum of 6 ,2,"semester hours; 6 semester hours from the 
accounting internship courses (ACC297, 
ACC298, ACC299) may apply to the accounting 
degree or certificates.
Prereq: 15 semester hours of ACC courses; 
consent of instructor.
(0 lec/10 lab) 
2 sem hrs"
ACC 299,Accounting Internship,N/A,"Combining academic credit with professional 
experience, this internship allows students to 
learn about, observe and work in the accounting 
field. Two hundred forty hours are required"
for 3,credits. Repeatable to a maximum of 6 ,3,"semester hours; 6 semester hours from the 
accounting internship courses (ACC297, 
ACC298, ACC299) may apply to the accounting 
degree or certificates.
Prereq: 15 semester hours of ACC courses; 
consent of instructor.
(0 lec/15 lab) 
3 sem hrs
Anthropology  (ANT)"
ANT 101,Cultural Anthropology,3,"Cultural Anthropology provides an 
introduction to social and cultural 
anthropology, emphasizing the socio-culture 
and psychological characteristics of various 
cultures: hunters, tribesmen, chiefdoms, 
peasants and industrial societies. Emphasis 
is placed on cultural universals, integration 
of social institutions and the continuing 
adaptation of man to his environment.
IAI: S1 901N.
(3 lec/0 lab) 
3 sem hrs"
ANT 102,Human Origins,3,"Physical anthropology explores the origins and 
development of human beings and our closest 
non-human relatives in the primate order.  This 
course examines the mechanics of genetics 
and the processes of evolution.  Students also 
investigate the fossil record and archaeological 
evidence in order to understand the sequence 
of early human ancestors.  In addition, this 
course studies non-human primates, both 
living and extinct.  The course also explores 
the adaptability and variation seen in modern 
human populations.
IAI: S1 902.
(3 lec/0 lab) 
3 sem hrs"
ANT 110,Introduction to Archaeology,3,"Introduction to Archaeology explores the 
concepts, principles and archaeological 
methods utilized by anthropologists to 
reconstruct and interpret past cultures. Specific 
prehistorical cultures are examined to illustrate 
this process.
IAI: S1 903.
(3 lec/0 lab) 
3 sem hrs"
ANT 296,Special Topics in ,1 to 3,"Anthropology
This course offers in-depth exploration of a 
special topic, issue or trend in the anthropology 
field. Repeatable to a maximum of 12 semester 
hours for different special topics; 6 semester 
hours may apply to a degree or certificate.
Note: No topic can be offered more than twice in 
three years.
(1 to 3 lec/0 lab) 
1 to 3 sem hrs
Art  (ART)"
ART 100,Art Appreciation,3,"This course is designed to encourage visual 
literacy and develop analytical skills of the 
non-art major. Students are introduced to the 
vocabulary and media of art through discussion 
and manipulation of materials. This course is 
also intended to develop an understanding and 
awareness of the contributions artists make to 
society. Participation in this course may include 
independent visit to galleries and/or museums 
which may require admission fees.
IAI: F2 900.
(3 lec/0 lab) 
3 sem hrs"
ART 101,History of Western Art- ,3,"Ancient to Medieval
This course is a study of the historical 
developments of the visual arts in Western 
society from prehistoric through medieval time 
periods.  Discussion of major artistic trends and 
movements is framed by an examination of the 
historical context and social milieu.
Note: Participation in this course may include 
field trips which require admission fees.
IAI: F2 901.
(3 lec/0 lab) 
3 sem hrs"
ART 102,History of Western Art- ,3,"Renaissance to Modern Art
This course is a study of the historical 
developments of the visual arts in Western 
society from the Renaissance time period to the 
present.  Discussion of major artistic trends and 
movements is framed by an examination of the 
historical context and social milieu.
Note: Participation in this course may include 
field trips which require admission fees.
IAI: F2 902.
(3 lec/0 lab) 
3 sem hrs"
ART 103,History of Non-Western Art,3,"This course is a study of the historical 
developments of the visual arts in non-Western 
society.  Discussion of major artistic trends and 
movements is framed by an examination of the 
historical context and social milieu.
IAI: F2 903N.
(3 lec/0 lab) 
3 sem hrs"
ART 104,History of Photography,3,"This course covers the history of photography 
from its beginnings in the 1830s to the 
present. It familiarizes the student with key 
photographic artists, styles, and movements. 
Current photographic processes and criticism 
are discussed.
IAI: F2 904.
(3 lec/0 lab) 
3 sem hrs
94
2023/2024
Course Descriptions
Art"
ART 105,Gender and Art,3,"This course focuses on the relevance of gender 
to the definition, creation, and appreciation 
of art. This course will examine underlying 
social structures and how those structures 
affect society's perspectives of artists and of art. 
Particular consideration will be given to women 
as creators and subjects and how cultural 
attitudes towards women conditioned their 
experiences and artistic practices.
IAI: F2 907D.
(3 lec/0 lab) 
3 sem hrs"
ART 106,Contemporary Art - 1945 to ,3,"Present
This course is a study of the historical 
developments of the visual arts in Western 
society from 1945 to the present. Discussion 
of major artistic trends and movements and 
individual artists is framed by an examination of 
the historical context and social milieu.
IAI: F2 902.
(3 lec/0 lab) 
3 sem hrs"
ART 110,Design I,3,"This course is a studio class exploring the 
fundamentals of the formal systems and basic 
elements of visual organization through two-
dimensional design principles and theories 
using a variety of media..
IAI: ART 907
(1 lec/5 lab) 
3 sem hrs"
ART 111,Design II,3,"This course explores the basic elements of 
three-dimensional design. Directed exercises 
using a variety of media are included as well 
as exploring historical and contemporary art 
concepts.
Note: Required for art majors.
Prereq: ART110.
IAI: ART 908
(1 lec/5 lab) 
3 sem hrs"
ART 120,Basic Drawing I,3,"This course encompasses drawing of natural 
and artificial forms as well as interpretive 
and inventive processes. Line, shape, value, 
mass, proportions, and volume are explored 
emphasizing the use of black and white 
media. The course also includes vocabulary 
development, individual and class critiques, 
and exposure to contemporary and historical 
drawings.
IAI: ART 904
(1 lec/5 lab) 
3 sem hrs"
ART 121,Basic Drawing II,3,"A continuation of ART 120, Drawing I. This 
course builds on and refines the experiences 
of Drawing I focusing on a variety of media 
including color. Emphasis is on invention and 
formal concerns. Explorations into abstraction, 
nonobjective and fabricated image making 
is covered in this class. Course includes 
vocabulary development, critical analysis 
activities, and reference to contemporary and 
historic models of drawing.
Prereq: ART120.
IAI: ART 905
(1 lec/5 lab) 
3 sem hrs"
ART 130,Ceramics I,3,"This course is an introduction to the processes 
and techniques involved in making clay 
objects through hand-building and utilizing 
the potter's wheel. Various forms are explored. 
Issues related to both sculptural and functional 
aesthetics are addressed.
(1 lec/5 lab) 
3 sem hrs"
ART 131,Ceramics II,3,"This course guides students toward developing 
techniques involved in creating clay vessels on 
the potter's wheel and a further introduction 
into hand-building. Students are challenged 
with conceptual assignments relating to both 
the historical and contemporary world. Various 
forms are explored. Students learn to load and 
fire kilns of multiple processes.
Prereq: ART130.
(1 lec/5 lab) 
3 sem hrs"
ART 140,Photography I,3,"This course serves as an introduction to the 
art of black and white 35mm film photography. 
The student is introduced to basic darkroom 
techniques including film processing, enlarging, 
finishing, and presentation. This course is 
made up of both lab and lectures. It is designed 
to emphasize basic aesthetic grammar of 
photography and provide a historical and 
critical context for visually analyzing and 
creating photographs.
Note: Students are required to have their own 
SLR 35mm film camera with interchangeable 
lenses and manual settings. Cameras are 
available to checkout by photography students. 
For more information please call the Photo Lab 
Coordinator, (630) 466-2287.
(1 lec/5 lab) 
3 sem hrs"
ART 142,Beginning Digital ,3,"Photography
This course is designed to introduce students 
to computer tools that manipulate and enhance 
photographic images. Students learn the skills 
to correct, retouch, and enhance digital input 
in order to create high-quality digital output 
utilizing Adobe Photoshop. Using a digital 
camera, students will learn manual exposure, 
digital capture, and specific lens characteristics.
Note: Students are required to have their own 
DSLR digital camera that has interchangeable 
lenses, shoots with the RAW file format, has 
manual settings, and has a minimum of 8 mega-
pixels. Cameras are available for checkout by 
photography students. For more information 
please call the Photo Lab Coordinator, (630) 
466-2287.
(1 lec/5 lab) 
3 sem hrs"
ART 155,Sculpture I,3,"This studio course introduces basic sculptural 
processes, materials, and tools, and idea 
communication through these methods. Studio 
safety is strongly emphasized. Processes include 
additive, modeling, constructive, subtractive, 
carving, and replacement casting. Time 
arts/4-D may be considered.
Recommended Prereq: ART111.
(1 lec/5 lab) 
3 sem hrs"
ART 160,Computer Illustration,3,"This course covers vector graphics computer 
software using Adobe Illustrator, progressing 
from the beginning to the advanced level. 
Students define and apply vector-based 
technology to illustrations for web or print 
output and explore the methods and techniques 
of computer-generated images.
Note: Software includes Adobe Illustrator.
(1 lec/5 lab) 
3 sem hrs"
ART 165,Typography,3,"This course provides an introduction to 
typographic concepts as elements of graphic 
design. It gives a historical overview of type and 
letterforms, terms, classifications and typeface 
selection through psychological, emotional or 
cultural aspects. Structure, layout, legibility, 
readability, composition and information 
hierarchy, as well as the relationship of type to 
image and cultural context are examined and 
applied using a variety of design applications. 
Students will develop type designs based on 
current industry standards for contemporary 
communication.
Prereq: ART160 or concurrent enrollment.
(1 lec/5 lab) 
3 sem hrs
95
www.waubonsee.edu
Course Descriptions
Art"
ART 173,Graphic Design,3,"This course is an introduction to the 
fundamentals of graphic design. Historic 
and contemporary concepts and skills will 
be introduced and discussed, including both 
analog and digital media, problem-seeking/
solving, ideation, research, prototyping, 
image manipulation, vector graphics, brand 
development, typography, and layout design for 
print and screen. Students will use the formal 
elements and principles of design including 
composition, color, and eye movement, and 
apply them using graphic tools into effective 
graphic design communications. Art and 
design software to the industry standard will 
be utilized. Critiques will be used to discuss 
assessment and outcomes.
Prereq: ART110 or concurrent enrollment.
(1 lec/5 lab) 
3 sem hrs"
ART 222,Life Drawing,3,"This course focuses on the study of the 
human figure through selected assignments 
in contour, value, and gesture drawing of the 
undraped figure. Naturalistic and expressive 
interpretations in a variety of drawing media 
are included.
Prereq: ART120.
(1 lec/5 lab) 
3 sem hrs"
ART 230,Ceramics III,3,"This course further develops the skills acquired 
in ART131 with emphasis placed on a more 
personal expression within the confines of 
the processes and material. More complex 
techniques are explored, and issues related to 
functional and non-functional aesthetics are 
addressed. Students learn to load and fire kilns 
of multiple processes.
Prereq: ART131.
(1 lec/5 lab) 
3 sem hrs"
ART 231,Materials: Clay and Glaze ,1,"Development
This course is an introduction to the processes 
and techniques involved in making clay bodies, 
glazes and slips for specific firing processes.
Prereq: ART130.
(0 lec/2 lab) 
1 sem hrs"
ART 240,Photography II,3,"In this course, students will experiment with 
advanced black and white darkroom techniques 
which will offer them distinctive opportunities 
to explore how to make creative photographs. 
This course will introduce medium format film, 
multiple imagery, construction of narratives, 
toning, and split filter printing. Students 
will learn to master camera operations and 
film processing, as well as special effects and 
manipulations. In the last part of the semester, 
students will apply these techniques to the 
printing of photographs in a self directed 
project.
Note: Students are required to have their own 
SLR 35mm film camera with interchangeable 
lenses and manual settings. Cameras are 
available for checkout by photography students. 
For more information please call the Photo Lab 
Coordinator, (630) 466-2287.
Prereq: ART140.
(1 lec/5 lab) 
3 sem hrs"
ART 241,Photographic Lighting,3,"This course introduces students to fundamental 
lighting techniques and concepts encountered 
in the studio and on location. Students are 
instructed in the use of 4""x5"" view camera, 
light meters, sheet film, instant film and digital 
photographing techniques. Both the artistic and 
commercial use of lighting are explored.
Note: Students are required to have their own 
DSLR digital camera that has interchangeable 
lenses, is capable of photographing with the 
RAW file format, has manual settings, and has 
a minimum of 8 mega-pixels. Cameras are 
available for checkout by photography students. 
For more information please call The Photo Lab 
Coordinator, (630) 466-2287.
Recommended Prereq: ART240.  Prereq: 
ART142.
(1 lec/5 lab) 
3 sem hrs"
ART 242,Intermediate Digital ,3,"Photography
Building upon techniques learned in previous 
courses, students refine their command and 
control of Adobe Photoshop skills focusing on 
the use of more advanced photo manipulation 
tools. A strong emphasis is placed on the 
manipulated image while engaging the student 
to create a cohesive final project of professional 
quality. Students will also be introduced to 
Adobe Lightroom software.
Note: Students are required to have their own 
DSLR digital camera that has interchangeable 
lenses, shoots with the RAW file format, has 
manual settings, and has a minimum of 8 
mega-pixels. Cameras are available to checkout 
by photography students. For more information 
please call the Photo Lab Coordinator, (630) 
466-2287.
Prereq: ART142.
(1 lec/5 lab) 
3 sem hrs"
ART 243,Advanced Digital ,3,"Photography
This advanced level course builds upon the 
student's digital abilities from previous classes 
utilizing Adobe Photoshop and Lightroom. 
Emphasis is placed on color management, 
profiling, printing, and commercial versus 
fine art practices along with an introduction 
to 4""x 5"" cameras with scanning backs. The 
culmination of this course is a final digital and 
archival print portfolio.
Note: Students are required to have their own 
DSLR digital camera that has interchangeable 
lenses, shoots with the RAW file format, has 
manual settings, and has a minimum of 8 mega-
pixels. Cameras are available for checkout for 
photography students. For more information 
please call the Photo Lab Coordinator, (630) 
466-2287.
Prereq: ART242.
(1 lec/5 lab) 
3 sem hrs"
ART 255,Sculpture II,3,"This studio course continues the exploration of 
sculptural processes, materials, and tools, and 
the idea of communication through sculptural 
methods. Studio safety is strongly emphasized. 
Students develop proficiency in selection, 
use and manipulation of materials as well as 
mastery of the processes involved.
Recommended Prereq: ART155.
(1 lec/5 lab) 
3 sem hrs"
ART 260,Painting I,3,"This course is an introduction to painting 
in acrylic and/or oil media.  Students depict 
a variety of subject matter using a creative 
approach.
Note: Students are strongly encouraged to 
complete both ART110 and ART120.
Prereq: ART110 or ART120.
(1 lec/5 lab) 
3 sem hrs"
ART 261,Painting II,3,"This course is a continuation of ART260.  
Students explore a variety of painting 
techniques pertinent to the 21st century.
Prereq: ART260.
(1 lec/5 lab) 
3 sem hrs"
ART 262,Painting III,3,"This course is a continuation of ART261.  
Students explore contemporary issues and how 
they relate to a realization of personal style in 
creating art work.
Prereq: ART261.
(1 lec/5 lab) 
3 sem hrs"
ART 290,Studio Art,3,"This is an advanced studio course for 
art majors. It allows continuation and 
concentration in a subject field with emphasis 
on individual research and personal exploration. 
Students can further their knowledge in 
drawing, life drawing, painting, design, 
photography, sculpture or ceramics. Repeatable 
to a maximum of 12 semester hours; 6 semester 
hours may apply to a degree or certificate.
Prereq: Consent of instructor.
(1 lec/5 lab) 
3 sem hrs"
ART 293,Art Portfolio and Professional ,3,"Development
This course provides students the necessary 
skills to create a digital portfolio to use as a 
promotional tool in their educational journey 
and in the creative job market.
(2 lec/3 lab) 
3 sem hrs"
ART 296,Special Topics for the Arts,1 to 6,"This course offers in-depth exploration of 
a special topic, issue or trend in the arts. 
Repeatable to a maximum of 24 semester hours 
for different special topics; 6 semester hours 
may apply to a degree or certificate.
(0 to 6 lec/0 to 12 lab) 
1 to 6 sem hrs
Astronomy  (AST)"
AST 100,Introduction to Astronomy,3,"This course is a descriptive, nonlaboratory 
survey course in astronomy. Although the 
course is considered non-mathematical, some 
basic arithmetic is required. Topics include 
earth and sky, the structure and evolution of the 
solar system, stars, galaxies and the universe.
Note: AST100 will not count toward a degree if 
the student completes AST105.
IAI: P1 906.
(3 lec/0 lab) 
3 sem hrs"
AST 105,Astronomy,4,"This course is an introduction to the study of 
the universe and how the scientific method 
and modern tools are used to study it. Topics 
include history of astronomy; properties of 
the sun and planets and the structure and 
evolution of the solar system; nature and 
evolution of stars; galaxies and the beginning 
of the universe. Laboratory activities will 
include real and virtual astronomical viewing 
and experiments and will require some basic 
algebraic calculations.
Note: Students will not receive credit toward a 
degree for both AST100 and AST105.
Recommended Prereq: A course in basic algebra.
IAI: P1 906L.
(3 lec/2 lab) 
4 sem hrs"
AST 296,Topics/Issues for the ,1 to 6,"Sciences
This course offers in-depth exploration of a 
special topic, issue or trend in one or more 
of the biological or physical sciences fields. 
Repeatable to a maximum of 24 semester hours 
for different special topics; 6 semester hours 
may apply to a degree or certificate.
(1 to 6 lec/0 lab) 
1 to 6 sem hrs
Auto Body Repair  (ABR)"
ABR 100,Auto Body Welding,3,"This course is designed to develop a high level 
of student skill in the use of various welding 
and fastening techniques according to I-Car 
standards as they relate to auto body repair. 
Concurrently, the student practices with various 
tools used in the disassembly of auto body 
panels. Familiarization with shop facility and 
routine is also established.
Prereq: C or better in ENG075 or ENG080, 
or placement by appropriate measures into 
ENG085 or higher.
Coreq: ABR105; ABR110; ABR115; ABR120; 
ABR125.
(1 lec/4 lab) 
3 sem hrs"
ABR 105,Sheet Metal Repair,2,"This course trains students in the use of metal 
straightening tools and techniques vital to the 
repair of damaged auto body panels. Skill levels 
are developed which allow for metal finishing a 
panel without the use of body fillers.
Prereq: C or better in ENG075 or ENG080, 
or placement by appropriate measures into 
ENG085 or higher.
Coreq: ABR100; ABR110; ABR115; ABR120; 
ABR125.
(1 lec/2 lab) 
2 sem hrs"
ABR 110,Fiberglass Panel and Plastic ,2,"Repair
This course is designed to enable students to 
make repairs of both plastic and fiberglass 
panels. Students will be able to distinguish 
between Fiberglass, Sheet Mold Compound, 
and various other plastic blends and complete 
repairs that are strong and undetectable.
Prereq: C or better in ENG075 or ENG080, 
or placement by appropriate measures into 
ENG085 or higher.
Coreq: ABR100; ABR105; ABR115; ABR120; 
ABR125.
(1 lec/2 lab) 
2 sem hrs"
ABR 115,Basic Auto Body Repair,4,"In this phase of auto body training, students 
are given the opportunity to apply skills learned 
previously. Some panel replacements may be 
necessary to complete the repair. Activities 
include feathering, taping, masking and spot 
repair.
Prereq: C or better in ENG075 or ENG080, 
or placement by appropriate measures into 
ENG085 or higher.
Coreq: ABR100; ABR105; ABR110; ABR120; 
ABR125.
(2 lec/4 lab) 
4 sem hrs"
ABR 120,Auto Painting and ,4,"Refinishing
This comprehensive course covers the entire 
area of auto painting, from the equipment 
used through pre-painting procedures and 
application techniques including masking 
and taping, and finishing with rubbing and 
polishing. Each student must complete a 
checklist of tasks that encompasses the many 
facets of auto painting such as priming, sanding, 
sealing, coloring, clearing wet sanding and 
buffing.
Prereq: C or better in ENG075 or ENG080, 
or placement by appropriate measures into 
ENG085 or higher.
Coreq: ABR100; ABR105; ABR110; ABR115; 
ABR125.
(2 lec/4 lab) 
4 sem hrs"
ABR 125,Auto Body Careers,1,"This course provides students with exposure 
to the auto body field. Students experience 
and observe actual shop operations and career 
opportunities.
Prereq: C or better in ENG075 or ENG080, 
or placement by appropriate measures into 
ENG085 or higher.
Coreq: ABR100; ABR105; ABR110; ABR115; 
ABR120.
(1 lec/0 lab) 
1 sem hrs"
ABR 130,Automotive Collision ,1,"Appraisal
This course is designed to prepare students 
for entry into the field of collision repair and 
collision damage estimating. It deals with 
evaluating the extent of the damage and 
defining what repair costs will be for the vehicle. 
Systematic estimating procedures, abbreviations 
used for estimating and identifying different 
parts of a vehicle will be emphasized.
Prereq: C or better in ABR100, ABR105, 
ABR110, ABR115, ABR120 and ABR125.
Coreq: ABR135; ABR140; ABR145; ABR150.
(.5 lec/1 lab) 
1 sem hrs
97
www.waubonsee.edu
Course Descriptions
Automation Technology"
ABR 135,Frame Repair,6,"This course gives students the opportunity 
to use various body frame machines and 
measuring systems to effect repairs to frames 
and unibodies. Proper use and assembly of 
frame repair and measuring equipment will be 
emphasized.
Prereq: C or better in ABR100, ABR105, 
ABR110, ABR115, ABR120 and ABR125.
Coreq: ABR130; ABR140; ABR145; ABR150.
(3 lec/6 lab) 
6 sem hrs"
ABR 140,Glass Service,1,"This course trains students in the care 
and service of automotive glass and glass 
replacement. Students learn about structural 
and nonstructural glass, proper sealants, and 
glass removal.
Prereq: C or better in ABR100, ABR105, 
ABR110, ABR115, ABR120 and ABR125.
Coreq: ABR130; ABR135; ABR145; ABR150.
(.5 lec/1 lab) 
1 sem hrs"
ABR 145,Intermediate Auto Body ,6,"Repair
This course involves the student in the repair of 
a vehicle with extensive damage. Students join 
into teams and apply all of their basic training. 
Sectioning, quarter panel replacement and 
structural realignment are included. Production 
and speed are stressed in this phase of the work.
Prereq: C or better in ABR100, ABR105, 
ABR110, ABR115, ABR120 and ABR125.
Coreq: ABR130; ABR135; ABR140; ABR150.
(3 lec/6 lab) 
6 sem hrs"
ABR 150,Chassis and Electrical ,2,"Systems for Auto Collision
This course is designed to provide auto body 
students with repair skills in automotive chassis 
and electrical systems as they relate to work 
in auto body and collision. Replacement of 
damaged mechanical parts as well as steering 
and suspension are emphasized.
Prereq: C or better in ABR100, ABR105, 
ABR110, ABR115, ABR120 and ABR125.
Coreq: ABR130; ABR135; ABR140; ABR145.
(2 lec/0 lab) 
2 sem hrs"
ABR 215,Advanced Auto Body Repair,3,"This final phase of the auto body repair 
program is designed to allow the auto body 
student mastery-level experiences. Students use 
their previously learned skills to complete real-
life auto body and collision repairs including 
diagnosing, set-up and repair.
Prereq: C or better in ABR100, ABR105, 
ABR110, ABR115, ABR120 and ABR125.
(1 lec/4 lab) 
3 sem hrs"
ABR 297,Auto Body Internship,1,"Combining academic credit with professional 
experience, this internship allows students 
to learn about, observe and work in the auto 
body repair field through collision repair and 
refinishing skills in a commercial setting. Eighty 
hours are required for 1 credit.  Repeatable to 
a maximum of 4 semester hours; 1 semester 
hour from the auto body internship courses 
(ABR297, ABR298, ABR299) may apply to the 
auto body degree or certificate.
Prereq: ABR100, ABR105, ABR110, ABR115, 
ABR120 and ABR125; consent of instructor.
(0 lec/5 lab) 
1 sem hrs"
ABR 298,Auto Body Internship,2,"Combining academic credit with professional 
experience, this internship allows students 
to learn about, observe and work in the auto 
body repair field through collision repair and 
refinishing skills in a commercial setting. One 
hundred sixty hours are required for 2 credits.  
Repeatable to a maximum of 6 semester hours; 
1 semester hour from the auto body internship 
courses (ABR297, ABR298, ABR299) may apply 
to the auto body degree or certificate.
Prereq: ABR100, ABR105, ABR110, ABR115, 
ABR120 and ABR125; consent of instructor.
(0 lec/10 lab) 
2 sem hrs"
ABR 299,Auto Body Internship,3,"Combining academic credit with professional 
experience, this internship allows students 
to learn about, observe and work in the auto 
body repair field through collision repair and 
refinishing skills in a commercial setting. Two 
hundred forty hours are required for 3 credits. 
Repeatable to a maximum of 6 semester hours; 
1 semester hour from the auto body internship 
courses (ABR297, ABR298, ABR299) may apply 
to the auto body degree or certificate.
Prereq: ABR100, ABR105, ABR110, ABR115, 
ABR120 and ABR125; consent of instructor.
(0 lec/15 lab) 
3 sem hrs
Automation Technology  
(AMT)"
AMT 100,Introduction to ,3,"Manufacturing Automation 
Systems
This course introduces students to the basic 
manufacturing systems and processes used to 
take raw materials to finished products in the 
modern manufacturing plant. Contents include 
processes, application, controls, the need for 
automation, workflow, and design.
(3 lec/0 lab) 
3 sem hrs"
AMT 102,Basic Electricity,3,"This course introduces the student to 
foundational electrical concepts from atomic 
structure, how electricity is generated, and end 
uses. Core electrical knowledge such as Ohm's 
law, series and parallel, thermal and non-
thermal power, capacitance, inductance, and 
semiconductors are examined.
(3 lec/0 lab) 
3 sem hrs"
