Course Code,Course Title,Credit Hours,Description
ACC 461 ,Seminar in International Accounting ,3,". An understanding of international accounting-related issues 
commonly faced by the global organizations. Topics included a comparison of international and U.S. accounting 
standards, reconciling international and U.S. financial statements, auditing, taxation, transfer pricing, and foreign 
currency issues. Prerequisite: MinGrade of C in ACC 302. 
 
COURSE DESCRIPTIONS, AAMU Undergraduate Bulletin, 2023-2024 
~ 219 ~ 
 
Agribusiness"
AGB 102 ,Introduction to Careers in Agriculture ,1,". This course provides the agribusiness student and introduction to 
careers in the private sector and government agencies. Guest speakers are invited to the class to discuss job requirements, 
fringe benefits and employment opportunities. The student is required to prepare a resume and cover letter for each 
speaker. Prerequisite: None."
AGB 199 ,Computers in Agriculture ,3,". This course is designed for the freshman students, who are planning to major 
in the ""Agricultural Sciences"" at Alabama A&M University. The course provides an introduction to computers, words 
processing, PowerPoint presentations, spread-sheets, use of Internet for Educational purposes, and simple statistical 
analysis functions and geospatial analysis that are commonly found in general agriculture and natural resources, 
agribusiness and marketing, family and consumer sciences, urban planning, and other related careers. Prerequisite: None."
AGB 211 ,Metal Fabrication ,3,". This course will encompass a combination of three content areas: classification and 
properties of metals, welding, and machine tool technology. Prerequisite: None."
AGB 211L Basic,Metal ,3,". The overall content for basic metals will place emphasis on classifications and properties of 
metals, various welding processes, acetylene welding equipment, arc welders, mig welders, introduction to various types 
of measuring devices and machine tool technology."
AGB 212 ,Wood Technology ,3,". A study of the safe operations and maintenance of woodworking machines. Methods 
of design, construction and finishing of wood products and an overview of the wood industry. Prerequisite: None."
AGB 221 ,Introduction to Agricultural Economics ,3,". An introduction to the field of agricultural economics through 
the application of principles of economics to problems in agriculture and related industries; analysis of supply and 
demand, resource allocation and utilization; the role of natural resources, population and capital in economics 
development; policy issues including resource, price and income policies, and international trade. Prerequisite: None."
AGB 299 ,Quantitative Applications in Agribusiness ,3,". This course is an introduction to quantitative agricultural 
methods, tools and problems solving techniques. The course is designed to expand theoretical math concepts and make 
applications in the agribusiness and agricultural sector. Emphasis will be on data manipulation especially as it applies to 
graphical analysis of physical and financial functions. The United States Department of Agricultural (USDA) data and 
graphical set 'World Agricultural Trends and Indicator (WATI)"" and US Census of Agriculture databases will be 
utilized. Prerequisite: None."
AGB 300 ,Agribusiness Statistics ,3,". An introduction to sources and methods of collection and analysis of prices and 
other agricultural statistics. Focus is on the basic tools of statistical analysis, such as ratios, frequency distribution, 
averages and dispersion measures, as well as on time series, correlation, and simple and multiple regression analyses. 
Prerequisite: MTH 112."
AGB 301 ,Electric Systems and Machines ,3,". Units of study include: basic circuits elements, electric wiring systems, 
motor operation and maintenance, electrical and electronic controls. Prerequisite: None."
AGB 302 ,Organization and Administration of Career Technology Education ,3,". A course dealing with identification, 
exploration and research of current issues in the Agricultural and Environmental Sciences, including inquiry, reading and 
review; problem identification and selection; data collection and analysis; proposing, selecting and testing of possible 
solutions; and organization, participation and evaluation. Prerequisite: None."
AGB 311 ,Small Power Units and Equipment ,3,". A course dealing with unit selection, principles of operations, and 
maintenance of small air-cooled engines. Emphasis will be placed on operation, adjustment, and maintenance of farm 
tractors. Prerequisite: None."
AGB 314 ,Small Structure Construction ,3,". Planning and construction methods for small buildings made of lumber, 
poles, metals, concrete, blocks and plastics; bill of materials; carpentry of layouts, foundations, framing, floors, covering 
and finishes. Prerequisite: None."
AGB 322 ,Farm Management ,3,". Organization and operation of the farm business analyzed to obtain an income 
consistent with family resources applied to the individual farm. Emphasis on budgeting crop and livestock system, farm 
record analysis, financial management, farm leases, and risk management. Prerequisite: ECO 230. 
 
COURSE DESCRIPTIONS, AAMU Undergraduate Bulletin, 2023-2024 
~ 220 ~"
AGB 323 ,Agricultural Marketing ,3,". Provides a critical analysis of methods employed by agencies engaged in 
marketing farm products including services performed, factors affecting prices and marketing channels, marketing 
agricultural products through cooperatives, and establishment and operation of cooperatives. Prerequisite: None."
AGB 333 ,Commodity Marketing ,3,". Focus on using futures markets in managing agricultural price risk. Topics 
include: hedging, forward contracting and options as risk management tools. Prerequisite: None."
AGB 343 ,Economics of Grain Marketing ,3,". A course exposes students to the activities, economic concepts and 
principles of grain marketing. The focus is on the movement of major grains grown in the US—corn, wheat, and 
soybeans from farm production to final consumption. Prerequisite: None."
AGB 401 ,Methods of Teaching in Agriscience ,3,". Consideration will be given to approved methods and techniques 
of teaching Agribusiness at the secondary level. Emphasis will be placed on foundations for methods in Agribusiness 
Education, method for teaching and learning, application of learning, teaching special populations and evaluation of 
learning. Prerequisite: EDU 307 and EDU 402 and EDU 403 and EDU 411."
AGB 405 ,Extension Methods ,3,". Principles and procedures in developing extension programs in agriculture, with 
emphasis on program determination, teaching methods and relationship with teaching adults in the life-learning process. 
Prerequisite: None."
AGB 418 ,Agricultural Leadership ,3,". Development of skills, qualities, and behaviors which enable effective 
leadership, study of group and organization function, interpersonal relationships, teaming and leadership in various 
organizational settings. Prerequisite: None."
AGB 420 ,Agricultural Cooperatives ,3,". This course explores the functioning, management, and role of cooperatives 
in agriculture. It is designed to provide students with greater appreciation of the economic and legal underpinning of 
institutional arrangements in agriculture and of the potential role such arrangements may play in solving many of the 
pressing problems in production and marketing of agricultural products. Prerequisite: None."
AGB 421 ,Agribusiness Management ,3,". The management of principles applicable to the agribusiness industry. The 
application of economic principles to the decision-making process of firms supplying input to agriculture, or processing 
and distribution of agricultural products, demand analysis, budgeting, financing, pricing, inventory control, and 
merchandising. Prerequisite: ECO 230."
AGB 422 ,Agricultural Financing ,3,". Study of capital and credit needs of farms and agribusiness firms. Sources and 
cost of capital and the allocation of capital over time and among alternatives. Risk management strategies and financial 
performance analysis are covered. Prerequisite: None."
AGB 423 ,Food Merchandising ,3,". This course will expose students to various merchandising activities that affect the 
sale of food and nonfood products through the U.S. food marketing system. Special emphasis will be placed on those 
merchandising activities that occur in the retail store. Prerequisite: None."
AGB 424 ,International Agricultural Development ,3,". Conceptual analysis of economic development with 
international focus on the lesser developed areas and countries. Emphasis is placed on financial aid, technical aid and 
appropriate factor proportions in the transformation of agrarian economics. Prerequisite: None."
AGB 425 ,Agricultural Policy ,3,". The application of economic analysis to Federal and State government programs and 
policies affecting resource adjustment in agriculture to determine their effects on products' incomes and consumers' 
prices. Past programs are critically appraised in light of existing economics and the political climate at the time of their 
implementation; existing programs and alternate proposals are evaluated using such criteria as resource use and income 
distribution within agriculture and between agriculture and the rest of the economy, and other economic and social 
implications of alternative policies and programs are reviewed. Prerequisite: None. 
 
COURSE DESCRIPTIONS, AAMU Undergraduate Bulletin, 2023-2024 
~ 221 ~"
AGB 430 ,Agricultural Prices ,3,". An analysis of the factors affecting the prices of agricultural products and a study of 
the behavior of these prices, seasonal and cyclical price movement; government activities relating to agricultural prices, 
marketing margins and prices paid, and price predication. Prerequisite: None."
AGB 433 ,Agricultural Sales ,3,". Introduction of sales as a career choice within the agricultural science disciplines. 
Study of the structure of sales organization as well as activities involved in day-to-day operations. Hands-on training in 
performing functions of an agribusiness salesperson is covered. Prerequisite: None."
AGB 443 ,Economics of Food Distribution ,3,". This course is designed to introduce students to the fundamentals of 
food distribution and logistics.  Students are exposed to logistic systems and management in food distribution. These 
include inventory, warehousing, traffic, materials and handling, packaging, order processing and customer service. 
Special emphasis will be placed on the sale of food and nonfood products through the US food marketing system, and 
the merchandising activities occurring in the retail store. Prerequisite: None."
AGB 445 ,Natural Resource Economics ,3,". Exposure of students to fundamentals of agricultural and natural resource 
economics, with emphasis on the problems and policies of both developed and less developed worlds. Special focus will 
be placed on pollution control issues, hazardous wastes, and the vulnerability of minority population and government 
responses to increasing visibility of these issues. Prerequisite: None."
AGB 453 ,International Agricultural Marketing ,3,". A course designed to expose students to the fundamentals of global 
agricultural marketing, the challenges involved, and the political and economic ramifications of marketing abroad. 
Prerequisite: None."
AGB 490 ,Special Problems ,3,". Guided independent investigation of problems in Agricultural Sciences, Agribusiness 
Management and Agricultural Economics. Prerequisite: None."
AGB 495 ,Internship ,12,". Practice teaching by students in vocational agriculture for twelve weeks in a selected high 
school in Alabama, offering vocational agriculture, under the supervision of the local teacher of vocational agriculture 
and the agricultural education teacher trainers of the University. Prerequisite: None."
AGB 499 ,Research in Agribusiness ,3,". Critical review of relevant research and group discussion of current 
development and problems related to the agricultural sector. Prerequisite: Junior or senior standing and consent of 
academic advisor. Prerequisite: None. 
 
Apparel, Merchandising & Design"
AMD 104L Aesthetics,in Family and Consumer Sciences ,3,"(1 clock hour lecture x2 and 3 clock hour lab period per 
week). The application of aesthetic principles to Family and Consumer Sciences subject matter, including apparel, 
merchandising, design, nutrition, interior spaces, and human environments. Prerequisite: None."
AMD 201L Basic,Clothing Construction ,3,"(1 clock hour lecture x2 and 3 clock hour lab period per week). Experience 
in the development of basic skills in clothing construction. Open to male and female students and other adults with little 
or no experience in clothing construction. Prerequisite: None."
AMD 202 ,AMD Retail Mathematics ,3,". A study of the mathematical calculations concepts, procedures and 
assessment of figures that relate to fashion businesses and organizations achieving profit. Prerequisite: None."
AMD 203L Consumer,Aspects of Clothing ,3,". An introduction to clothing and textiles, including wardrobe planning, 
maintenance, and coordination; clothing selection criteria; clothing for the world of work; textile classification; and use 
and care of textile products. Prerequisite: None."
AMD 204L Clothing,Throughout the Lifecycle ,3,"(1 clock hour lecture x2 and 3 clock hour lab period per week). A 
study of the economic, social, and psychological aspects of clothing as they relate to the acquisition, use, and care of 
clothing for family members. Domestic and commercial sewing machines are utilized. Prerequisite: AMD 104L and"
AMD 206L Interior,Design ,3,"(1 clock hour lecture x2 and 3 clock hour lab period per week). The application of the 
elements and principles of art to the planning, selection, and arrangement of household furniture and furnishings. A 
COURSE DESCRIPTIONS, AAMU Undergraduate Bulletin, 2023-2024 
~ 222 ~ 
 
survey of traditional, contemporary, and modern trends in interior and exterior house planning is provided. Prerequisite:"
AMD 208 ,Ready-to-Wear Apparel Analysis ,2,". An industry approach to the evaluation of quality in ready-to-wear 
apparel. Provides an understanding of what constitutes apparel quality, how it is achieved, and the factors that affect cost 
and quality. Prerequisite: None."
AMD 302 ,Historic Costume ,3,". A comprehensive study of dress throughout periods of history, including the cultural 
and economic factors associated with the development, adoption, and abandonment of styles. Prerequisite: None."
AMD 303 ,Fashion Merchandising I ,3,". A study of the American and European fashion industries from production of 
raw materials to the distribution of finished goods and their impact on the international economy. An understanding of 
the language of fashion, fashion designers, and retailers is included. Prerequisite: None."
AMD 304 ,Cultural Aspects of Clothing ,3,". A study of clothing as a social, psychological, and economic force, 
including the study of cultural patterns, behavioral reactions, changing needs, and technological developments. 
Prerequisite: None."
AMD 305 ,Housing and Interiors ,3,". A study of housing and living environments with emphasis on construction, 
arrangement, use and care of furniture and equipment. Prerequisite: None."
AMD 306 ,Fashion Merchandising II ,3,". An examination of basic concepts and practices of retail management and 
their relationship to the world of fashion. Activities involved in the merchandising of fashion goods, including analyzing 
and forecasting consumer demand and planning promotional strategies are emphasized. Prerequisite: AMD 303."
AMD 308 ,Visual Merchandising ,3,". The study of creative techniques in the display of retail merchandise and their 
effective application to the enhancement of product salability. Prerequisite: AMD 104L."
AMD 315 ,Consumer Textiles I ,3,". A study of fibers, yarns, structures, color, and finishing techniques of textiles and 
textile products with emphasis on the selection of fabrics for specific consumer end uses. Prerequisite: None."
AMD 316L Consumer,Textiles II ,3,"(1 clock hour lecture x2 and 3 clock hour lab period per week). Advanced study of 
textile fibers, fabrics and products utilizing laboratory testing techniques and safety procedures employed in the 
evaluation of textiles for specific end uses. Prerequisite: AMD 315."
AMD 320 ,AMD Fashion Illustration ,3,". A study of the techniques used for drawing the human figure from the 
perspective of fashion design. An analysis of how the human body integrates movement with fabrics, their volume, and 
their weight. Prerequisite: None."
AMD 403L Flat,Pattern Design ,3,"(1 clock hour lecture x2 and 3 clock hour lab period per week). An in-depth study of 
the basic principles of flat pattern manipulations and their applications to apparel design. Prerequisite: AMD 204L."
AMD 404L Advanced,Clothing and Design ,3,"(1 clock hour lecture x2 and 3 clock hour lab period per week). A study 
of techniques in methods of fitting, designing, and advanced clothing construction. Designing and construction of 
garments for individual figure types and pattern-making through the flat pattern method are emphasized. Prerequisite:"
AMD 405L Functional,Clothing Design ,3,"(1 clock hour lecture x2 and 3 clock hour lab period per week). 
Development of apparel from a problem-solving perspective to meet aesthetic and functional needs in regard to 
exceptional proportions, rehabilitation, activity, performing arts, and new technology. Prerequisite: AMD 104L and"
AMD 406L,Draping ,3,"(1 clock hour lecture x2 and 3 clock hour lab period per week). The principles and techniques of 
draping and dress designing based on the manipulation of fabric on a form. Prerequisite: AMD 104L  and 201L and"
AMD 407 ,Advanced Interior Design ,3,". Physical, social, psychological, and economic factors influencing the 
selection of housing for individual and family living including location, design, structure, and interior. Prerequisite:"
AMD 410L ,Apparel CAD ,3,"(1 clock hour lecture x2 and 3 clock hour lab period per week). Hands-on experience in 
the application of AutoCAD principles to apparel design, pattern making, and grading. Prerequisite: (AGB 199 or MDT 
252) and AMD 403L."
ARP 101 ,Academic Success Course ,1,". The seminar is designed to assist students with developing the behaviors and 
skills necessary to restore their academic standing and achieve academic self-confidence. Students will learn and apply 
appropriate study and time management strategies, identify personal barriers to achieving success and develop strategies 
to overcome these barriers, initiate a personal development plan, and engage with the appropriate University services, as 
needed. This course cannot be applied to any program and is not computed in the GPA. Prerequisite: (GPA under 1.50 
(1-24 earned credit hours), GPA under 1.75 (25-44 earned credit hours), GPA under 2.00 (≥ 45 earned credit hours) ) 
and/or consent of the instructor. 
 
Art"
ART 101 ,Art Appreciation ,3,. A general survey of the visual arts for non-art majors. Prerequisite: None.
ART 101H Art,Appreciation Honors ,3,". A general survey of the visual arts for non-art majors. Advanced reading and 
writing assignments will be given. Enrollment in he Honors Program is required. Prerequisite: None."
ART 103 ,Introduction to Computer Systems for Visual Art ,3,"(3 clock hours per week). Introduction to hardware and 
system interface as well as an overview to foundation software used for page layout, vector-based imaging, and bitmap 
imaging. This is a foundation course centered on the understanding of  the computer through computer software and 
types of media. Students will explore the theories and principles and build on this understanding through assigned 
projects to develop additional computer literacy. Prerequisite: Declared art majors and art minors."
ART 110 ,Drawing I ,3,"(2 clock hour lecture and 4 clock hour lab periods per week). An introductory course 
involving drawing from direct observation with an emphasis on space, volume, linear and free hand perspective, and 
other basic techniques and concepts. With an emphasis on line as the principle conveyor of form, ART 110 will expose 
students to ideas and skills that have occupied artists throughout history. Prerequisite: None."
ART 111 ,2D Design ,3,"(2 clock hour lecture and 4 clock hour lab periods per week). An introductory course using 
fundamental elements, principles, vocabulary and theories of visual art to develop concise concepts of design. 
Prerequisite: None. 
COURSE DESCRIPTIONS, AAMU Undergraduate Bulletin, 2023-2024 
~ 224 ~"
ART 121 ,3D Design ,3,"(2 clock hour lecture and 4 clock hour lab periods per week). A foundations course utilizing 
the elements and principles of design to explore form as mass and volume. Through a series of assigned projects using 
simple materials the student will investigate the physical and conceptual attributes of three-dimensional form in space. 
Prerequisite: None."
ART 209 ,Drawing II ,3,"(2 clock hour lecture and 4 clock hour lab periods per week). Drawing II continues and 
expands upon the information and skills acquired in Drawing I with an emphasis on value as the chief conveyor of form. 
There will be a greater stress on composition as a way of heightening aesthetic interest and conveying information and 
meaning. Primer course for VAR 491, VAR 492, VAR 493, VAR 494. Prerequisite: ART 110 or instructor consent."
ART 211 ,Color Theory ,3,"(2 clock hour lecture and 4 clock hour lab periods per week). Color Theory is a 
foundations course designed to introduce the student to the principles of color mixing, color interaction and design, and 
traditional and contemporary theory as relates to color history and development in both two and three dimensions. While 
classroom hours will be divided between lectures, demonstrations, critiques and discussions, this is a studio class with 
significant time devoted in class to the practice of seeing and working with color through a series of exercises to put the 
student in the position of making informed color decisions. Prerequisite: (ART 110 and ART 111) or instructor consent."
ART 220 ,History of Art I ,3,". A survey of the history of art from prehistoric times to the Renaissance. This course 
presents a view of ancient, medieval and Renaissance art the world over."
ART 221 ,History of Art II ,3,". A survey of the history of art from Renaissance times to present. This course presents a 
view of Renaissance through modern art. 
 
Business Education"
BED 425 ,Materials and Methods of Teaching Business Subjects ,3,". This course includes a study of basic methods, 
strategies, instructional materials, and media that relate to the effective teaching of business education subjects. This 
course represents a performance-based approach designed to enable the candidate to become an educational service 
professional through the development of proficiencies specific to knowledge, skills, and dispositions required by the 
national, regional, state and institutional stands."
BED 495 ,Internship in Secondary Education ,12,". This course entails one semester of full-time teaching under the 
immediate direction of cooperating teachers and university supervisors in off-campus public (or approved private) 
schools. Upon return to the campus, students share their experiences, discuss problems and develop new techniques in a 
professional seminar. This course represents a performance-based approach to teacher education designed to enable the 
candidate to become an educational service professional with knowledge, skills and dispositions required by institutional, 
state, regional, and national standards. Through a constructivist design, learning will be facilitated by the candidates 
participation in activities that will involve the intellect as well as dispositions. Creativity in learning will be facilitated by 
collaboration and feedback that should result in continual reflection and self-assessment. The ultimate outcome of this 
course is the further development of a skilled, highly proficient educational practitioner. 
 
Biological & Environmental Sciences"
BES 121 ,Introduction to Plant Biotechnology ,3,". This course is an introduction to biotechnology, including career 
exploration, historical development and current applications in the areas of agriculture and the environment. The course 
will present an overview of the techniques and underlying theory of plant tissue culture and genetic engineering, research 
and commercial applications, and issues/challenges in the area of plant biotechnology. Prerequisite: NRE 101 or 
instructor consent."
BES 301 ,Plant Biotechnology Applications ,3,". The course will explore the role of biotechnology for engineering 
functional food, nutraceutical, pharmaceutical, and industrial crops including cosmetic, lubricants, renewable energy, 
specialized wood products, etc. In this course, novel biotechnological approaches to engineering crops for production of 
biofuels and technologies such as ethanol distillation using a variety of biomass raw materials and microorganisms will 
be discussed. Students will also study the biodigester and how it can be used to transform waste into energy. 
Prerequisite: NRE 101 or instructor consent."
BES 325 ,Plant Biotechnology Techniques ,4,". The course will aim at teaching essential techniques in biotechnology 
and genetic engineering. Students will gain hands-on experiential learning of concepts, instruments, use, and 
maintenance. This course will be comprehensive and will involve organization of the molecular biology laboratory, 
COURSE DESCRIPTIONS, AAMU Undergraduate Bulletin, 2023-2024 
~ 225 ~ 
 
importance of maintaining aseptic conditions for tissue culture techniques. Students will also study the biodigester and 
how it can be used to transform waste into energy. Prerequisite: BES 121 and BES 301."
BES 400 ,Biotechnology Apprenticeship ,4,". Each student is required to fulfill an internship, which could be in a 
local, national, or international company/industry or government research laboratory. The objective of this internship is 
to give students experience working outside a purely academic setting and enhance their ability to gain employment 
upon graduation. The course instructor will be responsible for coordinating and facilitating apprenticeships at 
participating biotechnology related businesses. Students will be mentored and trained by a designated supervisor at the 
participating biotechnology-related business. Students will work on a project identified by the student and approved by 
the instructor and industry supervisor. The student will submit a report and present a seminar on his/her work to faculty, 
students, staff and industry personnel. Perquisites: Senior standing and completion of greater than 75% program course 
requirements. 
Note: This course is a capstone course for the Plant Biotechnology program. Therefore, students majoring in this 
program cannot substitute this course."
BES 401 ,Ethics in Biotechnology ,1,". The purpose of this course is to create an awareness of ethics in science, 
particularly as it relates to biotechnology. The students will learn the rules governing ethical behavior of researchers and 
academicians. The course involves a survey of the applications of biotechnology and examination of the consequences of 
these applications. The course covers various aspects of biotechnology, including those that relate to plants, 
microorganisms, agriculture and the environment. The instructor or guest speaker will introduce each topic and lead the 
subsequent class discussion. Prerequisite: None. 
 
Biology"
BIO 100 ,Introduction to Careers in Life Sciences ,1,". Familiarization with all careers in life sciences. Required of all 
majors. Prerequisite: None."
BIO 101 ,General Biology I ,3,"(1 clock hour lecture period x3 per week). The first part of a full year’s course in the 
biological sciences. The first semester is devoted to an investigation of basic biological concepts and their application to 
the variety of life. Selected examples from the major groups of animals and plants are used. For non-majors. 
Prerequisite: None. Corequisites: BIO 101L."
BIO 101L ,General Biology I Lab ,1,(2 clock hour lab period per week). Lab designed to enhance and accommodate
BIO 102 ,General Biology II ,3,"(1 clock hour lecture period x3 per week). A second semester course devoted to the 
biology of humans. The problems of support, movement, supply of materials, distribution, waste removal, regulation and 
reproduction are described in detail. For non-majors. Prerequisite: None. Corequisites: BIO 102L."
BIO 102L ,General Biology II Lab ,1,(2 clock hour lab period per week). Lab designed to enhance and accommodate
BIO 102H ,Honors General Biology II ,3,". A second semester course devoted to the biology of humans. The problems 
of support, movement, supply of materials, distribution, waste removal, regulation and reproduction are described in 
detail. The course involves problem solving, discussions and critical analysis of current topics in human biology. For 
non-majors in the Honors Program. Prerequisite: None. Corequisites: BIO 102HL."
BIO 102HL Honors,General Biology II Lab ,1,"(3 clock hour lab period per week). Lab designed to accompany, enhance 
and accommodate BIO 102H. For non-majors in the Honors Program. Prerequisite: None. Corequisites: BIO 102H."
BIO 103 ,Principles of Biology ,3,"(1 clock hour lecture period x3 per week). A study of fundamental biological 
principles with primary emphasis on molecular basis of life and cellular organization: cellular energetics and 
metabolism; growth and reproduction, and genetics and evolution. Required of all majors. Prerequisite: None. 
COURSE DESCRIPTIONS, AAMU Undergraduate Bulletin, 2023-2024 
~ 226 ~"
BIO 103L ,Principles of Biology Lab ,1,"(2 clock hour lab period per week). A customized lab to accommodate BIO 103 
for majors. Prerequisite: None. Corequisites: BIO 103."
BIO 200 ,Environmental Biology ,3,". An introduction to natural biological processes and their impact on man and his 
environment. Emphasis is on problems caused by man’s use of the natural world along with an introduction to the 
principles of applied and environmental microbiology. Specific topics to be discussed include environmental virology, 
disinfection of water and wastewater, biogeochemical cycles, biology of waste treatment and biological aerosols. 
Prerequisite: BIO 103."
BIO 201 ,Invertebrate Zoology ,3,". A study of the body plans, physiology, taxonomy and development of the major 
groups of animals lacking backbones. Life histories of animals that affect the welfare of humans are stressed. 
Prerequisite: BIO 103."
BIO 201L ,Invertebrate Zoology Lab ,1,"(2 clock hour lab period per week). A companion lab for BIO 201 covering the 
lecture topics. Prerequisite: BIO 103L."
BIO 202 ,Comparative Vertebrate Anatomy ,3,". Morphological study of the vertebrates with a comparative study of 
the organic systems and their phylogenetic significance. Laboratory techniques in dissection of the frog and cat. 
Prerequisite: BIO 103."
BIO 202L ,Comparative Vertebrate Anatomy Lab ,1,"(2 clock hour lab period per week).  A companion lab for BIO 201 
covering the lecture topics. Prerequisite: BIO 103L."
BIO 203 ,General Botany I ,3,". A survey of the structure and physiology of seed bearing plants. Prerequisite: BIO 
103."
BIO 203L ,General Botany I Lab ,1,"(2 clock hour lab period per week). A companion lab for BIO 203 covering the 
lecture topics. Prerequisite: BIO 103L."
BIO 204 ,General Botany II ,3,". A survey of the plant kingdom with particular emphasis on nomenclature, systems of 
classification, reproduction, life cycles, and study of heredity and evolution. Prerequisite: BIO 103."
BIO 204L ,General Botany II Lab ,1,"(2 clock hour lab period per week). A companion lab for BIO 204 covering the 
lecture topics. Prerequisite: BIO 103L."
BIO 205 ,Ecology ,3,". Introduction to trophic relationships and energy transfer in ecosystem; discussion of 
environmental factors that affect the distribution and abundance of animals and plants as well as the composition of 
various communities. This course will review major ecological concepts, identify the techniques used by ecologists, 
provide an overview of local and global environmental issues, and examine individual, group and governmental 
activities important for protecting natural ecosystems. We will focus on aquatic and forest ecosystems. Student will 
develop skills in research, writing, statistics, excel and prioritizing along with general science methodology, data 
collection and analysis. Prerequisite: None."
