code,name,credits,description
BIB 2010,Scripture and Interpretation ,Three,"Foundational principles of effective Bible study will be applied for personal study and small group Bible 
study leadership. Observational skills of the English text will be developed through hands-on activities 
and assignments. Hermeneutical principles will be applied to various biblical genres with the goal of 
equipping the learner to interpret the text based on its historical/cultural and literary context. 
Application of the meaning of the text for spiritual formation will be emphasized as well. Three Hours.  "
SCI 2030,"Faith, Science, and Reason ",Three,"This course is designed to assist the student in (1) demonstrating the scope and magnitude of science 
and mathematics from the 1600’s until today; (2) why we study these subjects; (3) knowing the 
limitations of these subjects; (4) where the Christian fits and operates within the scientific paradigm; 
and (5) how Christians can incorporate their faith and reason within the scientific enterprise and how to 
use it as a productive platform when communicating to those of different worldviews. Three Hours. 
 
Grace College and Seminary Catalog | 2023-2025 
 
Undergraduate Curriculum 
     5 "
HUM 2100,Creative Arts and Culture ,Three,"Through the landscape of cultural history, this course explores the human phenomenon of creativity 
from prehistoric culture to our contemporary urban society. Posing the question “Why creative arts?” 
this course examines how creativity and culture define and reflect each other. Viewed through a global, 
chronological, or thematic approach and in context of time and place, interrelationships of various 
modes of expression are presented for works of art, music, and literature. During the course, students 
are required to select two experiential activities for engaging in creative arts and culture. Examples 
include, but are not limited to, art museums, gallery exhibits, visual and performing arts festivals, 
international/cultural festivals, symphony orchestras, music concerts, theatrical productions, and 
literary events. Grace Core requirement. Three Hours. 
3000-Level Courses 
 "
ECN 3000,Consumer Economics ,Three,"Consumer Economics is a course designed to prepare students to understand the economic system from 
a Biblical perspective and how it affects individuals as consumers, producers, and citizens. The Greek 
word ""Oikinomia"" can be translated as economics or household management.  This course will challenge 
students to take control of and properly manage the part of God's creation (household) that he has put 
in their charge. Students will integrate knowledge and practice the skills required to manage resources 
in a technologically expanding global economy. Real world topics covered will include economics, 
personal money management, as well as managing the precious commodities of time, relationships, and 
spiritual advancement. Three Hours. 
 "
PHI 3010,Christianity and Critical Thinking ,Three,"This course will critically examine the beliefs and presuppositions of philosophers and philosophies over 
the centuries and their impact on modern Christianity and the Christian Worldview. A critical 
examination will begin by utilizing the lens of Scripture as the basis of truth in evaluating these beliefs. 
The application of that examination will be centered on the reasons for God as well as the nature of 
suffering and evil as learners are encouraged to formulate a biblically sound Christian Worldview. Three 
Hours. 
 "
BIB 3300,Essential Doctrinal Themes ,Three,"This course is designed to engage the student in the essential doctrines of the Christian Faith and to help 
them begin to set a solid foundation for a well-rounded and well-informed theological position in their 
personal faith. The purpose of this class is to examine eight areas of theology in such a manner as to 
allow the learners to search the Scriptures and engage multiple theological authors so they can begin to 
articulate and defend what they believe about the Christian faith. Attention will be given to helping the 
student critically analyze the historical doctrinal commitments of Grace College and Seminary by 
engaging students in the evaluation of the presuppositions and conclusions of different doctrinal groups. 
Three Hours. 
STUDENT SUCCESS COURSEWORK 
Some students benefit from additional assistance to maximize their success in college-level courses. 
Based on their individual circumstances and standardized test scores, students may be enrolled in 
preparatory or pre-requisite course work, such as Academic Fundamentals for College or Principles of 
Writing. These courses do not fulfill the requirements of the Core. Generally, these courses also do not 
fulfill degree program requirements in majors or minors; however, students may be able to apply these 
courses to their major or minor if approved by the department as an open elective. 
Grace College and Seminary Catalog | 2023-2025 
 
Undergraduate Curriculum 
     6 "
GEN 1000,Academic Fundamentals for College ,One,"Through discussion, lectures, outside assignments, and in-class learning experiences students are 
introduced to the course philosophy, taught the basic skill sets crucial to success in life and school, and 
assisted in making connection with peers and faculty. The foundation of the course is based on building 
effective self-management and self-responsibility. These important principles are emphasized in each 
skill set. One Hour. "
ENG 1020,Principles of Writing ,Three,"A foundational college course in grammar and composition designed to help prepare those students 
who, on the basis of ACT and SAT verbal scores and high school English grades, are not prepared to 
succeed in ENG 1100 Effective Writing. Grammar review, paragraph writing, and essay writing are 
studied and practiced. Three Hours.   
 
INTERNSHIP AND PRACTICUM 
To meet graduation requirements, students in traditional undergraduate programs must complete a 
minimum of 3 credits and maximum of 12 credits of Internship and Practicum. Schools or academic 
departments are responsible for determining how their students will meet Internship and Practicum 
credits. 
 
UNDERGRADUATE DEGREE PROGRAMS 
Associate of Arts and Science Degrees 
Grace College offers an associate degree in Liberal Arts that is delivered in different modalities.  The 
Associate of Science degree in Liberal Arts is available online for high school graduates. The College 
Launch program offers this same degree in Liberal Arts for those in high school, this format is offered on 
main campus and online. The Associate of Science degree in Liberal Arts is comprised of general 
education courses, which then enables students to easily pursue a bachelor’s degree. 
 
Bachelor of Arts and Bachelor of Science 
Grace College offers a variety of majors leading to the Bachelor of Arts (B.A.) and the Bachelor of Science 
(B.S.) degrees. In cooperation with Bethel University, students may also receive a Bachelor of Science in 
Nursing (B.S.N.) degree.  
Most majors require a minor. Specific program requirements are available in the respective catalog 
section of each department and at the Registrar’s Office.  
In addition to the 39 credit hours of the Grace Core, students enroll in 6 additional credit hours specific 
to the B.A. or the B.S. degree. Students who select a B.A. degree take 6 credits of a modern or ancient 
language. Students who select a B.S. degree take 6 credits of science, math, or social science outside 
their chosen discipline.  
The institutional requirement of at least 120 semester hours of coursework leading to a B.A. or B.S. 
degree includes the successful completion of one major, one minor (if required), the Grace Core (39 
credits), 6 credits specific to the B.A. or the B.S., and 12 credits of applied learning.  
Blended Degrees 
Students electing to graduate in three years might consider choosing the blended degree option whereby 
they complete both a bachelor’s degree and a master’s degree in four years by pursuing one of the 
institution’s several online master’s programs (see associated program catalogs). A student can complete 
both a bachelor’s degree and the Master of Divinity degree through the Seminary in five years.  Degrees are 
Grace College and Seminary Catalog | 2023-2025 
 
Undergraduate Curriculum 
     7 "
ENG 1100,"Effective Writing, COM 1100 Public Speaking, ",0,"HIS 1350 Current Issues in Historical Context, HUM 2000 Global Perspectives, and French and Spanish 
courses that may be used to fulfill the language and culture proficiency requirement for the Bachelor of 
Arts degree. For more information about the B.A. language proficiency requirement, see the Modern 
Languages Program section below. 
English and Journalism Program                                                                 
Recognizing that God is the creator of language, Grace’s English and Journalism Program seeks to 
deepen students’ understanding of the complexities and creative potential of language. Our English 
curriculum acquaints students with a wide variety of literature and interpretive approaches and 
enhances students’ critical thinking, research, and communication skills. The journalism major and 
minor equip students for careers in journalistic media and related fields. Both the English and journalism 
majors provide opportunities for practical, hands-on experience through involvement with our campus 
newspaper, literary magazine, and other publications, as well as off-campus internships and experiential 
learning. 
 
The English and Journalism Program offers a major in English, a major in English education, a major in 
journalism, a minor in English, a minor in creative writing, and a minor in journalism.  
Program Learning Outcomes 
ENGLISH 
1. Students become accomplished critical readers who appreciate complexity and variety, and who 
respond to literary texts with an awareness of aesthetic values, historical content, ideological 
orientation, critical approach, and competing interpretations. 
2. Students demonstrate knowledge of the major traditions of literatures written in English as well 
as the diversity of voices within -- and sometimes marginalized by – those traditions. 
3. Students understand, apply, and evaluate a range of interpretive strategies appropriate to 
literary texts. They are self-reflective about their interpretive assumptions and practices. 
4. Students develop and execute literary research projects, and locate, evaluate, organize, and 
incorporate information effectively and ethically. 
Grace College and Seminary Catalog | 2023 - 2025      
 
Humanities 
 3                                           "
ENG 2300,Advanced Writing  ,0,ENG 3170 Creative Writing & Workshop 
LIT 2000,Introduction to Literary Studies ,0,LIT 2150 British Literature I 
LIT 2160,British Literature II ,0,LIT 2200 American Literature I 
LIT 2210,American Literature II ,0,LIT 3000 Classics of World Literature 
LIT 3285,Global Shakespeare(s) ,15,"HUM 4900 Humanities Capstone Seminar 
 
English Electives – choose from the following (15 hours): "
LIT 3100,Digital Narratives ,0,LIT 3251 Genre Study: Poetry 
LIT 3261,Genre Study: Drama ,0,LIT 3265 Genre Study: Short Story 
LIT 3240,Christian Classics ,0,LIT 3420 C.S. Lewis 
LIT 3430,Women Writers ,0,"LIT 3540 Topics in Contemporary Literature 
Grace College and Seminary Catalog | 2023 - 2025      
 
Humanities 
 4                                           "
LIT 3670,Young Adult Literature ,0,LIT 3750 Selected Topics in Literature 
LIT 3800,Topics in French Literature ,0,LIT 4200 Major Author(s) 
LIT 4350,Literary Theory ,0,HUM 3210 Irish Studies 
HUM 3220,Medieval Studies ,3,"JOU 3130 Editing 
 
Experiential Learning Requirement – choose from the following (3 hours): "
ENG 4830,English Internship ,credit,"JOU 1610-30 Practical Journalism 
 
ENGLISH EDUCATION MAJOR (B.A.) 
Nationally recognized by the SPA NCTE, our English education major equips students to teach English 
language arts at the secondary level. This major requires 81 credit hours: 39 hours in English and 42 
hours in the School of Education. No minor is required for this major. 
English Common Experience (30 hours): "
ENG 2300,Advanced Writing ,0,ENG 3170 Creative Writing & Workshop 
LIT 2000,Introduction to Literary Studies ,0,LIT 2150 British Literature I 
LIT 2160,British Literature II ,0,LIT 2200 American Literature I 
LIT 2210,American Literature II ,0,LIT 3000 Classics of World Literature 
LIT 3285,Global Shakespeare(s) ,9,"HUM 4900 Humanities Capstone Seminar 
 
Literature Requirement (9 hours) "
LIT 3670,Young Adult Literature ,6,   Choose two from the following (6 hours): 
LIT 3100,Digital Narratives ,0,LIT 3251 Genre Study: Poetry 
LIT 3261,Genre Study: Drama ,0,LIT 3265 Genre Study: Short Story 
LIT 3240,Christian Classics ,0,LIT 3420 C.S. Lewis 
LIT 3430,Women Writers ,0,LIT 3540 Topics in Contemporary Literature 
LIT 3750,Selected Topics in Literature ,0,LIT 3800 Topics in French Literature 
LIT 4200,Major Author(s) ,0,LIT 4350 Literary Theory 
HUM 3210,Irish Studies ,0,"HUM 3220 Medieval Studies 
 
Grace College and Seminary Catalog | 2023 - 2025      
 
Humanities 
 5                                           "
SED 1000,Teaching School in America ,0,SED 2200 The School Age Child 
SED 2210,Responsive and Differentiated Instruction ,0,SED 3330 Literacy III (Diagnosis & Correction) 
SED 3331,Literacy III Practicum (0 hours) ,0,SED 3800 Classroom Assessment & Learning Environment 
SED 2400,Teaching Exceptional Learners ,0,SED 2500 Teaching in a Pluralistic Society 
SED 2600,Teaching and Learning ,0,SED 4700 The Moral Practitioner 
SED 4900,Student Teaching and Seminar (9 hours) ,6," 
Secondary Education Courses (6 hours): "
SED 3600,Teaching in the Middle and High School Setting ,credit,"SED 4620 Methods of Teaching Secondary English 
 
NOTE: SED course descriptions can be found in the Department of Teacher Education course listings. 
 
JOURNALISM MAJOR  
The course requirement for a major in journalism is 42 credit hours in journalism and related courses. 
The journalism major is a B.A. degree. A minor is required. 
 
Journalism Foundation (36 hours): "
COM 2170,Communication Ethics & Theories ,0,COM 2700 Public Relations Principles 
COM 3320,Critical Media Studies ,0,COM 3600 Social Media Communication 
ENG 2300,Advanced Writing ,0,JOU 2100 Introduction to Journalism 
JOU 2700,Layout & Design for Journalists ,0,JOU 3130 Editing 
JOU 3140,Writing for Publication ,0,JOU 3150 Advanced Reporting 
PHT 2600,Digital Photography ,6,"HUM 4900 Humanities Capstone Seminar 
 
Experiential Learning Requirement (6 hours): "
ENG 3170,Creative Writing & Workshop ,0,"JOU 3140 Writing for Publication 
Choose one of the following writing courses: "
ENG 3232,Intermediate Fiction ,0,ENG 3252 Intermediate Poetry 
ENG 3180,Selected Topics in Creative Writing ,6," 
English Electives – choose from the following (6 hours): "
JOU 3130,Editing ,0,HUM 3210 Irish Studies 
HUM 3220,Medieval Studies ,0,LIT 2000 Introduction to Literary Studies 
LIT 3100,Digital Narratives ,0,"LIT 3240 Christian Classics 
 "
LIT 3251,Genre Study: Poetry ,0,LIT 3261 Genre Study: Drama 
LIT 3265,Genre Study: Short Story ,0,LIT 3420 C.S. Lewis 
LIT 3430,Women Writers ,0,LIT 3540 Topics in Contemporary Literature 
LIT 3670,Young Adult Literature ,0,LIT 3750 Selected Topics in Literature 
LIT 3800,Topics in French Literature ,0,LIT 3285 Global Shakespeare(s) 
LIT 4200,Major Author(s) ,3,"THT 4260 Religious Drama Workshop 
 
Experiential Learning Requirement – choose from the following (3 hours): 
 ENG 4001-03 Creative Writing Portfolio Practicum "
ENG 2300,Advanced Writing ,0,"LIT 2000 Introduction to Literary Studies 
Choose any two of the following survey courses: "
LIT 2150,British Literature I ,0,LIT 2160 British Literature II 
LIT 2200,American Literature I ,0,"LIT 2210 American Literature II 
 
 
 
Grace College and Seminary Catalog | 2023 - 2025      
 
Humanities 
 7                                           "
ENG 3170,Creative Writing & Workshop ,0,JOU 3130 Editing 
HUM 3210,Irish Studies ,0,HUM 3220 Medieval Studies 
LIT 3000,Classics of World Literature ,0,LIT 3100 Digital Narratives 
LIT 3240,Christian Classics ,0,LIT 3251 Genre Study: Poetry 
LIT 3261,Genre Study: Drama ,0,LIT 3265 Genre Study: Short Story 
LIT 3285,Global Shakespeare(s) ,0,"LIT 3420 C.S. Lewis 
    LIT 3430 Women Writers "
LIT 3540,Topics in Contemporary Literature ,0,LIT 3670 Young Adult Literature 
LIT 3750,Selected Topics in Literature ,0,LIT 3800 Topics in French Literature 
LIT 4200,Major Author(s)  ,credit,"LIT 4350 Literary Theory 
 
JOURNALISM MINOR 
The requirement for a minor in journalism is 21 credit hours in journalism and related courses. 
Journalism Foundation (15 hours):  "
ENG 2300,Advanced Writing  ,0,JOU 1610-30 Practical Journalism   
JOU 2100,Introduction to Journalism ,0,JOU 3130 Editing 
JOU 3140,Writing for Publication ,6," 
Journalism Electives – choose from the following (6 hours): "
PHT 2600,Digital Photography ,0,COM 2170 Communication Ethics & Theories 
COM 3320,Critical Media Studies ,0,COM 3600 Social Media Communication 
JOU 2700,Layout and Design for Journalists ,0,JOU 3150 Advanced Reporting    
JOU 4910–4930,Journalism Internship ,0," 
NOTE: PHT course description can be found in the Department of Visual and Performing Arts course listings. 
History and Political Science Program 
Our purpose is seen in our motto: Memores acti prudentes potest, meaning: “Mindful of what has been 
done, aware of what is possible.” Through our program’s common experience curriculum, a variety of 
elective offerings, engaging applied learning experiences, and a capstone seminar, we encourage our 
students to think incarnationally about their field of study. This means we engage with them in the 
fascinating yet messy endeavor of studying the record of past and present civilization in all of its 
humanness. As apprentice scholars, students are not to rush to judgment, but are to understand other 
Grace College and Seminary Catalog | 2023 - 2025      
 
Humanities 
 8                                           "
HIS 1130,World History and the Historical Method ,0,HIS 2050 American Journeys  
GEO 1010,World Geography ,0,POS 2200 American Government 
HUM 4900,Humanities Capstone Seminar ,0," 
Grace College and Seminary Catalog | 2023 - 2025      
 
Humanities 
 9                                           "
HIS 1130,World History and the Historical Method ,0,HIS 2050 American Journeys  
GEO 1010,World Geography ,0,POS 2200 American Government 
HUM 4900,Humanities Capstone Seminar ,30," 
History Electives - choose from the following (30 hours): "
GEO 3300,Geography of North America  ,0,HIS 3050 Artifacts & Exhibits 
HIS 3280,Colonial & Revolutionary America ,0,HIS 3350 Era of the American Civil War 
HIS 3360,"Wild, Wild West ",0,HIS 3370 The Progressive Era to the Atomic Age 
HIS 3390,Religion in American History ,0,    HIS 3590 Ancient History 
HIS 3660,Renaissance and Reformation ,0,HIS 3720 Europe in the Age of Modernity 
HIS 3800,History & Geography of Africa ,0,HIS 3850 History & Geography of Asia 
HIS 3900,Latin America & the Atlantic World ,0,HUM 3210 Irish Studies 
HUM 3220,Medieval Studies ,0,POS 3760 Britain & the World 
POS 3950,"Islam, Politics & the Middle East ",3," 
Experiential Learning Requirement - choose one (3 hours): "
HIS 4560,Museum Internship ,0,HIS 4570 Public History Lab 
HIS 4950,History Internship ,credit,"POLITICAL SCIENCE MAJOR 
The requirement for a major in political science is 48 credit hours. Political science majors complete the 
Bachelor of Science degree.  
Program Common Experience (15 hours): "
HIS 1130,World History and the Historical Method ,0,HIS 2050 American Journeys  
GEO 1010,World Geography ,0,POS 2200 American Government 
HUM 4900,Humanities Capstone Seminar ,0," 
 
Grace College and Seminary Catalog | 2023 - 2025      
 
Humanities 
 10                                           "
COM 2610,Political Communication ,0,COM 3340 American Political Rhetoric 
HIS 3390,Religion in American History ,0,POS 2010 Introduction to Political Thought 
POS 3010,State & Local Government ,0,POS 3100 International Relations 
POS 3760,Britain & the World ,0,"POS 3950 Islam, Politics & the Middle East "
POS 4400,Selected Topics in Political Science ,3,"SOC 2340 Introduction to Criminal Justice 
 
Experiential Learning Requirement – choose one (3 hours): "
LAW 2500,Mediation Team ,credit,"POS 4950 Political Science Internship 
 
NOTE: Course descriptions for SOC can be found in the Department of Behavioral Science course listings. 
SOCIAL STUDIES EDUCATION AND HISTORY (DOUBLE MAJOR) 
The social studies education and history major is approved by the Indiana Professional Standards Board, 
and the School of Education is accredited by both the National Council for Accreditation of Teacher 
Education (NCATE) and the Association for Christian Schools International (ACSI). Students in this 
program complete a double major in social studies education and history. The requirement for this 
double major is 78 credit hours, including 39 professional education credit hours. This meets the 
requirements for concentrations in 1) historical perspectives, 2) citizenship and American Government, 
and 3) Geography. This major may be completed as a B.A. or B.S. degree. 
Program Common Experience (15 hours) 
    HIS 1130 World History and the Historical Method 
    HIS 2050 American Journeys  
    GEO 1010 World Geography 
    POS 2200 American Government 
    HUM 4900 Humanities Capstone Seminar 
 
Social Studies Foundation Courses (24 hours): "
POS 2010,Introduction to Political Thought ,0,POS 3020 State and Local Government 
GEO 3300,Geography of North America ,39,"2 World History electives (3000 level or above) 
1 European History elective (3000 level or above) 
1 American History elective (3000 level or above) 
1 Geography elective (3000 level or above) 
 
Professional Education Courses (39 hours): "
SED 1000,Teaching School in America ,0,SED 2200 The School Age Child 
SED 2210,Responsive and Differentiated Instruction ,0,SED 2400 Teaching Exceptional Learners 
SED 2500,Teaching in a Pluralistic Society ,0,"Grace College and Seminary Catalog | 2023 - 2025      
 
Humanities 
 11                                           "
SED 2600,Teaching and Learning ,0,SED 3600 Teaching in the Middle and High School 
SED 3800,Classroom Assessment & Learning Environment ,0,SED 4670 Methods of Teaching Secondary Social Studies 
SED 4700,The Moral Practitioner ,9,"SED 4900 Student Teaching and Seminar 
 
The following additional concentrations are also available: 
Economics (adds 9 hours):  "
BUS 2230,Economics ,0,FIN 3170 Money and Banking  
FIN 4530,International Economics and Finance ,6," 
Psychology (adds 6 hours): 
Choose two from the following:   "
PSY 2100,Introduction to Counseling ,0,PSY 2170 Abnormal Psychology  
PSY 2360,Child and Adolescent Psychology  ,9,"PSY 3380 Theories of Personality 
 
Sociology (adds 9 hours): "
SOC 1100,Introduction to Sociology   ,0,SOC 2100 Marriage and Family 
SOC 3360,Juvenile Delinquency ,credit," 
NOTE: Course descriptions for BUS and FIN can be found in the Department of Business course listings. Course 
descriptions for PSY and SOC can be found in the Department of Behavioral Science course listings. Course 
descriptions for SED can be found in the Department of Teacher Education course listings.  
PRE-LAW MINOR 
Our pre-law program complements virtually any major including those preferred by many law schools 
and the American Bar Association (such as history, political science, communication, English, business, 
criminal justice, psychology, information technology, mathematics, biology, and Spanish). The ABA and 
most law schools do NOT recommend that pre-law students take a pre-law major - therefore, we do not 
offer one at Grace. In addition to their major advisor, students are assigned a pre-law advisor.  
Students must complete 21 credit hours for this minor. 
Pre-Law Foundation (9 hours): "
HUM 4900,Humanities Capstone Seminar ,3,"LAW 4400 Selected Topics: LSAT Preparation 
Choose one of the following (3 hours): "
BUS 3130,Business Law ,9,"SOC 4100 Criminal Law  
 
Pre-Law Electives* (9 hours): 
Choose two from the following (6 hours): "
POS 2010,Introduction to Political Thought  ,0,"Grace College and Seminary Catalog | 2023 - 2025      
 
Humanities 
 12                                           "
POS 2200,Introduction to American Government  ,0,POS 3010 State and Local Government 
POS 3100,International Relations  ,3,"POS 3760 Britain and the World 
 
Choose one of the following (3 hours): "
COM 3030,Persuasion  ,0,COM 4140 Argumentation & Debate 
ACC 2110,Financial Accounting ,0,ENV 3410 Environmental Ethics 
MAT 2100,Intro to Proofs ,0,MAT 3200 Probability and Statistics 
PHI 3100,Ethics ,0,SOC 2400 Criminal Procedure 
SOC 3560,Victimology ,3," 
Experiential Learning Requirement – choose one of the following (3 hours): "
LAW 2500,Mediation Team  ,credit,"LAW 4980 Pre-Law Internship 
 
*Elective courses in this minor may not be used to meet requirements in another major or minor. This 
minor ensures that students are following the recommendations of law schools which suggest that 
students be exposed to a broad range of challenging liberal arts courses. 
 
NOTE: Course descriptions for ACC and BUS can be found in the Department of Business course listings. Course 
descriptions for ENV and MAT can be found in the Department of Science and Mathematics course listings. Course 
descriptions for PHI can be found in the Department of Biblical Studies course listings. Course descriptions for SOC 
can be found in the Department of Behavioral Science course listings. 
 
ARCHAEOLOGY MINOR 
This 21-credit hour minor introduces students to the study of archaeology and includes field experience 
working on a dig site.  
 
Program Common Experience (6 hours): "
HIS 1130,World History & the Historical Method ,0,Choose one of the following: 
GEO 1010,World Geography              ,0,HIS 2050 American Journeys 
POS 2200,Introduction to American Government ,15," 
Archaeology and Related Courses (15 hours): "
HIS 4570,Ancient History ,6,"HIS 4330 Archaeology Field Experience (3-6 hours, off-campus) 
Choose two of the following:  
   HIS 3050 Artifacts and Exhibits 
   BBL 3140 Biblical Backgrounds 
   POS 3950 Islam, Politics, and the Middle East 
 
Grace College and Seminary Catalog | 2023 - 2025      
 
Humanities 
 13                                           "
HIS 1130,World History & the Historical Method ,0,Choose one of the following: 
GEO 1010,World Geography  ,0,HIS 2050 American Journeys 
POS 2200,Intro to American Government ,15," 
Geography Electives - choose from the following (15 hours): "
GEO 3300,Geography of North America ,0,GEO 4400 Selected Topics in Geography 
HIS 3360,"Wild, Wild West ",0,HIS 3720 Europe in the Age of Modernity 
HIS 3800,History & Geography of Africa ,0,HIS 3850 History & Geography of Asia: China and India 
HIS 3900,Latin America & the Atlantic World ,credit,"POS 3950 Islam, Politics & the Middle East 
 
 
HISTORY MINOR 
The requirement for a minor in history is 21 credit hours.  
 
Program Common Experience (6 hours): "
HIS 1130,World History & the Historical Method ,0,Choose one of the following: 
HIS 2050,American Journeys ,0,GEO 1010 World Geography 
POS 2200,Intro to American Government ,15," 
History Electives - choose from the following (15 hours): "
GEO 3300,Geography of North America ,0,HIS 3050 Artifacts & Exhibits 
HIS 3280,Colonial & Revolutionary America ,0,HIS 3350 The Era of the American Civil War 
HIS 3360,"Wild, Wild West ",0,HIS 3370 The Progressive Era to the Atomic Age 
HIS 3390,Religion in American History ,0,HIS 3590 Ancient History 
HIS 3660,Renaissance and Reformation ,0,HIS 3720 Europe in the Age of Modernity 
HIS 3800,History & Geography of Africa ,0,HIS 3850 History & Geography of Asia: China and India 
HIS 3900,Latin America & the Atlantic World ,0,"HIS 4400 Selected Topics in History 
Grace College and Seminary Catalog | 2023 - 2025      
 
Humanities 
 14                                           "
HUM 3210,Irish Studies ,0,HUM 3220 Medieval Studies 
POS 3760,Britain & the World ,credit,"POS 3950 Islam, Politics & the Middle East 
 
MUSEUM STUDIES MINOR 
Students who minor in museum studies receive a broad introduction to historical preservation and 
interpretation within a program geared for those interested in working in museums. This minor is 21 
credit hours.  
 
Common Experience (6 hours): "
HIS 1130,World History & the Historical Method ,0,Choose one of the following: 
GEO 1010,World Geography ,0,HIS 2050 American Journeys 
POS 2200,Introduction to American Government ,15," 
Museum Studies and Related Courses (15 hours): "
HIS 3050,Artifacts and Exhibits ,6,HIS 4560 Museum Internship (6 hours) 
MKT 3550,Non-profit Marketing ,credit,"    ART 3510 Art History: A Global Context 
 
NOTE: Course descriptions for MKT can be found in the Department of Business course listings. Course 
descriptions for ART can be found in the Department of Visual and Performing Arts course listings. 
 
POLITICAL SCIENCE MINOR 
The requirement for a minor in political science is 21 credit hours.  
 
Program Common Experience (6 hours): "
HIS 1130,World History & the Historical Method ,0,Choose one of the following: 
GEO 1010,World Geography ,0, 
HIS 2050,American Journeys ,15,"POS 2200 Introduction to American Government 
 
Political Science Electives – choose from the following (15 hours): "
COM 2610,Political Communication ,0,COM 3340 American Political Rhetoric 
HIS 3390,Religion in American History ,0,LAW 2500 Mediation Team 
POS 2010,Introduction to Political Thought ,0,POS 3010 State and Local Government 
POS 3100,International Relations ,0,POS 3760 Britain and the World 
POS 3950,"Islam, Politics and the Middle East ",0,POS 4950 Political Science Internship 
SOC 2340,Introduction to Criminal Justice ,0,"Grace College and Seminary Catalog | 2023 - 2025      
 
Humanities 
 15                                           "
